name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,remarks,speciesAuthor,bhlLink,pageAsText,publicationYearNote,referenceRemarks,collectionDate1,locality,typeCoordinates,originalTaxonDistribution
Siparuna_cavalcantei,Jangoux,Jangoux,,spec.,/n/300108-2,Monimiaceae,Siparuna,cavalcantei,tax. nov.,2640," R.Souza,M.G.Silva","Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 120, figs. 2, 4b",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 120, figs. 2, 4b. 1991 ",FALSE,TRUE,holotype MG;isotype F;isotype G;isotype K;isotype US,1.4,300108-2,urn:lsid:ipni.org:names:300108-2,wfo-0001241283,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_cervicornis,Perkins,Perkins,,spec.,/n/237174-2,Monimiaceae,Siparuna,cervicornis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Verh. Bot. Vereins Prov. Brandenburg,1905,47: 145,823-2,citation,Verh. Bot. Vereins Prov. Brandenburg 47: 145. 1905 ,FALSE,TRUE,NA,1.4,237174-2,urn:lsid:ipni.org:names:237174-2,wfo-0001084435,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=145&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA
Siparuna_chlorantha,Perkins,Perkins,,spec.,/n/237175-2,Monimiaceae,Siparuna,chlorantha,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,28(5): 677,553-2,citation,Bot. Jahrb. Syst. 28(5): 677. 1901 [11 Jan 1901] ,FALSE,TRUE,NA,1.5,237175-2,urn:lsid:ipni.org:names:237175-2,wfo-0001084437,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=5&rft.spage=677&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11 Jan 1901,NA,NA,NA,,NA
Siparuna_cordata,Tolm.,Tolm.,,spec.,/n/237180-2,Monimiaceae,Siparuna,cordata,tax. nov.,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,FALSE,,Bot. Mater. Gerb. Glavn. Bot. Sada R.S.F.S.R.,1921,2: 155,866-2,citation,Bot. Mater. Gerb. Glavn. Bot. Sada R.S.F.S.R. 2: 155. 1921 ,FALSE,TRUE,NA,1.4,237180-2,urn:lsid:ipni.org:names:237180-2,wfo-0001278932,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_cymosa,Tolm.,Tolm.,,spec.,/n/237190-2,Monimiaceae,Siparuna,cymosa,tax. nov.,NA,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bot. Mater. Gerb. Glavn. Bot. Sada R.S.F.S.R.,1921,2: 156,866-2,citation,Bot. Mater. Gerb. Glavn. Bot. Sada R.S.F.S.R. 2: 156. 1921 ,FALSE,TRUE,NA,1.4,237190-2,urn:lsid:ipni.org:names:237190-2,wfo-0001278749,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_depressa,Jangoux,Jangoux,,spec.,/n/306350-2,Monimiaceae,Siparuna,depressa,tax. nov.,21641,G.T.Prance et al.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 122, fig. 3, 4c",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 122, fig. 3, 4c. 1991 ",FALSE,TRUE,holotype F;isotype INPA;isotype K;isotype MG;isotype MO;isotype P,1.4,306350-2,urn:lsid:ipni.org:names:306350-2,wfo-0001233630,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_duckeana,Jangoux,Jangoux,,spec.,/n/301373-2,Monimiaceae,Siparuna,duckeana,tax. nov.,1616,"J.I.G.Jangoux, B.G.S.Ribeiro","Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 125, figs. 5, 8a",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 125, figs. 5, 8a. 1991 ",FALSE,TRUE,holotype MG,1.4,301373-2,urn:lsid:ipni.org:names:301373-2,wfo-0001241284,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_emarginata,R.S.Cowan,R.S.Cowan,,spec.,/n/237198-2,Monimiaceae,Siparuna,emarginata,tax. nov.,NA,NA,"Amapá (Terr.) (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1957,8: 237,561-2,citation,Brittonia 8: 237. 1957 ,FALSE,TRUE,NA,1.4,237198-2,urn:lsid:ipni.org:names:237198-2,wfo-0001232888,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_espinhacensis,Jangoux,Jangoux,,spec.,/n/301374-2,Monimiaceae,Siparuna,espinhacensis,tax. nov.,851,J.R.Pirani et al.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 127, fig. 6, 8b",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 127, fig. 6, 8b. 1991 ",FALSE,TRUE,holotype MG,1.4,301374-2,urn:lsid:ipni.org:names:301374-2,wfo-0001241289,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_ficoides,S.S.Renner & Hausner,S.S.Renner & Hausner,,spec.,/n/60438477-2,Monimiaceae,Siparuna,ficoides,tax. nov.,591,"C. A. Sothers, E. da C. Pereira &amp; C. F. da Silva",Brazil (Southern America),FALSE,FALSE,TRUE,,Novon,2005,15(1): 202 (-206; figs. 1-2),14256-2,citation,Novon 15(1): 202 (-206; figs. 1-2). 2005 [29 Apr 2005] ,FALSE,TRUE,holotype INPA;isotype K;isotype MG;isotype MO;isotype NY;isotype R;isotype SP;isotype U,1.2,60438477-2,urn:lsid:ipni.org:names:60438477-2,wfo-0000737430,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/644375&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,644375,29 Apr 2005,NA,29 Sep 1995,"Amazonas: Res. Flor. Ducke, Manaus-Itacoatiara, km 26, permanently tagged tree 3325-74",,NA
Siparuna_foetida,Barb.Rodr.,Barb.Rodr.,,spec.,/n/237201-2,Monimiaceae,Siparuna,foetida,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Vellosia,1891,"ed. 2, 1: 68, pl. 21",3884-2,citation,"Vellosia ed. 2, 1: 68, pl. 21. 1891 ",FALSE,TRUE,NA,1.4,237201-2,urn:lsid:ipni.org:names:237201-2,wfo-0000737431,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_glossostyla,Perkins,Perkins,,spec.,/n/237208-2,Monimiaceae,Siparuna,glossostyla,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,"28(5): 704, pl. 13",553-2,citation,"Bot. Jahrb. Syst. 28(5): 704, pl. 13. 1901 [11 Jan 1901] ",FALSE,TRUE,NA,1.5,237208-2,urn:lsid:ipni.org:names:237208-2,wfo-0001084452,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=5&rft.spage=704&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11 Jan 1901,NA,NA,NA,,NA
