name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,referenceRemarks,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,collectionDate1,locality,pageAsText,publicationYearNote,typeCoordinates,typeLocations,wfoId,bhlLink,remarks,typeNote,infraspecies,originalRemarks,speciesAuthor,originalTaxonDistribution,bibliographicReference,typeChosenBy,nameStatus,nameStatusType
Hyptis_elata,Briq.,Briq.,,spec.,/n/126827-2,Lamiaceae,Hyptis,elata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Nat. Pflanzenfam. [Engler & Prantl],1897,"4, Abt. 3a: 346",14495-2,citation,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 3a: 346. 1897 ",NA,FALSE,TRUE,1.1.2.1.1.5,126827-2,urn:lsid:ipni.org:names:126827-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,wfo-0000216640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_lavoisierifolia,"A.Soares, J.F.B.Pastore & Harley","A.Soares, J.F.B.Pastore & Harley",,spec.,/n/77219941-1,Lamiaceae,Hyptis,lavoisierifolia,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,507(2): 176,20011462-1,citation,Phytotaxa 507(2): 176. 2021 [9 Jun 2021] [epublished],[epublished],FALSE,TRUE,1.1,77219941-1,urn:lsid:ipni.org:names:77219941-1,TRUE,TRUE,TRUE,FALSE,FALSE,640,"Soares, A.S. et al.",14 Feb 2021,"Mun. Alto Paraíso de Goiás, Parque Nacional da Chapada dos Veadeiros, Morro vizinho ao Morro da Baleia, 1275 m",NA,9 Jun 2021,,holotype UFRN,wfo-1000027445,NA,"doi:10.11646/phytotaxa.507.2.5 The epithet is a reference to the plant genus Lavoisiera Candolle (1828:102), the leaves of which resemble the new species.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_marrubiifolia,Epling & Mathias,Epling & Mathias,,spec.,/n/126983-2,Lamiaceae,Hyptis,marrubiifolia,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1957,8: 299,561-2,citation,Brittonia 8: 299. 1957 ,NA,FALSE,TRUE,1.4,126983-2,urn:lsid:ipni.org:names:126983-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,wfo-0000216846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_melittiflora,Harley & J.F.B.Pastore,Harley & J.F.B.Pastore,,spec.,/n/77216859-1,Lamiaceae,Hyptis,melittiflora,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,2021,76(2): 235,987-2,citation,Kew Bull. 76(2): 235. 2021 [31 May 2021] [epublished],[epublished],FALSE,TRUE,1.2,77216859-1,urn:lsid:ipni.org:names:77216859-1,TRUE,TRUE,TRUE,FALSE,FALSE,1823,"Pastore, Harley &amp; Santos",13 Mar 2007,Cavalcante: Serra da Contenda,NA,31 May 2021,,holotype HUEFS 117640;isotype CEN 68684;isotype K,wfo-1000027446,NA,"doi:10.1007/S12225-021-09942-7 Etymology: the flowers of Hyptis melittiflora are much visited by honey bees, attracted to both the pollen and the abundant nectar.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_normalis,Gand.,Gand.,,spec.,/n/127027-2,Lamiaceae,Hyptis,normalis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Soc. Bot. France,1918,65: 66,578-2,citation,Bull. Soc. Bot. France 65: 66. 1918 ,NA,FALSE,TRUE,1.5,127027-2,urn:lsid:ipni.org:names:127027-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,344659,NA,,NA,wfo-0000216901,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/344659&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_quadrangularis,Glaz.,Glaz.,,spec.,/n/127093-2,Lamiaceae,Hyptis,quadrangularis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 553,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 553. 1911 ,NA,FALSE,TRUE,1.4,127093-2,urn:lsid:ipni.org:names:127093-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_sancti-gabrieli,Harley,Harley,,spec.,/n/20001179-1,Lamiaceae,Hyptis,sancti-gabrieli,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Kew Bull.,2001,56(3): 686,987-2,citation,"Kew Bull. 56(3): 686. 2001 [11 Oct 2001] , as 'sancti-gabrielii'",as 'sancti-gabrielii',FALSE,TRUE,1.4,20001179-1,urn:lsid:ipni.org:names:20001179-1,TRUE,TRUE,TRUE,FALSE,FALSE,53920,Harley; Giulietti,28 May 2000,"São Gabriel, Alto da Lagoa Nova",NA,11 Oct 2001,,isotype HUEFS;isotype K;isotype IPA;isotype CPATSA,wfo-0000796038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_sancti-gabrieli,Harley,Harley,,spec.,/n/321865-2,Lamiaceae,Hyptis,sancti-gabrieli,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,2001,56(3): 686 (685-690; fig. 1; tab. 1),987-2,citation,"Kew Bull. 56(3): 686 (685-690; fig. 1; tab. 1). 2001 [11 Oct 2001] , as 'sancti-gabrielii'",as 'sancti-gabrielii',FALSE,TRUE,1.2.5.1.1.3,321865-2,urn:lsid:ipni.org:names:321865-2,TRUE,TRUE,TRUE,FALSE,FALSE,53920,R.M.Harley &amp; A.M.Giulietti,28 May 2000,"Sao Gabriel, Alto da Lagoa Nova",NA,11 Oct 2001,,holotype HUEFS null;isotype CPATSA null;isotype HUEFS null;isotype IPA null;isotype K null,NA,NA,Specific epithet refers to a geographical area Sao Gabriel.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyptis_spathulata,Harley,Harley,,spec.,/n/77295994-1,Lamiaceae,Hyptis,spathulata,tax. nov.,"Rondônia (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Rodriguésia,2021,72(e00922019): 8,1167-2,citation,Rodriguésia 72(e00922019): 8. 2021 [epublished],[epublished],FALSE,TRUE,1.1,77295994-1,urn:lsid:ipni.org:names:77295994-1,TRUE,TRUE,TRUE,FALSE,FALSE,1086,Ribeiro,4 Jul 1975,"Igarapé Preto, RADAM Ponto 61-Q. XB-SC-20",NA,NA,,holotype IAN IAN149776;isotype MG;isotype RB,wfo-1000027449,NA,doi:10.1590/2175-7860202172011 Etymology: 'The name was given in reference to the spathulate leaves shape'.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsypianthes_dunensis,A.Soares & Harley,A.Soares & Harley,,spec.,/n/77319550-1,Lamiaceae,Marsypianthes,dunensis,tax. nov.,"Rio Grande do Norte (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,FALSE,,Kew Bull.,2023,78(3): 320,987-2,citation,Kew Bull. 78(3): 320. 2023 [14 Jun 2023] [epublished],[epublished],FALSE,TRUE,1.3,77319550-1,urn:lsid:ipni.org:names:77319550-1,TRUE,FALSE,TRUE,FALSE,FALSE,658,A.S.Soares &amp; A.A.Roque,14 Feb 2022,"Rio Grande do Norte, Mun. Natal: Parque Estadual Dunas do Natal Jornalista Luiz Maria Alves. Dunas no final da Trilha da Peroba, 36 m",NA,14 Jun 2023,,holotype RN RN00005085;isotype CEPEC;isotype CTBS;isotype RB;isotype SAMES;isotype UFRN,NA,NA,doi:10.1007/s12225-023-10115-x,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsypianthes_tubulosa,"A.Soares, J.F.B.Pastore & Harley","A.Soares, J.F.B.Pastore & Harley",,spec.,/n/77299354-1,Lamiaceae,Marsypianthes,tubulosa,tax. nov.,"Tocantins (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Bot. Brasil.,2021,34(4): 784,1225-2,citation,Acta Bot. Brasil. 34(4): 784. 2021 [22 Mar 2021] [epublished],[epublished],FALSE,TRUE,1.1,77299354-1,urn:lsid:ipni.org:names:77299354-1,TRUE,TRUE,TRUE,FALSE,FALSE,2481,"J.F.B.Pastore, R.M.Harley &amp; E.Suganuma",16 Jan 2008,"Natividade, 340 m",NA,22 Mar 2021,,holotype HUEFS;isotype UFG,wfo-1000027833,NA,doi:10.1590/0102-33062020abb0287,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oocephalus_campestris,A.Soares & Harley,A.Soares & Harley,,spec.,/n/77313384-1,Lamiaceae,Oocephalus,campestris,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,FALSE,,Syst. Bot.,2022,47(2): 526,1295-2,citation,Syst. Bot. 47(2): 526. 2022 [14 Jun 2022] [epublished],[epublished],FALSE,TRUE,1.2,77313384-1,urn:lsid:ipni.org:names:77313384-1,TRUE,FALSE,TRUE,FALSE,FALSE,614,A. S. Soares. &amp; G. S. Garcia,8 Jun 2019,"Alto Paraiso de Goias, estrada para Nova Roma, morro apos trilha existente proximo a beira da estrada, 1275 m",NA,14 Jun 2022,,holotype UFRN,NA,NA,doi:10.1600/036364422X16512564801588 Etymology: name refers to the open savanna in which the species was found.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oocephalus_griseus,A.Soares & Harley,A.Soares & Harley,,spec.,/n/77313383-1,Lamiaceae,Oocephalus,griseus,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,FALSE,,Syst. Bot.,2022,47(2): 525,1295-2,citation,Syst. Bot. 47(2): 525. 2022 [14 Jun 2022] [epublished],[epublished],FALSE,TRUE,1.1,77313383-1,urn:lsid:ipni.org:names:77313383-1,TRUE,FALSE,TRUE,FALSE,FALSE,1759,J. R. Pirani et al.,7 Feb 1987,"Mun. Alto Paraiso de Goias, Parque Nacional da Chapada dos Veadeiros, ca. 1.0 km da sede do Parque Nacional da Chapada dos Veadeiros, 1025 m",NA,14 Jun 2022,,holotype SPF;isotype HUEFS;isotype K;isotype W,NA,NA,"doi:10.1600/036364422X16512564801588 Etymology: name refers to the colour of the leaves, which are greenish white, appearing whitish grey under natural light.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Oocephalus_rhodocalyx,A.Soares & Harley,A.Soares & Harley,,spec.,/n/77216861-1,Lamiaceae,Oocephalus,rhodocalyx,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,2021,76(2): 252,987-2,citation,Kew Bull. 76(2): 252. 2021 [22 May 2021] [epublished],[epublished],FALSE,TRUE,1.2,77216861-1,urn:lsid:ipni.org:names:77216861-1,TRUE,TRUE,TRUE,FALSE,FALSE,2666,J.L.Costa-Lima et al.,11 Jan 2016,"Mun. Piatã: área de campo rupestre no acesso ao Pico do Tijuquinho, 1695 m",NA,22 May 2021,,holotype HUEFS;isotype UFRN,wfo-1000028186,NA,doi:10.1007/S12225-021-09944-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia_camporum,Epling,Epling,,spec.,/n/226459-2,Lamiaceae,Salvia,camporum,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,FALSE,,Bull. Torrey Bot. Club,1944,71: 489,586-2,citation,Bull. Torrey Bot. Club 71: 489. 1944 ,NA,FALSE,TRUE,1.1.2.1.1.1.2.1.1.1,226459-2,urn:lsid:ipni.org:names:226459-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,wfo-0000300567,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1944&rft.spage=489&rft.volume=71&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Satureja_cylindristachys,Epling & Játiva,Epling & Játiva,,spec.,/n/227875-2,Lamiaceae,Satureja,cylindristachys,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1966,18: 263,561-2,citation,Brittonia 18: 263. 1966 ,NA,FALSE,TRUE,1.4,227875-2,urn:lsid:ipni.org:names:227875-2,FALSE,TRUE,TRUE,FALSE,FALSE,3869,"P.C.Hutchison, J.K.Wright",NA,NA,NA,NA,,null UC;isotype USM;isotype K,wfo-0000304098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitex_pomerana,"Fraga, Antar, J.Freitas & Lírio","Fraga, Antar, J.Freitas & Lírio",,spec.,/n/77306713-1,Lamiaceae,Vitex,pomerana,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,2022,77(4): 942,987-2,citation,Kew Bull. 77(4): 942. 2022 [4 Nov 2022] [epublished],[epublished],FALSE,TRUE,1.2,77306713-1,urn:lsid:ipni.org:names:77306713-1,TRUE,TRUE,TRUE,FALSE,FALSE,524,Freitas et al.,23 Feb 2022,"Santa Leopoldina, Luxemburgo, Pedra Preta",NA,4 Nov 2022,,holotype MBML;isotype K;isotype NY;isotype RB;isotype SAMES;isotype SPF,NA,NA,"doi:10.1007/S12225-022-10064-X Etymology: because the new species is restricted to the Espírito Santo mountains, the name honours the Pomeranian people of Espírito Santo.",NA,NA,NA,NA,NA,NA,NA,NA,NA
