name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,remarks,suppressed,topCopy,typeNote,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,typeLocations,wfoId,bhlLink,infraspecies,speciesAuthor,pageAsText,collectionDate1,locality,typeCoordinates
Smilax_acantophylla,Vell.,Vell.,,spec.,/n/315351-2,Smilacaceae,Smilax,acantophylla,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,FALSE,,Fl. Flumin. Icon.,1831,1827 publ. 29 Oct 1831,10: t. 114,12892-2,citation,Fl. Flumin. Icon. 10: t. 114. 1831 [1827 publ. 29 Oct 1831] ,[Gandhi 8 Apr 1998],FALSE,TRUE,"Vell., Fl. Flumin. 10: t. 114. 1831.",1.5,315351-2,urn:lsid:ipni.org:names:315351-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Smilax_odontolama,Mart. ex Griseb.,Mart. ex Griseb.,,spec.,/n/315363-2,Smilacaceae,Smilax,odontolama,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,FALSE,,Fl. Bras. (Martius),1842,1 Apr 1842,3(1): 18,629-2,citation,Fl. Bras. (Martius) 3(1): 18. 1842 [1 Apr 1842] ,"[Gandhi 8 Apr 1998; Pesquisas, Bot. 47: 171. 1997]",FALSE,TRUE,NA,1.8,315363-2,urn:lsid:ipni.org:names:315363-2,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,C.F.P.Martius,holotype M,wfo-0000753146,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135466&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,135466,NA,NA,
