name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,pageAsText,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeLocations,nameStatus,nameStatusType,typeNote,typeCoordinates,originalTaxonDistribution,typeRemarks,originalRemarks,basionymAuthorStr
Alloplectus_dimorphobracteatus,Hoehne,Hoehne,,spec.,/n/9233-2,Gesneriaceae,Alloplectus,dimorphobracteatus,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Sellowia,1958,NA,no. 9: 46,1217-2,citation,Sellowia no. 9: 46. 1958 ,FALSE,TRUE,1.2,9233-2,urn:lsid:ipni.org:names:9233-2,wfo-0000526997,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Alloplectus_sylvarum,S.Moore,S.Moore,,spec.,/n/9290-2,Gesneriaceae,Alloplectus,sylvarum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 411",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 411. 1895 ",FALSE,TRUE,1.2,9290-2,urn:lsid:ipni.org:names:9290-2,wfo-0000527087,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Alloplectus_tomentosus,Glaz.,Glaz.,,spec.,/n/9294-2,Gesneriaceae,Alloplectus,tomentosus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 515,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 515. 1911 ,FALSE,TRUE,1.3,9294-2,urn:lsid:ipni.org:names:9294-2,wfo-0000527095,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Besleria_bonodora,Vell.,Vell.,,spec.,/n/31866-2,Gesneriaceae,Besleria,bonodora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Flumin.,1829,1825 publ. 7 Sep-28 Nov 1829,261,932-2,citation,Fl. Flumin. 261. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,FALSE,TRUE,1.4,31866-2,urn:lsid:ipni.org:names:31866-2,wfo-0001019629,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=261&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,[Gandhi; LT],NA,NA,NA,"Vell., Fl. Flumin. Ic. 6, t. 80. 1831.",,NA,NA,NA,NA
Codonanthe_florida,Pamp.,Pamp.,,spec.,/n/62659-2,Gesneriaceae,Codonanthe,florida,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Nuovo Giorn. Bot. Ital.,1907,NA,14: 597,763-2,citation,Nuovo Giorn. Bot. Ital. 14: 597. 1907 ,FALSE,TRUE,1.2,62659-2,urn:lsid:ipni.org:names:62659-2,wfo-0000614021,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Corytholoma_calcareum,Dusén ex Malme,Dusén ex Malme,,spec.,/n/275147-2,Gesneriaceae,Corytholoma,calcareum,tax. nov.,"Paraná (Brazil, Southern America)",FALSE,FALSE,FALSE,,Ark. Bot.,1937,NA,29A(3): 7 (fig. 3.),536-2,citation,Ark. Bot. 29A(3): 7 (fig. 3.). 1937 ,FALSE,TRUE,1.3,275147-2,urn:lsid:ipni.org:names:275147-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,8711,P.K.H.Dusén,NA,NA,NA,NA,holotype S,NA,NA,NA,,NA,NA,NA,NA
Corytholoma_oliganthum,Malme,Malme,,spec.,/n/66696-2,Gesneriaceae,Corytholoma,oliganthum,tax. nov.,"Paraná (Brazil, Southern America)",FALSE,FALSE,TRUE,,Ark. Bot.,1937,NA,"29A(3): 7, fig. 4",536-2,citation,"Ark. Bot. 29A(3): 7, fig. 4. 1937 ",FALSE,TRUE,1.2,66696-2,urn:lsid:ipni.org:names:66696-2,wfo-0000623486,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Drymonia_maculata,S.Moore,S.Moore,,spec.,/n/84449-2,Gesneriaceae,Drymonia,maculata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 410",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 410. 1895 ",FALSE,TRUE,1.3,84449-2,urn:lsid:ipni.org:names:84449-2,wfo-0000657445,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Gasteranthus_glaber,Poit. ex Meisn.,Poit. ex Meisn.,,spec.,/n/107509-2,Gesneriaceae,Gasteranthus,glaber,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Fl. Bras. (Martius),1869,1 Aug 1869,7: 206,629-2,citation,Fl. Bras. (Martius) 7: 206. 1869 [1 Aug 1869] ,FALSE,TRUE,1.6,107509-2,urn:lsid:ipni.org:names:107509-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141377&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,141377,s.n.,P.A.Poiteau,NA,NA,NA,NA,lectotype G,NA,NA,Convolvulaceas da Amazonia,,NA,NA,NA,NA
Gesnera_fruticulosa,Glaz.,Glaz.,,spec.,/n/109650-2,Gesneriaceae,Gesnera,fruticulosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 514,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 514. 1911 ,FALSE,TRUE,1.3,109650-2,urn:lsid:ipni.org:names:109650-2,wfo-0000702086,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Gesnera_macrorhiza,Dumort.,Dumort.,,spec.,/n/109693-2,Gesneriaceae,Gesnera,macrorhiza,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Acad. Roy. Sci. Bruxelles,1836,NA,3: 361,873-2,citation,Bull. Acad. Roy. Sci. Bruxelles 3: 361. 1836 ,FALSE,TRUE,1.1.2.1,109693-2,urn:lsid:ipni.org:names:109693-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1836&rft.spage=361&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/5550&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Gesnera_pilosa,Glaz.,Glaz.,,spec.,/n/109720-2,Gesneriaceae,Gesnera,pilosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 513,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 513. 1911 ,FALSE,TRUE,1.3,109720-2,urn:lsid:ipni.org:names:109720-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
×_Goydirola punctata,A.O.Araujo & M.Peixoto,A.O.Araujo & M.Peixoto,,spec.,/n/77218985-1,Gesneriaceae,Goydirola,punctata,tax. nov.,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",TRUE,TRUE,TRUE,,Phytotaxa,2021,20 Apr 2021,497(2): 82,20011462-1,citation,Phytotaxa 497(2): 82. 2021 [20 Apr 2021] [epublished],FALSE,TRUE,1.2,77218985-1,urn:lsid:ipni.org:names:77218985-1,wfo-1000025283,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,1170,A.O. Araujo,27 Oct 2020,"Chapada dos Guimarães, 551m",[epublished],"doi:10.11646/phytotaxa.497.2.2 The epithet refers to the dots in the tube, mouth and lobes of corolla.",holotype SORO,NA,NA,NA,,NA,"Prepared from plant in cultivation at Biritiba Ussu, near Mogi das Cruzes, São Paulo, Brazil, from field collected material in Mato Grosso.",NA,NA
Houttea_caulescens,Glaz.,Glaz.,,spec.,/n/124347-2,Gesneriaceae,Houttea,caulescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 513,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 513. 1911 ,FALSE,TRUE,1.3,124347-2,urn:lsid:ipni.org:names:124347-2,wfo-0000725050,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
