name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,nameStatus,nameStatusType,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,pageAsText,publicationYearNote,bhlLink,collectionNumber,collectorTeam,typeLocations,speciesAuthor,remarks,originalRemarks,collectionDate1,locality,referenceRemarks,typeCoordinates
Anisum_stellatum,Mure,Mure,,spec.,/n/60459106-2,Apiaceae,Anisum,stellatum,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,nom. inval. nom. nud.,nom. inval.,,Doctrine Ecole Rio de Janeiro Pathog. Brésil.,1849,361,20013524-2,citation,Doctrine Ecole Rio de Janeiro Pathog. Brésil. 361. 1849 ,FALSE,TRUE,1.1,60459106-2,urn:lsid:ipni.org:names:60459106-2,wfo-0001354111,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Crantzia_brasiliensis,Glaz.,Glaz.,,spec.,/n/275241-2,Apiaceae,Crantzia,brasiliensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Bull. Soc. Bot. France,1909,56(Mém. 3d): 331,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 331. 1909 ,FALSE,TRUE,1.5,275241-2,urn:lsid:ipni.org:names:275241-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,18510,A.F.M.Glaziou,holotype P,NA,NA,NA,NA,NA,NA,
Hydrocotyle_bradei,Rossberg ex Pilg.,Rossberg ex Pilg.,,spec.,/n/125124-2,Apiaceae,Hydrocotyle,bradei,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1935,12: 691,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 12: 691. 1935 ,FALSE,TRUE,1.5,125124-2,urn:lsid:ipni.org:names:125124-2,wfo-0000726351,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=691&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hydrocotyle_itatiaiensis,Brade,Brade,,spec.,/n/125162-2,Apiaceae,Hydrocotyle,itatiaiensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Rodriguésia,1947,"10, no. 20: 44, tab. 5",1167-2,citation,"Rodriguésia 10, no. 20: 44, tab. 5. 1947 ",FALSE,TRUE,1.4,125162-2,urn:lsid:ipni.org:names:125162-2,wfo-0000726466,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hydrocotyle_palmata,Mathias,Mathias,,spec.,/n/125187-2,Apiaceae,Hydrocotyle,palmata,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Brittonia,1936,2: 219,561-2,citation,Brittonia 2: 219. 1936 ,FALSE,TRUE,1.4,125187-2,urn:lsid:ipni.org:names:125187-2,wfo-0001068062,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hydrocotyle_ulei,H.Wolff,H.Wolff,,spec.,/n/125225-2,Apiaceae,Hydrocotyle,ulei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Bot. Jahrb. Syst.,1908,40(3): 281,553-2,citation,Bot. Jahrb. Syst. 40(3): 281. 1908 [24 Jan 1908] ,FALSE,TRUE,1.1.2.1.1.3,125225-2,urn:lsid:ipni.org:names:125225-2,wfo-0000726614,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,24 Jan 1908,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.issue=3&rft.spage=281&rft.volume=40&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,
