name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,publicationYearNote,collectionNumber,collectorTeam,typeLocations,infraspecies,speciesAuthor,remarks,pageAsText,typeNote,collectionDate1,locality,referenceRemarks,typeCoordinates
Buchenavia_× acuminata,Exell & Stace,Exell & Stace,,spec.,/n/37618-2,Combretaceae,Buchenavia,acuminata,tax. nov.,"Amazonas (Brazil, Southern America)",TRUE,FALSE,TRUE,,"Bull. Brit. Mus. (Nat. Hist.), Bot.",1963,3(1): 29,1955-2,citation,"Bull. Brit. Mus. (Nat. Hist.), Bot. 3(1): 29. 1963 ",FALSE,TRUE,1.3,37618-2,urn:lsid:ipni.org:names:37618-2,wfo-0000573467,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1963&rft.issue=1&rft.spage=29&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/2198&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Buchenavia_fluminensis,Glaz.,Glaz.,,spec.,/n/37624-2,Combretaceae,Buchenavia,fluminensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,FALSE,TRUE,1.3,37624-2,urn:lsid:ipni.org:names:37624-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Combretum_glaziovianum,Taub.,Taub.,,spec.,/n/63791-2,Combretaceae,Combretum,glaziovianum,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1908,54(Mém. 3c): 204,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 204. 1908 ,FALSE,TRUE,1.5,63791-2,urn:lsid:ipni.org:names:63791-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Grislea_bibrachiata,Hoehne,Hoehne,,spec.,/n/113668-2,Combretaceae,Grislea,bibrachiata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bol. Agric. (Sao Paulo),1933,"625, pl. 13",9000-2,citation,"Bol. Agric. (Sao Paulo) 625, pl. 13. 1933 ",FALSE,TRUE,1.2,113668-2,urn:lsid:ipni.org:names:113668-2,wfo-0001349395,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ramatuela_crispialata,Ducke,Ducke,,spec.,/n/284122-2,Combretaceae,Ramatuela,crispialata,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Inst. Biol. Veg.,1935,2(1): 65,851-2,citation,Arq. Inst. Biol. Veg. 2(1): 65. 1935 [Sep 1935] ,FALSE,TRUE,1.4,284122-2,urn:lsid:ipni.org:names:284122-2,wfo-0000398934,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Sep 1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ramatuela_maguirei,Exell & Stace,Exell & Stace,,spec.,/n/216915-2,Combretaceae,Ramatuela,maguirei,tax. nov.,Venezuela &amp; Brazil,FALSE,FALSE,TRUE,,"Bull. Brit. Mus. (Nat. Hist.), Bot.",1963,"3(1): 41, fig. 4a, b, 5a, b",1955-2,citation,"Bull. Brit. Mus. (Nat. Hist.), Bot. 3(1): 41, fig. 4a, b, 5a, b. 1963 ",FALSE,TRUE,1.3,216915-2,urn:lsid:ipni.org:names:216915-2,wfo-0000398889,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1963&rft.issue=1&rft.spage=41&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/2198&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Terminalia_debilis,Glaz.,Glaz.,,spec.,/n/250548-2,Combretaceae,Terminalia,debilis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,FALSE,TRUE,1.4,250548-2,urn:lsid:ipni.org:names:250548-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Terminalia_excelsa,Glaz.,Glaz.,,spec.,/n/250552-2,Combretaceae,Terminalia,excelsa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,FALSE,TRUE,1.3,250552-2,urn:lsid:ipni.org:names:250552-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Terminalia_festinata,S.Moore,S.Moore,,spec.,/n/250556-2,Combretaceae,Terminalia,festinata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 352",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 352. 1895 ",FALSE,TRUE,1.2,250556-2,urn:lsid:ipni.org:names:250556-2,wfo-0000408775,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Terminalia_rotundifolia,Glaz.,Glaz.,,spec.,/n/250583-2,Combretaceae,Terminalia,rotundifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,FALSE,TRUE,1.4,250583-2,urn:lsid:ipni.org:names:250583-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
