name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,pageAsText,publicationYearNote,speciesAuthor,basionymStr,basionymAuthorStr,basionymId,collectionDate1,locality,typeCoordinates,remarks,nameStatus,nameStatusType,originalTaxonDistribution,referenceRemarks
Burseranthe_pinnata,Rizzini,Rizzini,,spec.,/n/38696-2,Meliaceae,Burseranthe,pinnata,tax. nov.,8710,Paiva,Brazil (Southern America),FALSE,FALSE,TRUE,,Leandra,1974,"no. 4-5: 5 [-6], fig. 1",2466-2,citation,"Leandra no. 4-5: 5 [-6], fig. 1. 1974 ",FALSE,TRUE,holotype RB,1.3,38696-2,urn:lsid:ipni.org:names:38696-2,wfo-0000691150,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cabralea_cauliflora,Harms,Harms,,spec.,/n/39045-2,Meliaceae,Cabralea,cauliflora,tax. nov.,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1937,13: 501,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 13: 501. 1937 ,FALSE,TRUE,NA,1.3,39045-2,urn:lsid:ipni.org:names:39045-2,wfo-0000577397,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=501&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cabralea_floribunda,Harms,Harms,,spec.,/n/39048-2,Meliaceae,Cabralea,floribunda,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1937,13: 502,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 13: 502. 1937 ,FALSE,TRUE,NA,1.3,39048-2,urn:lsid:ipni.org:names:39048-2,wfo-0000577406,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=502&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cabralea_humilis,C.DC.,C.DC.,,spec.,/n/39049-2,Meliaceae,Cabralea,humilis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,"ser. 2, 1: 365",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 365. 1901 ",FALSE,TRUE,NA,1.1.2.1.1.1,39049-2,urn:lsid:ipni.org:names:39049-2,wfo-0000577411,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cabralea_microcalyx,Harms,Harms,,spec.,/n/39054-2,Meliaceae,Cabralea,microcalyx,tax. nov.,NA,NA,"Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,"30(1, Beibl. 67): 34",553-2,citation,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 34. 1901 [12 Mar 1901] ",FALSE,TRUE,NA,1.6,39054-2,urn:lsid:ipni.org:names:39054-2,wfo-0000577424,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/211833&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,211833,12 Mar 1901,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cabralea_schwackei,C.DC.,C.DC.,,spec.,/n/39068-2,Meliaceae,Cabralea,schwackei,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,"ser. 2, 1: 365",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 365. 1901 ",FALSE,TRUE,NA,1.1.2.1.1.1,39068-2,urn:lsid:ipni.org:names:39068-2,wfo-0000577451,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cabralea_villosa,C.DC.,C.DC.,,spec.,/n/39070-2,Meliaceae,Cabralea,villosa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,10: 134,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 134. 1907 ,FALSE,TRUE,NA,1.1.2.1.1.1,39070-2,urn:lsid:ipni.org:names:39070-2,wfo-0000577458,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=134&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cedrela_barbata,C.DC.,C.DC.,,spec.,/n/50979-2,Meliaceae,Cedrela,barbata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1894,2: 575,573-2,citation,Bull. Herb. Boissier 2: 575. 1894 ,FALSE,TRUE,NA,1.1.2.1.1.1,50979-2,urn:lsid:ipni.org:names:50979-2,wfo-0000592387,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=575&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cedrela_caldasana,C.DC.,C.DC.,,spec.,/n/50984-2,Meliaceae,Cedrela,caldasana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,10: 170,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 170. 1907 ,FALSE,TRUE,NA,1.1.2.1.1.1,50984-2,urn:lsid:ipni.org:names:50984-2,wfo-0000592397,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=170&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cedrela_longiflora,C.DC.,C.DC.,,spec.,/n/50999-2,Meliaceae,Cedrela,longiflora,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,10: 173,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 173. 1907 ,FALSE,TRUE,NA,1.1.2.1.1.1,50999-2,urn:lsid:ipni.org:names:50999-2,wfo-0000592427,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=173&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
