name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionDate1,locality,publicationYearNote,remarks,originalRemarks,infraspecies,pageAsText,speciesAuthor,originalTaxonDistribution,referenceRemarks,typeCoordinates
Callisthene_clausseniana,Briq.,Briq.,,spec.,/n/42474-2,Vochysiaceae,Callisthene,clausseniana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1919,20: 378,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 20: 378. 1919 ,FALSE,TRUE,NA,1.1.2.1.1.2,42474-2,urn:lsid:ipni.org:names:42474-2,wfo-0000580691,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=378&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Callisthene_durifolia,Briq.,Briq.,,spec.,/n/42476-2,Vochysiaceae,Callisthene,durifolia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1919,20: 377,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 20: 377. 1919 ,FALSE,TRUE,NA,1.1.2.1.1.2,42476-2,urn:lsid:ipni.org:names:42476-2,wfo-0000580693,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=377&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Callisthene_elisha-florae,Duarte,Duarte,,spec.,/n/60466411-2,Vochysiaceae,Callisthene,elisha-florae,tax. nov.,9509,A. P. Duarte,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,"1: 16, fig. 5",16544-2,citation,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 16, fig. 5. 1968 [Oct 1968] ",FALSE,TRUE,holotype RB?,1.2,60466411-2,urn:lsid:ipni.org:names:60466411-2,wfo-0000580694,FALSE,TRUE,TRUE,FALSE,FALSE,NA,25 Oct 1965,"beside the road then being built between Sao Domingos, Goais and Barreiras, Bahia, Chapada do Alto da Serra das Divisoes",Oct 1968,"Eponymy: late Ms. Elisha Flora Wanderley Duarte, daughter of the author",NA,NA,NA,NA,NA,NA,
Callisthene_glazioui,Briq.,Briq.,,spec.,/n/42477-2,Vochysiaceae,Callisthene,glazioui,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1919,20: 379,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 20: 379. 1919 ,FALSE,TRUE,NA,1.1.2.1.1.1,42477-2,urn:lsid:ipni.org:names:42477-2,wfo-0000580698,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=379&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Callisthene_revoluta,Duarte,Duarte,,spec.,/n/60466410-2,Vochysiaceae,Callisthene,revoluta,tax. nov.,9537,A. P. Duarte,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,"1: 13, fig. 4",16544-2,citation,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 13, fig. 4. 1968 [Oct 1968] ",FALSE,TRUE,holotype RB?,1.2,60466410-2,urn:lsid:ipni.org:names:60466410-2,wfo-0000580709,FALSE,TRUE,TRUE,FALSE,FALSE,NA,28 Oct 1965,"stony savannah, besides the road from Barreiras to Caatete",Oct 1968,NA,NA,NA,NA,NA,NA,NA,
Erisma_petiolatum,Gleason,Gleason,,spec.,/n/96006-2,Vochysiaceae,Erisma,petiolatum,tax. nov.,NA,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Torrey Bot. Club,1933,60: 363,586-2,citation,Bull. Torrey Bot. Club 60: 363. 1933 ,FALSE,TRUE,NA,1.4,96006-2,urn:lsid:ipni.org:names:96006-2,wfo-0000676231,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=363&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Qualea_amapaensis,Balslev & S.A.Mori,Balslev & S.A.Mori,,spec.,/n/215231-2,Vochysiaceae,Qualea,amapaensis,tax. nov.,48210,H.S.Irwin et al.,Brazil (Southern America),FALSE,FALSE,TRUE,,Brittonia,1981,"33: 5 (-6), figs",561-2,citation,"Brittonia 33: 5 (-6), figs. 1981 ",FALSE,TRUE,holotype IAN,1.4,215231-2,urn:lsid:ipni.org:names:215231-2,wfo-0000733066,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Qualea_arirambae,Ducke,Ducke,,spec.,/n/215234-2,Vochysiaceae,Qualea,arirambae,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1915,"1: 47, pl. 15, 19",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 1: 47, pl. 15, 19. 1915 ",FALSE,TRUE,NA,1.2,215234-2,urn:lsid:ipni.org:names:215234-2,wfo-0000733069,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Qualea_johannabakkerae,Marc.-Berti,Marc.-Berti,,spec.,/n/70029997-1,Vochysiaceae,Qualea,johannabakkerae,tax. nov.,INPA/WWF 3304.3351.2,E.Palheta,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Bot. Venez.,2002,25(2): 112 (2002),1342-2,citation,Acta Bot. Venez. 25(2): 112 (2002). ,FALSE,TRUE,holotype K,1.3,70029997-1,urn:lsid:ipni.org:names:70029997-1,wfo-0000398818,FALSE,TRUE,TRUE,FALSE,FALSE,NA,19 Apr 1989,"Mun. de Manaus, ca. 90 km N de Manaus, Distrito Agropecuário da SUFRAMA, rodovia BR 174, km 64, depois 7 km leste na ZF3, fazenda Porto Alegre, Reserva no. 3304",NA,NA,NA,NA,NA,NA,NA,NA,
Qualea_johannabakkeri,Marc.-Berti,Marc.-Berti,,spec.,/n/328381-2,Vochysiaceae,Qualea,johannabakkeri,tax. nov.,INPA/WWF 3304.3351.2,E.Palheta,"Mun. de Manaus, ca. 90 km N de Manaus, Distr. Agropecuário da SUFRAMA, rodovia BR 174, km 64, depois 7 km leste na ZF3, fazenda Porto Alegre, 2°22'S, 59°57'W, Reserva no. 3304, Amazonas (Brazil, Southern America)",FALSE,FALSE,FALSE,,Acta Bot. Venez.,2002,"25(2): 112 (-114, 117-118; fig. 1)",1342-2,citation,"Acta Bot. Venez. 25(2): 112 (-114, 117-118; fig. 1). 2002 ",FALSE,TRUE,holotype K,1.2,328381-2,urn:lsid:ipni.org:names:328381-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,specific epithet honors: Dr. Johanna Bakker-Kalkman,NA,NA,NA,NA,NA,NA,
