name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,locality,typeLocations,pageAsText,collectionDate1,nameStatus,nameStatusType,infraspecies,typeRemarks,basionymStr,basionymAuthorStr,basionymId,speciesAuthor,originalTaxonDistribution,typeCoordinates,typeNote,originalRemarks,collectionDate2
Calathea_gracilis,Petersen,Petersen,,spec.,/n/41027-2,Marantaceae,Calathea,gracilis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1890,NA,1889: 328,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1889: 328. 1890 ,NA,NA,FALSE,TRUE,1.3,41027-2,urn:lsid:ipni.org:names:41027-2,wfo-0000342888,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=328&rft.volume=1889&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Calathea_picta,Hook.f.,Hook.f.,,spec.,/n/41103-2,Marantaceae,Calathea,picta,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Mag.,1899,NA,125: t. 7674,864-2,citation,Bot. Mag. 125: t. 7674. 1899 ,NA,NA,FALSE,TRUE,1.4,41103-2,urn:lsid:ipni.org:names:41103-2,wfo-0000343044,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Calathea_rodeckiana,K.Schum.,K.Schum.,,spec.,/n/41120-2,Marantaceae,Calathea,rodeckiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1902,8 Jul 1902,IV. 48(Heft 11): 115,3295-2,citation,Pflanzenr. (Engler) IV. 48(Heft 11): 115. 1902 [8 Jul 1902] ,NA,NA,FALSE,TRUE,1.2.2.1.1.1,41120-2,urn:lsid:ipni.org:names:41120-2,wfo-0000343076,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Calathea_subtilis,S.Moore,S.Moore,,spec.,/n/41145-2,Marantaceae,Calathea,subtilis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 487",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 487. 1895 ",NA,NA,FALSE,TRUE,1.3,41145-2,urn:lsid:ipni.org:names:41145-2,wfo-0000343118,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Ischnosiphon_argenteus,S.Moore,S.Moore,,spec.,/n/130256-2,Marantaceae,Ischnosiphon,argenteus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 485",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 485. 1895 ",NA,NA,FALSE,TRUE,1.3,130256-2,urn:lsid:ipni.org:names:130256-2,wfo-0000447134,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Ischnosiphon_concinnus,S.Moore,S.Moore,,spec.,/n/130264-2,Marantaceae,Ischnosiphon,concinnus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 484",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 484. 1895 ",NA,NA,FALSE,TRUE,1.3,130264-2,urn:lsid:ipni.org:names:130264-2,wfo-0000447165,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Ischnosiphon_flagellatus,Gleason,Gleason,,spec.,/n/130270-2,Marantaceae,Ischnosiphon,flagellatus,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Torrey Bot. Club,1933,NA,60: 351,586-2,citation,Bull. Torrey Bot. Club 60: 351. 1933 ,NA,NA,FALSE,TRUE,1.3,130270-2,urn:lsid:ipni.org:names:130270-2,wfo-0000447172,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=351&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Ischnosiphon_nemorosus,S.Moore,S.Moore,,spec.,/n/130294-2,Marantaceae,Ischnosiphon,nemorosus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 483",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 483. 1895 ",NA,NA,FALSE,TRUE,1.3,130294-2,urn:lsid:ipni.org:names:130294-2,wfo-0000447228,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Ischnosiphon_obliquiformis,Loes.,Loes.,,spec.,/n/130296-2,Marantaceae,Ischnosiphon,obliquiformis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Königl. Bot. Gart. Berlin,1915,NA,6: 272 (-273),3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 272 (-273). 1915 ,NA,NA,FALSE,TRUE,1.3,130296-2,urn:lsid:ipni.org:names:130296-2,wfo-0000447230,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=272&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,8106,E.H.G.Ule,NA,holotype B-destroyed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"LT: photo F9869 - Andersson, Opera Bot. 53: 36. 1977",NA,NA
Ischnosiphon_simplex,Huber,Huber,,spec.,/n/130308-2,Marantaceae,Ischnosiphon,simplex,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,NA,3: 411,858-2,citation,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 411. 1902 ,NA,NA,FALSE,TRUE,1.3,130308-2,urn:lsid:ipni.org:names:130308-2,wfo-0000447327,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
