name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,locality,typeLocations,pageAsText,collectionDate1,nameStatus,nameStatusType,infraspecies,typeRemarks,basionymStr,basionymAuthorStr,basionymId,speciesAuthor,originalTaxonDistribution,typeCoordinates,typeNote,originalRemarks,collectionDate2
Ischnosiphon_sphenophyllus,K.Schum.,K.Schum.,,spec.,/n/130310-2,Marantaceae,Ischnosiphon,sphenophyllus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1902,NA,"4, Fam. 48: 161",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 48: 161. 1902 ",NA,NA,FALSE,TRUE,1.3,130310-2,urn:lsid:ipni.org:names:130310-2,wfo-0000447336,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Ischnosiphon_uleanus,Loes.,Loes.,,spec.,/n/130312-2,Marantaceae,Ischnosiphon,uleanus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Königl. Bot. Gart. Berlin,1915,NA,6: 275,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 275. 1915 ,NA,NA,FALSE,TRUE,1.3,130312-2,urn:lsid:ipni.org:names:130312-2,wfo-0000447374,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=275&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_compressa,A.Dietr.,A.Dietr.,,spec.,/n/327242-2,Marantaceae,Maranta,compressa,tax. nov.,"Parque Nacional da Tijuca, trilha para o morro da Cocanha, Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Sp. Pl., ed. 6.",1831,NA,1: 22,1307-2,citation,"Sp. Pl., ed. 6. 1: 22. 1831 ",NA,NA,FALSE,TRUE,1.3,327242-2,urn:lsid:ipni.org:names:327242-2,wfo-0000466687,FALSE,TRUE,TRUE,FALSE,FALSE,NA,929,J.M.A.Braga,NA,neotype RUSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_fascinator,L.Linden & Rodigas,L.Linden & Rodigas,,spec.,/n/152860-2,Marantaceae,Maranta,fascinator,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ill. Hort.,1894,NA,"41: 105, pl. 7",1202-2,citation,"Ill. Hort. 41: 105, pl. 7. 1894 ",NA,NA,FALSE,TRUE,1.4,152860-2,urn:lsid:ipni.org:names:152860-2,wfo-0000466816,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=105&rft.volume=41&rft_id=http://www.biodiversitylibrary.org/bibliography/131&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_glabra,Körn.,Körn.,,spec.,/n/327241-2,Marantaceae,Maranta,glabra,tax. nov.,"entre Vitória e Bahia, Brazil (Southern America)",FALSE,FALSE,TRUE,,Bull. Soc. Imp. Naturalistes Moscou,1862,NA,35(1): 63,880-2,citation,Bull. Soc. Imp. Naturalistes Moscou 35(1): 63. 1862 ,NA,NA,FALSE,TRUE,1.4,327241-2,urn:lsid:ipni.org:names:327241-2,wfo-0000466867,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.issue=1&rft.spage=63&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/4951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,s.n.,G.W.Freyreis(s),NA,lectotype S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_inscripta,W.Bull,W.Bull,,spec.,/n/797337-1,Marantaceae,Maranta,inscripta,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Retail List [Bull],1875,NA,110: 7,20000263-2,citation,Retail List [Bull] 110: 7. 1875 ,NA,NA,FALSE,TRUE,1.1.2.1.1.3,797337-1,urn:lsid:ipni.org:names:797337-1,wfo-0000467026,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Hab.?,NA
Maranta_lindmannii,L.Andersson,L.Andersson,,spec.,/n/280411-2,Marantaceae,Maranta,lindmannii,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,FALSE,,Nordic J. Bot.,1986,NA,"6: 744, fig",2633-2,citation,"Nordic J. Bot. 6: 744, fig. 1986 ",NA,NA,FALSE,TRUE,1.2,280411-2,urn:lsid:ipni.org:names:280411-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,A-2835,C.A.M.Lindman,NA,holotype S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_longipes,K.Schum.,K.Schum.,,spec.,/n/152876-2,Marantaceae,Maranta,longipes,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1902,NA,"4, Fam. 48: 134",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 48: 134. 1902 ",NA,NA,FALSE,TRUE,1.3,152876-2,urn:lsid:ipni.org:names:152876-2,wfo-0000467250,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_nitens,W.Bull,W.Bull,,spec.,/n/60461162-2,Marantaceae,Maranta,nitens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Cat. New Beautiful Rare Pl. [W. Bull],NA,1880,"1880: 6, t. 12",17626-2,citation,"Cat. New Beautiful Rare Pl. [W. Bull] 1880: 6, t. 12. [1880] ",NA,"[non vidi; Ref. Bull. Misc. Inform. Kew, Addit. Ser. 4: 249. 1900]",FALSE,TRUE,1.1,60461162-2,urn:lsid:ipni.org:names:60461162-2,wfo-0001329619,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.spage=6&rft.volume=1880&rft_id=http://www.biodiversitylibrary.org/bibliography/110080&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_pavonina,K.Koch & Linden,K.Koch & Linden,,spec.,/n/60461178-2,Marantaceae,Maranta,pavonina,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ann. Hort. Belge Étrangère,1865,NA,15: 99,20014624-2,citation,Ann. Hort. Belge Étrangère 15: 99. 1865 ,NA,NA,FALSE,TRUE,1.1,60461178-2,urn:lsid:ipni.org:names:60461178-2,wfo-0000467485,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_pilosissima,"F.Fraga, L.J.T.Cardoso & J.M.A.Braga","F.Fraga, L.J.T.Cardoso & J.M.A.Braga",,spec.,/n/77310089-1,Marantaceae,Maranta,pilosissima,tax. nov.,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Nordic J. Bot.,2022,30 Aug 2022,2022(10)-e03704: 2,2633-2,citation,Nordic J. Bot. 2022(10)-e03704: 2. [30 Aug 2022] [epublished],[epublished],doi:10.1111/njb.03704,FALSE,TRUE,1.1,77310089-1,urn:lsid:ipni.org:names:77310089-1,wfo-1000043041,TRUE,TRUE,TRUE,FALSE,FALSE,NA,16-024,"J.M.A.Braga, P.Feliz &amp; M.Grefe","Rio de Janeiro: Rio de Janeiro, Parque Estadual da Pedra Branca, Jacarepaguá, Pau da Fome, trilha para a Cachoeira do Campo, 190 m",holotype RB 01365752;isotype NY;isotype K;isotype R,NA,30 Oct 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_pleiostachys,K.Schum.,K.Schum.,,spec.,/n/152889-2,Marantaceae,Maranta,pleiostachys,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1902,NA,"4, Fam. 48: 134",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 48: 134. 1902 ",NA,NA,FALSE,TRUE,1.3,152889-2,urn:lsid:ipni.org:names:152889-2,wfo-0000467546,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_prasina,W.Bull,W.Bull,,spec.,/n/797425-1,Marantaceae,Maranta,prasina,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Retail List [Bull],1875,NA,110: 7,20000263-2,citation,Retail List [Bull] 110: 7. 1875 ,NA,NA,FALSE,TRUE,1.1.2.1.1.3,797425-1,urn:lsid:ipni.org:names:797425-1,wfo-0000467582,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_pycnostachys,K.Schum.,K.Schum.,,spec.,/n/152894-2,Marantaceae,Maranta,pycnostachys,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1902,NA,"4, Fam. 48: 134",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 48: 134. 1902 ",NA,NA,FALSE,TRUE,1.3,152894-2,urn:lsid:ipni.org:names:152894-2,wfo-0000467651,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Maranta_sanderiana,Sander,Sander,,spec.,/n/152898-2,Marantaceae,Maranta,sanderiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Sander & Co.'s Cat. 1894,1894,NA,9,17772-2,citation,Sander & Co.'s Cat. 1894 9. 1894 ,NA,NA,FALSE,TRUE,1.2.2.1.1.1.2.1,152898-2,urn:lsid:ipni.org:names:152898-2,wfo-0000467768,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,isonym,isonym,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Monotagma_aurantiispathum,Hagberg & R.Erikss.,Hagberg & R.Erikss.,,spec.,/n/77110837-1,Marantaceae,Monotagma,aurantiispathum,tax. nov.,"Peru (Western South America, Southern America);Brazil (Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2011,1 Mar 2011,20: 18 (-20; fig. 4A),20011462-1,citation,Phytotaxa 20: 18 (-20; fig. 4A). 2011 [1 Mar 2011] (as 'aurantispathum'),(as 'aurantispathum'),aurantium + spathum: auranti (stem)+ i (connecting vowel) + spathum = aurantiispathum,FALSE,TRUE,1.4,77110837-1,urn:lsid:ipni.org:names:77110837-1,wfo-0000921884,TRUE,TRUE,TRUE,FALSE,FALSE,NA,20389,Gentry &amp; Revilla,"Loreto: Brillo Nuevo on Río Yaguasyacu, trib. to Río Ampiyacu",holotype MO;isotype GB,NA,8 Nov 1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Myrosma_australis,K.Schum.,K.Schum.,,spec.,/n/166452-2,Marantaceae,Myrosma,australis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1902,NA,"4, Fam. 48: 142",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 48: 142. 1902 ",NA,NA,FALSE,TRUE,1.3,166452-2,urn:lsid:ipni.org:names:166452-2,wfo-0000475329,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Myrosma_nana,Baker,Baker,,spec.,/n/166462-2,Marantaceae,Myrosma,nana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Gard. Chron.,1894,NA,"ser. 3, 15: 652",1224-2,citation,"Gard. Chron. ser. 3, 15: 652. 1894 ",NA,NA,FALSE,TRUE,1.3,166462-2,urn:lsid:ipni.org:names:166462-2,wfo-0000475429,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Myrosma_uleana,Loes.,Loes.,,spec.,/n/166467-2,Marantaceae,Myrosma,uleana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Königl. Bot. Gart. Berlin,1915,NA,6: 271,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 271. 1915 ,NA,NA,FALSE,TRUE,1.3,166467-2,urn:lsid:ipni.org:names:166467-2,wfo-0000475448,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=271&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Phrynium_albovaginatum,K.Koch & Linden,K.Koch & Linden,,spec.,/n/194426-2,Marantaceae,Phrynium,albovaginatum,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1865,NA,8: 369,7877-2,citation,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 8: 369. 1865 ,NA,NA,FALSE,TRUE,1.5,194426-2,urn:lsid:ipni.org:names:194426-2,wfo-0000490899,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1865&rft.spage=369&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Phrynium_brunnescens,K.Koch,K.Koch,,spec.,/n/194428-2,Marantaceae,Phrynium,brunnescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1864,3 Sep 1864,7(35): 277,7877-2,citation,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 7(35): 277. 1864 [3 Sep 1864] ,NA,NA,FALSE,TRUE,1.2.2.1,194428-2,urn:lsid:ipni.org:names:194428-2,wfo-0000490966,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1864&rft.issue=35&rft.spage=277&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Phrynium_littorale,Ledeb. ex Sweet,Ledeb. ex Sweet,,spec.,/n/194442-2,Marantaceae,Phrynium,littorale,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Hort. Brit. [Sweet], ed. 3.",1839,NA,658,8721-2,citation,"Hort. Brit. [Sweet], ed. 3. 658. 1839 ",NA,nom. nud. (invalid),FALSE,TRUE,1.4,194442-2,urn:lsid:ipni.org:names:194442-2,wfo-0000491426,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Phrynium_rossii,Lodd. ex Sweet,Lodd. ex Sweet,,spec.,/n/194456-2,Marantaceae,Phrynium,rossii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Hort. Brit. [Sweet], ed. 3.",1839,NA,658,8721-2,citation,"Hort. Brit. [Sweet], ed. 3. 658. 1839 ",NA,nom. nud. (invalid),FALSE,TRUE,1.4,194456-2,urn:lsid:ipni.org:names:194456-2,wfo-0000491647,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Saranthe_marcgravii,Pickel,Pickel,,spec.,/n/227678-2,Marantaceae,Saranthe,marcgravii,tax. nov.,Brazil.  Described from cultivated material,FALSE,FALSE,TRUE,,Arq. Bot. Estado Sao Paulo,1939,NA,"new ser. 1: 50, tab. 62",850-2,citation,"Arq. Bot. Estado Sao Paulo new ser. 1: 50, tab. 62. 1939 ",NA,NA,FALSE,TRUE,1.3,227678-2,urn:lsid:ipni.org:names:227678-2,wfo-0000524575,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Saranthe_pluriflora,Petersen,Petersen,,spec.,/n/227681-2,Marantaceae,Saranthe,pluriflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1890,NA,1889: 335,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1889: 335. 1890 ,NA,NA,FALSE,TRUE,1.4,227681-2,urn:lsid:ipni.org:names:227681-2,wfo-0000524604,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=335&rft.volume=1889&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Stromanthe_amabilis,É.Morren,É.Morren,,spec.,/n/285699-2,Marantaceae,Stromanthe,amabilis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Belgique Hort.,1875,NA,"25: 271, figs",4831-2,citation,"Belgique Hort. 25: 271, figs. 1875 ",NA,NA,FALSE,TRUE,1.3,285699-2,urn:lsid:ipni.org:names:285699-2,wfo-0000562753,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1875&rft.spage=271&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/5932&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Thalia_peterseniana,K.Schum.,K.Schum.,,spec.,/n/252144-2,Marantaceae,Thalia,peterseniana,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Pflanzenr. (Engler),1902,NA,"4, Fam. 48: 173",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 48: 173. 1902 ",NA,NA,FALSE,TRUE,1.2,252144-2,urn:lsid:ipni.org:names:252144-2,wfo-0001078228,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
