name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,referenceRemarks,collectionDate1,locality,remarks,typeNote,typeCoordinates,originalTaxonDistribution,originalRemarks,nameStatus,bibliographicReference,typeChosenBy,nameStatusType,typeRemarks,collectionDate2
Abutilon_flueckigerianum,K.Schum.,K.Schum.,,spec.,/n/217-2,Malvaceae,Abutilon,flueckigerianum,tax. nov.,NA,NA,Brazil to Argentina,FALSE,FALSE,TRUE,143757,,Fl. Bras. (Martius),1891,15 Jul 1891,"12(3): 370, t. 67",629-2,citation,"Fl. Bras. (Martius) 12(3): 370, t. 67. 1891 [15 Jul 1891] , as 'flückigerianum'",FALSE,TRUE,NA,1.6,217-2,urn:lsid:ipni.org:names:217-2,wfo-0000511901,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/143757&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,as 'flückigerianum',NA,NA,Published as 'flückigerianum',NA,,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon_rufivelum,K.Schum. ex Baker f.,K.Schum. ex Baker f.,,spec.,/n/323590-2,Malvaceae,Abutilon,rufivelum,tax. nov.,18136,A.F.M.Glaziou,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,FALSE,35142190,,J. Bot.,1893,NA,31: 271,678-2,citation,J. Bot. 31: 271. 1893 ,FALSE,TRUE,null G,1.4,323590-2,urn:lsid:ipni.org:names:323590-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35142190&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,nom. nud. (invalid); As A. rufivellum,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon_schenckii,K.Schum.,K.Schum.,,spec.,/n/331-2,Malvaceae,Abutilon,schenckii,tax. nov.,1316,L.Riedel,"Madre de Dios, Brazil (Southern America)",FALSE,FALSE,TRUE,143778,,Fl. Bras. (Martius),1891,15 Jul 1891,12(3): 412,629-2,citation,Fl. Bras. (Martius) 12(3): 412. 1891 [15 Jul 1891] ,FALSE,TRUE,lectotype P,1.5,331-2,urn:lsid:ipni.org:names:331-2,wfo-0000512272,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/143778&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon_spicatum,Kunth,Kunth,,spec.,/n/317982-2,Malvaceae,Abutilon,spicatum,tax. nov.,s.n.," A.J.A.Bonpland,F.W.H.A.Humboldt","prope San Carlos del Rio Negro, Brazil (Southern America)",FALSE,FALSE,TRUE,NA,,Nov. Gen. Sp. [H.B.K.],1822,NA,5(quarto): 271,1023-2,citation,Nov. Gen. Sp. [H.B.K.] 5(quarto): 271. 1822 ,FALSE,TRUE,holotype P-HUMB.,1.3,317982-2,urn:lsid:ipni.org:names:317982-2,wfo-0000512299,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,[Gandhi 2 Jun 1999[ SBMonogr. 25: 136. 1988],NA,,NA,NA,NA,NA,NA,NA,NA,NA
Bakeridesia_andradelimae,Monteiro,Monteiro,,spec.,/n/895960-1,Malvaceae,Bakeridesia,andradelimae,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,1972 publ. 1973,121,NA,citation,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 121. 1973 [1972 publ. 1973] ",FALSE,TRUE,NA,1.6,895960-1,urn:lsid:ipni.org:names:895960-1,wfo-0000558522,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil.,NA,NA,NA,NA,NA,NA,NA
Bakeridesia_bezerrae,Monteiro,Monteiro,,spec.,/n/895961-1,Malvaceae,Bakeridesia,bezerrae,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,1972 publ. 1973,118,NA,citation,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 118. 1973 [1972 publ. 1973] ",FALSE,TRUE,NA,1.5,895961-1,urn:lsid:ipni.org:names:895961-1,wfo-0000558525,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil.,NA,NA,NA,NA,NA,NA,NA
Bakeridesia_pickelii,Monteiro,Monteiro,,spec.,/n/895962-1,Malvaceae,Bakeridesia,pickelii,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,1972 publ. 1973,116,NA,citation,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 116. 1973 [1972 publ. 1973] ",FALSE,TRUE,NA,1.5,895962-1,urn:lsid:ipni.org:names:895962-1,wfo-0000558539,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil.,NA,NA,NA,NA,NA,NA,NA
Bakeridesia_rufivela,Hochr.,Hochr.,,spec.,/n/28779-2,Malvaceae,Bakeridesia,rufivela,tax. nov.,18136,A.F.M.Glaziou,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Annuaire Conserv. Jard. Bot. Genève,1920,NA,21: 419,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 21: 419. 1920 ,FALSE,TRUE,null G,1.3,28779-2,urn:lsid:ipni.org:names:28779-2,wfo-0000558544,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1920&rft.spage=419&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,Inadvertently published as a sp. nov.,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Bakeridesia_torrendii,Monteiro,Monteiro,,spec.,/n/895963-1,Malvaceae,Bakeridesia,torrendii,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,1972 publ. 1973,125,NA,citation,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 125. 1973 [1972 publ. 1973] ",FALSE,TRUE,NA,1.5,895963-1,urn:lsid:ipni.org:names:895963-1,wfo-0000558550,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil.,NA,NA,NA,NA,NA,NA,NA
Bastardia_macrophylla,Ulbr.,Ulbr.,,spec.,/n/29856-2,Malvaceae,Bastardia,macrophylla,tax. nov.,3630,E.H.G.Ule,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Notizbl. Königl. Bot. Gart. Berlin,1915,NA,6: 324,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 324. 1915 ,FALSE,TRUE,null B,1.4,29856-2,urn:lsid:ipni.org:names:29856-2,wfo-0000561261,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=324&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
