name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,referenceRemarks,collectionDate1,locality,remarks,typeNote,typeCoordinates,originalTaxonDistribution,originalRemarks,nameStatus,bibliographicReference,typeChosenBy,nameStatusType,typeRemarks,collectionDate2
Callianthe_capixabae,M.T.R.Costa & Bovini,M.T.R.Costa & Bovini,,spec.,/n/77311028-1,Malvaceae,Callianthe,capixabae,tax. nov.,1826,M.T.R.Costa et al.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytotaxa,2022,29 Dec 2022,577(1): 146,20011462-1,citation,Phytotaxa 577(1): 146. 2022 [29 Dec 2022] [epublished],FALSE,TRUE,holotype RB;isotype HUFSJ;isotype MBML;isotype VIES;isotype R,1.1.1.1,77311028-1,urn:lsid:ipni.org:names:77311028-1,wfo-1000043225,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,[epublished],5 Jul 2022,"Castelo, Parque Estadual do Forno Grande, borda da trilha para o mirante da Pedra Azul, 1267m","doi:10.11646/phytotaxa.577.1.9 Etymology: the specific epithet is derived from 'capixaba', a word with Tupi origin (kopisáwa), that is used to refer to someone or something that is related to or belong to Espírito Santo state, where the species occurs.",NA,,NA,NA,NA,NA,NA,NA,NA,NA
Carolinea_villosa,Mart. & Zucc.,Mart. & Zucc.,,spec.,/n/77216102-1,Malvaceae,Carolinea,villosa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Flora,1825,14 Jan 1825,8(1): 27,648-2,citation,Flora 8(1): 27. 1825 [14 Jan 1825] ,FALSE,TRUE,NA,1.1,77216102-1,urn:lsid:ipni.org:names:77216102-1,wfo-1000036054,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.issue=1&rft.spage=27&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/64&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Cienfuegosia_cuyabensis,Pilg.,Pilg.,,spec.,/n/58655-2,Malvaceae,Cienfuegosia,cuyabensis,tax. nov.,1666,G.O.A.Malme,Brazil (Southern America),FALSE,FALSE,TRUE,211387,,Bot. Jahrb. Syst.,1901,2 Jul 1901,30(2): 171,553-2,citation,Bot. Jahrb. Syst. 30(2): 171. 1901 [2 Jul 1901] ,FALSE,TRUE,neotype S,1.6,58655-2,urn:lsid:ipni.org:names:58655-2,wfo-0000604617,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/211387&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Cienfuegosia_glauca,Brandão & Laca-B.,Brandão & Laca-B.,,spec.,/n/995469-1,Malvaceae,Cienfuegosia,glauca,tax. nov.,NA,NA,Brazil Southeast (Minas Gerais).,FALSE,FALSE,FALSE,NA,,Daphne,1993,1993,"3(4): 35 (1993), without latin descr.",18436-2,citation,"Daphne 3(4): 35 (1993), without latin descr. ",FALSE,TRUE,NA,1.1.2.3.1.1,995469-1,urn:lsid:ipni.org:names:995469-1,wfo-0001357610,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil Southeast (Minas Gerais).,NA,NA,NA,NA,NA,NA,NA
Cienfuegosia_ituiutabensis,Brandão & Laca-B.,Brandão & Laca-B.,,spec.,/n/995470-1,Malvaceae,Cienfuegosia,ituiutabensis,tax. nov.,NA,NA,Brazil Southeast (Minas Gerais).,FALSE,FALSE,FALSE,NA,,Daphne,1993,1993,"3(4): 35 (1993), without latin descr.",18436-2,citation,"Daphne 3(4): 35 (1993), without latin descr. ",FALSE,TRUE,NA,1.1.2.3.1.1,995470-1,urn:lsid:ipni.org:names:995470-1,wfo-0001357611,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil Southeast (Minas Gerais).,NA,NA,NA,NA,NA,NA,NA
Cienfuegosia_longifolia,Brandão & Laca-B.,Brandão & Laca-B.,,spec.,/n/995471-1,Malvaceae,Cienfuegosia,longifolia,tax. nov.,NA,NA,Brazil Southeast (Minas Gerais).,FALSE,FALSE,FALSE,NA,,Daphne,1993,1993,"3(4): 38 (1993), without latin descr.",18436-2,citation,"Daphne 3(4): 38 (1993), without latin descr. ",FALSE,TRUE,NA,1.1.2.3.1.1,995471-1,urn:lsid:ipni.org:names:995471-1,wfo-0001357612,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil Southeast (Minas Gerais).,NA,NA,NA,NA,NA,NA,NA
Cienfuegosia_uberabensis,Brandão & Laca-B.,Brandão & Laca-B.,,spec.,/n/995472-1,Malvaceae,Cienfuegosia,uberabensis,tax. nov.,NA,NA,Brazil Southeast (Minas Gerais).,FALSE,FALSE,FALSE,NA,,Daphne,1993,1993,"3(4): 40 (1993), without latin descr.",18436-2,citation,"Daphne 3(4): 40 (1993), without latin descr. ",FALSE,TRUE,NA,1.1.2.3.1.1,995472-1,urn:lsid:ipni.org:names:995472-1,wfo-0001357613,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil Southeast (Minas Gerais).,NA,NA,NA,NA,NA,NA,NA
Codonochlamys_glaziovii,Ulbr.,Ulbr.,,spec.,/n/62682-2,Malvaceae,Codonochlamys,glaziovii,tax. nov.,15842,A.F.M.Glaziou,"Mendanha, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Notizbl. Königl. Bot. Gart. Berlin,1915,NA,6: 331,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 331. 1915 ,FALSE,TRUE,holotype B;isotype C;isotype P,1.3,62682-2,urn:lsid:ipni.org:names:62682-2,wfo-0000614072,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=331&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Cristaria_ecristata,A.Gray,A.Gray,,spec.,/n/69484-2,Malvaceae,Cristaria,ecristata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"U.S. Expl. Exped., Phan.",1854,NA,15: 165,10212-2,citation,"U.S. Expl. Exped., Phan. 15: 165. 1854 ; C. Wilkes Expl. Exped.",FALSE,TRUE,NA,1.5,69484-2,urn:lsid:ipni.org:names:69484-2,wfo-0000626129,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.spage=165&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/61410&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,C. Wilkes Expl. Exped.,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Fugosia_phlomidifolia,A.St.-Hil.,A.St.-Hil.,,spec.,/n/106320-2,Malvaceae,Fugosia,phlomidifolia,tax. nov.,s.n.,A.F.C.P.de Saint-Hilaire,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Fl. Bras. Merid. (A. St.-Hil.).,1828,NA,1: 253 (-254; t. 50),8262-2,citation,Fl. Bras. Merid. (A. St.-Hil.). 1: 253 (-254; t. 50). 1828 ,FALSE,TRUE,null P,1.3,106320-2,urn:lsid:ipni.org:names:106320-2,wfo-0000692988,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=253&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Gaya_elingulata,"Krapov., Tressens & A.Fernández","Krapov., Tressens & A.Fernández",,spec.,/n/107819-2,Malvaceae,Gaya,elingulata,tax. nov.,12882,A.Krapovickas,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bol. Soc. Argent. Bot.,1974,NA,"16: 97[-99], f. 2",1242-2,citation,"Bol. Soc. Argent. Bot. 16: 97[-99], f. 2. 1974 ",FALSE,TRUE,holotype CTES,1.6,107819-2,urn:lsid:ipni.org:names:107819-2,wfo-0000695619,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Gossypium_brasiliense,Macfad.,Macfad.,,spec.,/n/112665-2,Malvaceae,Gossypium,brasiliense,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Jamaica [Macfadyen],1837,NA,1: 72 (-73),16046-2,citation,Fl. Jamaica [Macfadyen] 1: 72 (-73). 1837 ,FALSE,TRUE,NA,1.2.2.2.1.2,112665-2,urn:lsid:ipni.org:names:112665-2,wfo-0000707871,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1837&rft.spage=72&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/121699&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Gossypium_caicoense,"C.Aranha, Leitão & Gridi-Papp","C.Aranha, Leitão & Gridi-Papp",,spec.,/n/559686-1,Malvaceae,Gossypium,caicoense,tax. nov.,s.n.,"C. Aranha, H.P. Leitão Filho &amp; I.L. Gridi-Papp","Rio Grande do Norte (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bragantia,1969,Aug 1969,"28(no. 23): 274, figs. 1-7",1910-2,citation,"Bragantia 28(no. 23): 274, figs. 1-7. 1969 [Aug 1969] ",FALSE,TRUE,holotype IAC,1.2.2.2,559686-1,urn:lsid:ipni.org:names:559686-1,wfo-0000707877,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,"Serra da Formiga, município de Caicó — cultivado no Instituto Agronômico do Estado de São Paulo, em casa de vegetação, sob o número Am. 450 — Seção de Algodão","Species name authorship cited as: Condorcet, Hermógenes et Imre",NA,,NA,Braz. (Rio Grande do Norte). Illus,NA,NA,NA,NA,NA,NA
Gossypium_guyanense,Raf.,Raf.,,spec.,/n/30102416-2,Malvaceae,Gossypium,guyanense,tax. nov.,NA,NA,"Brazil (Southern America);Guyana (Northern South America, Southern America);",FALSE,FALSE,TRUE,404572,,Sylva Tellur.,1838,Oct-Dec 1838,16,1074-2,citation,Sylva Tellur. 16. 1838 [Oct-Dec 1838] ,FALSE,TRUE,NA,1.1.2.2.1.2,30102416-2,urn:lsid:ipni.org:names:30102416-2,wfo-0000707921,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/404572&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Gossypium_mustelium,Miers ex G.Watt,Miers ex G.Watt,,spec.,/n/112728-2,Malvaceae,Gossypium,mustelium,tax. nov.,NA,NA,Brazil &amp; Colombia,FALSE,FALSE,TRUE,NA,,Wild Cult. Cotton,1907,NA,167,16289-2,citation,Wild Cult. Cotton 167. 1907 ,FALSE,TRUE,NA,1.3.2.1.1.1,112728-2,urn:lsid:ipni.org:names:112728-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Hibiscus_fugax,Mart. ex Spreng.,Mart. ex Spreng.,,spec.,/n/329522-2,Malvaceae,Hibiscus,fugax,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Syst. Veg., ed. 16 [Sprengel]",1827,Jan-Jun 1827,"4(2, Cur. Post.): 258",14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 4(2, Cur. Post.): 258. 1827 [Jan-Jun 1827] ",FALSE,TRUE,NA,1.2.2.1.1.2,329522-2,urn:lsid:ipni.org:names:329522-2,wfo-0000722569,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,Verh. Ver. Beförd. Gartenb. 3: t. 8. 1827.,,NA,NA,NA,NA,NA,NA,NA,NA
Hibiscus_glabrifolius,A.St.-Hil. & Naudin,A.St.-Hil. & Naudin,,spec.,/n/121950-2,Malvaceae,Hibiscus,glabrifolius,tax. nov.,s.n.,C.Gaudichaud-Beaupré,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Ann. Sci. Nat., Bot.",1842,NA,"sér. 2, 18: 40",525-2,citation,"Ann. Sci. Nat., Bot. sér. 2, 18: 40. 1842 ",FALSE,TRUE,null P,1.5,121950-2,urn:lsid:ipni.org:names:121950-2,wfo-0001076718,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Hibiscus_selloi,Gürke,Gürke,,spec.,/n/122012-2,Malvaceae,Hibiscus,selloi,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,143881,,Fl. Bras. (Martius),1892,15 Apr 1892,"12(3): 553, t. 109, fig. 2",629-2,citation,"Fl. Bras. (Martius) 12(3): 553, t. 109, fig. 2. 1892 [15 Apr 1892] ",FALSE,TRUE,NA,1.8,122012-2,urn:lsid:ipni.org:names:122012-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/143881&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Hibiscus_unidens,Lindl. in Edwards,Lindl. in Edwards,,spec.,/n/122035-2,Malvaceae,Hibiscus,unidens,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Reg.,1825,NA,11: t. 878,868-2,citation,Bot. Reg. 11: t. 878. 1825 ,FALSE,TRUE,NA,1.5,122035-2,urn:lsid:ipni.org:names:122035-2,wfo-0001077187,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Krapovickasia_araujoana,Brandão,Brandão,,spec.,/n/995473-1,Malvaceae,Krapovickasia,araujoana,tax. nov.,NA,NA,Brazil Southeast (Minas Gerais).,FALSE,FALSE,TRUE,NA,,Daphne,1994,1994,4(2): 6 (1994),18436-2,citation,Daphne 4(2): 6 (1994). ,FALSE,TRUE,NA,1.1.2.2.1.1.2.1,995473-1,urn:lsid:ipni.org:names:995473-1,wfo-0000356926,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil Southeast (Minas Gerais).,NA,nom. inval.    Name of the herbarium housing the holotype not indicated (Tokyo Code (1994) Art. 37.5 applies).,NA,NA,nom. inval.,NA,NA
Kydia_brasiliensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/134108-2,Malvaceae,Kydia,brasiliensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Pl. Jard. Rio de Janeiro,1893,NA,"3: 2, pl. 1",3655-2,citation,"Pl. Jard. Rio de Janeiro 3: 2, pl. 1. 1893 ",FALSE,TRUE,NA,1.4,134108-2,urn:lsid:ipni.org:names:134108-2,wfo-0000356918,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Malvastrum_palustre,Ekman,Ekman,,spec.,/n/150378-2,Malvaceae,Malvastrum,palustre,tax. nov.,8720,P.K.H.Dusén,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Ark. Bot.,1913,NA,"13: 8, t",536-2,citation,"Ark. Bot. 13: 8, t. 1913 ",FALSE,TRUE,lectotype S,1.3,150378-2,urn:lsid:ipni.org:names:150378-2,wfo-0001076776,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1913&rft.spage=8&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Malvaviscus_palmatus,Ulbr.,Ulbr.,,spec.,/n/311357-2,Malvaceae,Malvaviscus,palmatus,tax. nov.,5443,E.H.G.Ule,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Verh. Bot. Vereins Prov. Brandenburg,1908,NA,"50: 89, fig. 1",823-2,citation,"Verh. Bot. Vereins Prov. Brandenburg 50: 89, fig. 1. 1908 ",FALSE,TRUE,NA,1.4,311357-2,urn:lsid:ipni.org:names:311357-2,wfo-0000450624,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=89&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Pavonia_andradelimae,Monteiro,Monteiro,,spec.,/n/318746-2,Malvaceae,Pavonia,andradelimae,tax. nov.,49-253,D.Andrade-Lima,"Entre Ibimirim e Arcoverde, Vale do Rio Moxoto, Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Anais 23 Congr. Soc. Bot. Brasil,1972,1973,"131, figs. 8-9",18258-2,citation,"Anais 23 Congr. Soc. Bot. Brasil 131, figs. 8-9. 1972 [1973] ",FALSE,TRUE,holotype IPA,1.4,318746-2,urn:lsid:ipni.org:names:318746-2,wfo-0001253356,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,[Gandhi 30 Sep 1999],NA,,NA,NA,NA,NA,NA,NA,NA,NA
