name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,infraspecies,typeLocations,bhlLink,referenceRemarks,pageAsText,wfoId,publicationYearNote,speciesAuthor,collectionDate1,locality,remarks,typeCoordinates,typeNote,basionymAuthorStr,bibliographicReference,typeChosenBy,originalTaxonDistribution,nameStatus,nameStatusType
Bilderdykia_alfonsi-joannis,Reitz,Reitz,,spec.,/n/33087-2,Polygonaceae,Bilderdykia,alfonsi-joannis,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,FALSE,,Anais Bot. Herb. Barbosa Rodrigues,1952,"4: 31, tab. 9",3877-2,citation,"Anais Bot. Herb. Barbosa Rodrigues 4: 31, tab. 9. 1952 ",FALSE,TRUE,1.2,33087-2,urn:lsid:ipni.org:names:33087-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Bilderdykia_binoti,R.C.J.Gerard,R.C.J.Gerard,,spec.,/n/33101-2,Polygonaceae,Bilderdykia,binoti,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Journ. Soc. Hort. Rhone,1896,1896: 1,NA,citation,"Journ. Soc. Hort. Rhone 1896: 1. Fedde, Rep. Spec. Nov. 14: 242.  1916.  Brazil ?",FALSE,TRUE,1.2,33101-2,urn:lsid:ipni.org:names:33101-2,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,"Fedde, Rep. Spec. Nov. 14: 242.  1916.  Brazil ?",NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Bilderdykia_buchholtzii,Mez,Mez,,spec.,/n/33108-2,Polygonaceae,Bilderdykia,buchholtzii,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Repert. Spec. Nov. Regni Veg.,1919,16: 7,788-2,citation,Repert. Spec. Nov. Regni Veg. 16: 7. 1919 ,FALSE,TRUE,1.3,33108-2,urn:lsid:ipni.org:names:33108-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/185631&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,185631,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_cerifera,Schwacke,Schwacke,,spec.,/n/62024-2,Polygonaceae,Coccoloba,cerifera,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pl. Nov. Mineir.,1898,7,11591-2,citation,Pl. Nov. Mineir. 7. 1898 ,FALSE,TRUE,1.2,62024-2,urn:lsid:ipni.org:names:62024-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.spage=7&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_cylindrostachya,Lindau,Lindau,,spec.,/n/62051-2,Polygonaceae,Coccoloba,cylindrostachya,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1890,13(2): 163,553-2,citation,Bot. Jahrb. Syst. 13(2): 163. 1890 [28 Oct 1890] ,FALSE,TRUE,1.1.2.1.1.2,62051-2,urn:lsid:ipni.org:names:62051-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200724&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,200724,wfo-0000613082,28 Oct 1890,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_douradensis,Glaz.,Glaz.,,spec.,/n/62059-2,Polygonaceae,Coccoloba,douradensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 571,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 571. 1911 ,FALSE,TRUE,1.4,62059-2,urn:lsid:ipni.org:names:62059-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,wfo-0001100880,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_erecta,Glaz.,Glaz.,,spec.,/n/62065-2,Polygonaceae,Coccoloba,erecta,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 572,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 572. 1911 ,FALSE,TRUE,1.4,62065-2,urn:lsid:ipni.org:names:62065-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_lanceolata,Lindau,Lindau,,spec.,/n/62118-2,Polygonaceae,Coccoloba,lanceolata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bot. Jahrb. Syst.,1893,17(5): 517,553-2,citation,Bot. Jahrb. Syst. 17(5): 517. 1893 [7 Nov 1893] ,FALSE,TRUE,1.5,62118-2,urn:lsid:ipni.org:names:62118-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/202835&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,202835,NA,7 Nov 1893,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_rubra,L.B.Sm.,L.B.Sm.,,spec.,/n/62261-2,Polygonaceae,Coccoloba,rubra,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,,J. Wash. Acad. Sci.,1955,"45: 197, fig. 1-4",686-2,citation,"J. Wash. Acad. Sci. 45: 197, fig. 1-4. 1955 ",FALSE,TRUE,1.3,62261-2,urn:lsid:ipni.org:names:62261-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.spage=197&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0000613366,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_senae,Lindau,Lindau,,spec.,/n/62282-2,Polygonaceae,Coccoloba,senae,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bot. Jahrb. Syst.,1893,17(5): 517,553-2,citation,Bot. Jahrb. Syst. 17(5): 517. 1893 [7 Nov 1893] ,FALSE,TRUE,1.1.2.1.1.4,62282-2,urn:lsid:ipni.org:names:62282-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/202835&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,202835,wfo-0000613394,7 Nov 1893,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
