family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Ranunculaceae,Clematis,acapulcensis,Clematis_acapulcensis,Hook. & Arn.,Clematis acapulcensis Hook. & Arn.,Bot. Beechey Voy.: 410 (1840),"Argentina, Brazil, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Paraguay, Uruguay, Venezuela","Argentina Northeast, Brazil North, Brazil South, Brazil Southeast, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Paraguay, Uruguay, Venezuela",unknown,unknown,709454-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:709454-1
Ranunculaceae,Knowltonia,assisbrasiliana,Knowltonia_assisbrasiliana,(Kuhlm. & Porto) Christenh. & Byng,Knowltonia assisbrasiliana (Kuhlm. & Porto) Christenh. & Byng,Global Fl. 4: 75 (2018),Brazil,Brazil Southeast,unknown,unknown,77184462-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77184462-1
Ranunculaceae,Knowltonia,sellowii,Knowltonia_sellowii,(Pritz.) Christenh. & Byng,Knowltonia sellowii (Pritz.) Christenh. & Byng,Global Fl. 4: 75 (2018),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,77184431-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77184431-1
