family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Olacaceae,Aptandra,liriosmoides,Aptandra_liriosmoides,Spruce ex Miers,Aptandra liriosmoides Spruce ex Miers,"Ann. Mag. Nat. Hist., ser. 3, 4: 360 (1859)","Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,607625-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607625-1
Olacaceae,Aptandra,tubicina,Aptandra_tubicina,(Poepp.) Benth. ex Miers,Aptandra tubicina (Poepp.) Benth. ex Miers,"Ann. Mag. Nat. Hist., ser. 3, 4: 360 (1859)","Bolivia, Brazil, Colombia, Ecuador, Peru, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil West-Central, Colombia, Ecuador, Peru, Venezuela",unknown,unknown,607627-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607627-1
Olacaceae,Brachynema,axillare,Brachynema_axillare,Duno & P.E.Berry,Brachynema axillare Duno & P.E.Berry,Novon 5: 238 (1995),"Brazil, Venezuela","Brazil North, Venezuela",unknown,unknown,306114-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:306114-2
Olacaceae,Brachynema,ramiflorum,Brachynema_ramiflorum,Benth.,Brachynema ramiflorum Benth.,Trans. Linn. Soc. London 22: 126 (1857),"Brazil, Peru","Brazil North, Brazil West-Central, Peru",unknown,unknown,322021-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322021-1
Olacaceae,Cathedra,acuminata,Cathedra_acuminata,(Benth.) Miers,Cathedra acuminata (Benth.) Miers,"Ann. Mag. Nat. Hist., ser. 3, 4: 361 (1859)","Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela","Bolivia, Brazil North, Brazil West-Central, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela",unknown,unknown,607671-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607671-1
Olacaceae,Cathedra,bahiensis,Cathedra_bahiensis,Sleumer,Cathedra bahiensis Sleumer,Fl. Neotrop. Monogr. 38: 111 (1984),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,50078-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:50078-2
Olacaceae,Cathedra,paraensis,Cathedra_paraensis,Sleumer,Cathedra paraensis Sleumer,Repert. Spec. Nov. Regni Veg. 39: 281 (1936),Brazil,Brazil North,unknown,unknown,50084-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:50084-2
Olacaceae,Cathedra,rubricaulis,Cathedra_rubricaulis,Miers,Cathedra rubricaulis Miers,"Ann. Mag. Nat. Hist., ser. 2, 7: 458 (1851)",Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,607681-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607681-1
Olacaceae,Cathedra,rupestris,Cathedra_rupestris,D.S.Lucena & M.Alves,Cathedra rupestris D.S.Lucena & M.Alves,Syst. Bot. 46: 709 (2021),Brazil,Brazil Northeast,unknown,unknown,77254925-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77254925-1
Olacaceae,Chaunochiton,angustifolium,Chaunochiton_angustifolium,Sleumer,Chaunochiton angustifolium Sleumer,Repert. Spec. Nov. Regni Veg. 42: 261 (1937),"Brazil, Colombia, Venezuela","Brazil North, Colombia, Venezuela",unknown,unknown,55670-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:55670-2
