family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Orchidaceae,Dryadella,xavieriana,Dryadella_xavieriana,Campacci & C.R.M.Silva,Dryadella xavieriana Campacci & C.R.M.Silva,Colet. Orquídeas Brasil. 16: 667 (2020),Brazil,Brazil Southeast,unknown,unknown,77211960-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77211960-1
Orchidaceae,Echinosepala,arenicola,Echinosepala_arenicola,(Carnevali & I.Ramírez) Carnevali & G.A.Romero,Echinosepala arenicola (Carnevali & I.Ramírez) Carnevali & G.A.Romero,"O.Hokche, P.E.Berry &amp; O.Huber (eds.), Nuevo Cat. Fl. Vasc. Venezuela: 760 (2008)","Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,77100482-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77100482-1
Orchidaceae,Epidendrum,belmontense,Epidendrum_belmontense,V.P.Castro & Marçal,Epidendrum belmontense V.P.Castro & Marçal,Icon. Orchid. Brasil. 3: t. 253 (2012),Brazil,Brazil Northeast,unknown,unknown,77129144-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77129144-1
Orchidaceae,Epidendrum,commelinispathum,Epidendrum_commelinispathum,Carnevali & I.Ramírez,Epidendrum commelinispathum Carnevali & I.Ramírez,"G.A.Romero &amp; G.Carnevali, Orchids Venezuela, ed. 2: 1132 (2000)","Brazil, Venezuela","Brazil North, Venezuela",unknown,unknown,320462-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:320462-2
Orchidaceae,Epidendrum,dayseae,Epidendrum_dayseae,Krahl & Hágsater,Epidendrum dayseae Krahl & Hágsater,Phytotaxa 530: 97 (2022),Brazil,Brazil North,unknown,unknown,77235196-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77235196-1
Orchidaceae,Epidendrum,diamantinense,Epidendrum_diamantinense,K.G.Lacerda & V.P.Castro,Epidendrum diamantinense K.G.Lacerda & V.P.Castro,Icon. Orchid. Brasil. 3: t. 255 (2012),Brazil,Brazil Southeast,unknown,unknown,77129146-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77129146-1
Orchidaceae,Epidendrum,itacolomiense,Epidendrum_itacolomiense,E.M.Pessoa & L.G.Pedrosa,Epidendrum itacolomiense E.M.Pessoa & L.G.Pedrosa,Syst. Bot. 47: 938 (2022),Brazil,Brazil Southeast,unknown,unknown,77311226-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77311226-1
Orchidaceae,Epidendrum,krukoffii,Epidendrum_krukoffii,"Hágsater, J.M.P.Cordeiro & Krahl","Epidendrum krukoffii Hágsater, J.M.P.Cordeiro & Krahl",Icon. Orchid. 18(2): t. 1877 (2021),"Brazil, Colombia","Brazil North, Colombia",unknown,unknown,77299733-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77299733-1
Orchidaceae,Epidendrum,luizae,Epidendrum_luizae,"Krahl, Hágsater & Chiron","Epidendrum luizae Krahl, Hágsater & Chiron","Richardiana, N.S. 6: 77 (2022)",Brazil,Brazil North,unknown,unknown,77301542-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77301542-1
Orchidaceae,Epidendrum,mantiqueranum,Epidendrum_mantiqueranum,Porto & Brade,Epidendrum mantiqueranum Porto & Brade,Anais Reunião Sul-Amer. Bot. 3: 38 (1938 publ. 1939),Brazil,Brazil Southeast,unknown,unknown,91803-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:91803-2
