family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Meliaceae,Guarea,megantha,Guarea_megantha,A.Juss.,Guarea megantha A.Juss.,Bull. Sci. Nat. Géol. 23: 240 (1830),"Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Peru, Suriname, Venezuela","Belize, Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, French Guiana, Guatemala, Guyana, Honduras, Mexico Central, Mexico Gulf, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Suriname, Venezuela",unknown,unknown,578660-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:578660-1
Meliaceae,Trichilia,casarettoi,Trichilia_casarettoi,C.DC.,Trichilia casarettoi C.DC.,"C.F.P.von Martius &amp; auct. suc. (eds.), Fl. Bras. 11(1): 217 (1878)",Brazil,"Brazil South, Brazil Southeast",unknown,unknown,315594-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:315594-2
Meliaceae,Trichilia,claussenii,Trichilia_claussenii,C.DC.,Trichilia claussenii C.DC.,"C.F.P.von Martius &amp; auct. suc. (eds.), Fl. Bras. 11(1): 207 (1878)","Argentina, Bolivia, Brazil, Paraguay, Peru","Argentina Northeast, Argentina Northwest, Bolivia, Brazil South, Brazil Southeast, Brazil West-Central, Paraguay, Peru",unknown,unknown,579383-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:579383-1
Meliaceae,Trichilia,stellatotomentosa,Trichilia_stellatotomentosa,Kuntze,Trichilia stellatotomentosa Kuntze,Revis. Gen. Pl. 3(2): 36 (1898),"Bolivia, Brazil, Paraguay","Bolivia, Brazil West-Central, Paraguay",unknown,unknown,256921-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:256921-2
