name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Pavonia pedersenii,Malvaceae,Pavonia,pedersenii,Fryxell,tax_nov,spec.,Fl. Neotrop. Monogr. 76: 123. 1999 [25 Jun 1999] ,Fl. Neotrop. Monogr.,1999,76: 123,944-2,holotype TEX;isotype C;isotype CTES,T.M.Pedersen,15902,NA,"Mun. Restinga Seca, near Restinga Seca, in dried-out swamp, Rio Grande do Sul (Brazil, Southern America)",NA,320171-2,25 Jun 1999,[Gandhi 9 Aug 2000],www.ipni.org/n/320171-2,IPNI
Pavonia philippii,Malvaceae,Pavonia,philippii,Ulbr.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 47. 1924 ,Notizbl. Bot. Gart. Berlin-Dahlem,1924,9: 47,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,186000-2,NA,NA,www.ipni.org/n/186000-2,IPNI
Pavonia plumosa,Malvaceae,Pavonia,plumosa,Turcz.,tax_nov,spec.,Bull. Soc. Imp. Naturalistes Moscou 31: 190. 1858 ,Bull. Soc. Imp. Naturalistes Moscou,1858,31: 190,880-2,lectotype KW,P.Salzmann,s.n.,NA,"Bahia (Brazil, Southern America)",NA,318784-2,NA,[Gandhi 4 Oct 1999],www.ipni.org/n/318784-2,IPNI
Pavonia prionophylla,Malvaceae,Pavonia,prionophylla,R.E.Fr.,tax_nov,spec.,"Kungl. Svenska Vetenskapsakad. Handl. n.f, 42(12): 56, t. 6. 1908 ",Kungl. Svenska Vetenskapsakad. Handl.,1908,"n.f, 42(12): 56, t. 6",20010248-1,lectotype K;isotype CTES,A.F.M.Glaziou,15836,NA,Brazil (Southern America),NA,186010-2,NA,NA,www.ipni.org/n/186010-2,IPNI
Pavonia pulchra,Malvaceae,Pavonia,pulchra,Hochr.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 6: 42. 1902 ,Annuaire Conserv. Jard. Bot. Genève,1902,6: 42,1145-2,holotype G,E.Hassler,4384,NA,Brazil (Southern America),NA,287423-2,NA,NA,www.ipni.org/n/287423-2,IPNI
Pavonia surumuensis,Malvaceae,Pavonia,surumuensis,Ulbr.,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 325. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 325,3558-2,NA,E.H.G.Ule,7980,NA,Brazil (Southern America),NA,186099-2,NA,NA,www.ipni.org/n/186099-2,IPNI
Pavonia teresina,Malvaceae,Pavonia,teresina,Krapov.,tax_nov,spec.,"Bonplandia (Corrientes) 21(1): 66, fig. 4. 2012 [Jul 2012] ",Bonplandia (Corrientes),2012,"21(1): 66, fig. 4",13502-2,holotype HUEFS;isotype CTES,"T.S. Nunes, C. Azevedo, M. M. Silva Castro &amp; B. M. Silva",TSN 1722,4 Jun 2006,"Espirito Santo (Brazil, Southern America)",Santa Teresa: Estrada para Santa Leopoldina ...,60462846-2,Jul 2012,Etymology: epithet refers to the type locality Santa Teresa,www.ipni.org/n/60462846-2,IPNI
Peltostegia parviflora,Malvaceae,Peltostegia,parviflora,Turcz.,tax_nov,spec.,Bull. Soc. Imp. Naturalistes Moscou 31: 223. 1858 ,Bull. Soc. Imp. Naturalistes Moscou,1858,31: 223,880-2,holotype KW,G.Gardner,s.n.,NA,"Piaui (Brazil, Southern America)",NA,282286-2,NA,NA,www.ipni.org/n/282286-2,IPNI
Sida amplifolia,Malvaceae,Sida,amplifolia,Gand.,tax_nov,spec.,Bull. Soc. Bot. France 71(5-6): 630. 1924 [18 Sep 1924] ,Bull. Soc. Bot. France,1924,71(5-6): 630,578-2,NA,Sello,s.n.,NA,Brazil (Southern America),Brasilia,77101619-1,18 Sep 1924,NA,www.ipni.org/n/77101619-1,IPNI
Sida anarthra,Malvaceae,Sida,anarthra,Ekman,tax_nov,spec.,"Ark. Bot. 9, no. 4: 15, fig. 3. 1910 ",Ark. Bot.,1910,"9, no. 4: 15, fig. 3",536-2,NA,NA,NA,NA,"Argentina, Brazil",NA,235537-2,NA,NA,www.ipni.org/n/235537-2,IPNI
