name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Dryadella catharinensis,Orchidaceae,Dryadella,catharinensis,"Imig, Mancinelli & E.C.Smidt",tax_nov,spec.,Phytotaxa 508(2): 207. 2021 [21 Jun 2021] [epublished],Phytotaxa,2021,508(2): 207,20011462-1,holotype JOI,W.S.Mancinelli,1007,3 Sep 2009,"Santa Catarina (Brazil South, Brazil, Southern America)","Joinville, Morro do Tromba",77219970-1,21 Jun 2021,"doi:10.11646/phytotaxa.508.2.9 Named after Santa Catarina State, where the species was collected.",www.ipni.org/n/77219970-1,IPNI
Dryadella sapucaiensis,Orchidaceae,Dryadella,sapucaiensis,Campacci & S.L.X.Tobias,tax_nov,spec.,Colet. Orquídeas Brasil. 16: 663. 2020 [25 Aug 2020] ,Colet. Orquídeas Brasil.,2020,16: 663,20004826-2,holotype ESA,Sandro Lucas Xavier Tobias,NA,Sep 2018,"São Paulo (Brazil Southeast, Brazil, Southern America)","São Bento do Sapucaí, 950 m (3115 ft)",77211958-1,25 Aug 2020,NA,www.ipni.org/n/77211958-1,IPNI
Dryadella storchiana,Orchidaceae,Dryadella,storchiana,Campacci & D.A.Rodrigues,tax_nov,spec.,Colet. Orquídeas Brasil. 19: 782. 2023 [5 Dec 2023] ,Colet. Orquídeas Brasil.,2023,19: 782,20004826-2,holotype ESA,Jocimar Westphal,NA,Jan 2021,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Ibiraçu, 500 m",77334672-1,5 Dec 2023,Etymology: For Marcinha A. Storch.,www.ipni.org/n/77334672-1,IPNI
Dryadella xavieriana,Orchidaceae,Dryadella,xavieriana,Campacci & C.R.M.Silva,tax_nov,spec.,"Colet. Orquídeas Brasil. 16: 667. 2020 [25 Aug 2020] , as 'xavierana'",Colet. Orquídeas Brasil.,2020,16: 667,20004826-2,holotype ESA,Benedito Xavier,NA,Jan 2019,"São Paulo (Brazil Southeast, Brazil, Southern America)","Pilar do Sul, Rio do Turvo, 680 m (2230 ft)",77211960-1,25 Aug 2020,The specific epithet refers to Benedito Xavier who discovered the species.,www.ipni.org/n/77211960-1,IPNI
Encyclia hollandiae,Orchidaceae,Encyclia,hollandiae,Fowlie,tax_nov,spec.,"Orchid Digest 54: 157 (-158), fig. 1990 ",Orchid Digest,1990,"54: 157 (-158), fig",2677-2,holotype UCLA,E. H. Cavalcante,1989,NA,Brazil (Southern America),NA,276535-2,NA,NA,www.ipni.org/n/276535-2,IPNI
Encyclia kautzkii,Orchidaceae,Encyclia,kautzkii,Pabst,tax_nov,spec.,"Orquídea (Rio de Janeiro) 29: 63, tab. 3. 1967 ",Orquídea (Rio de Janeiro),1967,"29: 63, tab. 3",14749-2,NA,NA,NA,NA,"Espirito Santo (Brazil, Southern America)",NA,90793-2,NA,NA,www.ipni.org/n/90793-2,IPNI
Encyclia kundergraberii,Orchidaceae,Encyclia,kundergraberii,V.P.Castro & Campacci,tax_nov,spec.,Orquidário 12: 7 (fig.). 1998 ,Orquidário,1998,12: 7 (fig.),14267-2,holotype SP,NA,NA,NA,"Mun. Morro do Chapeu, 800 m, Bahia (Brazil, Southern America)",NA,315914-2,NA,[Gandhi 9 Jul 1998] Type flowered in cultivation.,www.ipni.org/n/315914-2,IPNI
Encyclia lutzenbergerii,Orchidaceae,Encyclia,lutzenbergerii,L.C.Menezes,tax_nov,spec.,"Orchid Digest 55: 25 (-26), figs. 1991 ",Orchid Digest,1991,"55: 25 (-26), figs",2677-2,holotype UB,"Menezes, Miranda",s.n.,NA,"Goiás (Brazil, Southern America)",NA,276540-2,NA,NA,www.ipni.org/n/276540-2,IPNI
Encyclia reflexa,Orchidaceae,Encyclia,reflexa,J.González,tax_nov,spec.,"Intermezzo 1993(Febbraio): 6 (1993), without type. ",Intermezzo,1993,"1993(Febbraio): 6 (1993), without type",NA,NA,NA,NA,NA,Brazil North (Tocantins).,NA,976094-1,1993,NA,www.ipni.org/n/976094-1,IPNI
Encyclia spiritussanctensis,Orchidaceae,Encyclia,spiritussanctensis,L.C.Menezes,tax_nov,spec.,"Bol. CAOB 3(1): 17, fig. 1990 ",Bol. CAOB,1990,"3(1): 17, fig",6391-2,holotype UB,H.Kundegraber,NA,NA,"Espirito Santo (Brazil, Southern America)",NA,306372-2,NA,Bol. CAOB 2(4): 9. 1992: without citation of holotype,www.ipni.org/n/306372-2,IPNI
