name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Labatia resinosa,Sapotaceae,Labatia,resinosa,(T.D.Penn.) Alves-Araújo,NA,Species,Taxon 72: 341 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322355-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322355-1,POWO,NA
Lucuma kossmanniae,Sapotaceae,Lucuma,kossmanniae,(C.C.Vasconc. & Terra-Araujo) C.C.Vasconc.,NA,Species,Phytotaxa 609: 71 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77325492-1,NA,NA,NA,https://powo.science.kew.org/taxon/77325492-1,POWO,NA
Micropholis oppositifolia,Sapotaceae,Micropholis,oppositifolia,(Ducke) Swenson,NA,Species,Taxon 72: 347 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322811-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322811-1,POWO,NA
Peteniodendron pallens,Sapotaceae,Peteniodendron,pallens,(T.D.Penn.) Swenson,NA,Species,Taxon 72: 348 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322815-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322815-1,POWO,NA
Chromolucuma flavilatex,Sapotaceae,Chromolucuma,flavilatex,(T.D.Penn.) Alves-Araújo,NA,Species,Taxon 72: 336 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322242-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322242-1,POWO,NA
Chromolucuma stipulifera,Sapotaceae,Chromolucuma,stipulifera,(T.D.Penn.) Alves-Araújo,NA,Species,Taxon 72: 336 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322243-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322243-1,POWO,NA
Micropholis maxima,Sapotaceae,Micropholis,maxima,(T.D.Penn.) Swenson & A.D.Faria,NA,Species,Taxon 72: 347 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322809-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322809-1,POWO,NA
Peteniodendron jariense,Sapotaceae,Peteniodendron,jariense,(Pires & T.D.Penn.) Swenson,NA,Species,Taxon 72: 348 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322814-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322814-1,POWO,NA
Labatia ciliata,Sapotaceae,Labatia,ciliata,(Alves-Araújo & M.Alves) Alves-Araújo,NA,Species,Taxon 72: 338 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322346-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322346-1,POWO,NA
Labatia confusa,Sapotaceae,Labatia,confusa,(Alves-Araújo & M.Alves) Alves-Araújo,NA,Species,Taxon 72: 339 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322347-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322347-1,POWO,NA
Labatia nordestinensis,Sapotaceae,Labatia,nordestinensis,(Alves-Araújo & M.Alves) Alves-Araújo,NA,Species,Taxon 72: 340 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322352-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322352-1,POWO,NA
Labatia petiolata,Sapotaceae,Labatia,petiolata,(T.D.Penn.) Alves-Araújo,NA,Species,Taxon 72: 340 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322354-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322354-1,POWO,NA
Labatia singularis,Sapotaceae,Labatia,singularis,(T.D.Penn.) Alves-Araújo,NA,Species,Taxon 72: 341 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322357-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322357-1,POWO,NA
Lucuma manaosensis,Sapotaceae,Lucuma,manaosensis,(Aubrév. & Pellegr.) Swenson,NA,Species,Taxon 72: 344 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322361-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322361-1,POWO,NA
Micropholis macrophylla,Sapotaceae,Micropholis,macrophylla,(K.Krause) T.D.Penn.,NA,Species,Fl. Neotrop. Monogr. 52: 225 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,948058-1,NA,NA,NA,https://powo.science.kew.org/taxon/948058-1,POWO,NA
Nemaluma anomala,Sapotaceae,Nemaluma,anomala,(Pires) Swenson,NA,Species,Taxon 72: 348 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322812-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322812-1,POWO,NA
Peteniodendron virescens,Sapotaceae,Peteniodendron,virescens,(Baehni) Swenson,NA,Species,Taxon 72: 348 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322817-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322817-1,POWO,NA
Ragala bombycina,Sapotaceae,Ragala,bombycina,(T.D.Penn.) Swenson,NA,Species,Taxon 72: 353 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77323321-1,NA,NA,NA,https://powo.science.kew.org/taxon/77323321-1,POWO,NA
Achrouteria eximia,Sapotaceae,Achrouteria,eximia,(Ducke) Swenson,NA,Species,Taxon 72: 331 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322241-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322241-1,POWO,NA
Chromolucuma williamii,Sapotaceae,Chromolucuma,williamii,(Aubrév. & Pellegr.) Alves-Araújo,NA,Species,Taxon 72: 336 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322244-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322244-1,POWO,NA
Lucuma rodriguesiana,Sapotaceae,Lucuma,rodriguesiana,(Pires & T.D.Penn.) Swenson,NA,Species,Taxon 72: 346 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322364-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322364-1,POWO,NA
Labatia subcaerulea,Sapotaceae,Labatia,subcaerulea,(Pierre ex Dubard) Alves-Araújo,NA,Species,Taxon 72: 342 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322356-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322356-1,POWO,NA
Lucuma brachyandra,Sapotaceae,Lucuma,brachyandra,(Aubrév. & Pellegr.) Swenson,NA,Species,Taxon 72: 342 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322358-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322358-1,POWO,NA
Pradosia ptychandra,Sapotaceae,Pradosia,ptychandra,(Eyma) T.D.Penn.,NA,Species,Fl. Neotrop. Monogr. 52: 648 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,948093-1,NA,NA,NA,https://powo.science.kew.org/taxon/948093-1,POWO,NA
Labatia fimbriata,Sapotaceae,Labatia,fimbriata,(Baehni) Alves-Araújo,NA,Species,Taxon 72: 339 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322349-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322349-1,POWO,NA
Prieurella cuneifolia,Sapotaceae,Prieurella,cuneifolia,(Rudge) Swenson,NA,Species,Taxon 72: 352 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77323320-1,NA,NA,NA,https://powo.science.kew.org/taxon/77323320-1,POWO,NA
Micropholis laevigata,Sapotaceae,Micropholis,laevigata,(Mart.) Swenson & A.D.Faria,NA,Species,Taxon 72: 347 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322808-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322808-1,POWO,NA
Pouteria gonggrijpii,Sapotaceae,Pouteria,gonggrijpii,Eyma,NA,Species,Recueil Trav. Bot. Néerl. 33: 185 (1936),NA,1936,NA,NA,NA,NA,NA,NA,NA,NA,209784-2,NA,NA,NA,https://powo.science.kew.org/taxon/209784-2,POWO,NA
Lucuma oxypetala,Sapotaceae,Lucuma,oxypetala,(T.D.Penn.) Swenson,NA,Species,Taxon 72: 345 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322362-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322362-1,POWO,NA
Lucuma pachycalyx,Sapotaceae,Lucuma,pachycalyx,(T.D.Penn.) Swenson,NA,Species,Taxon 72: 345 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322363-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322363-1,POWO,NA
Labatia filipes,Sapotaceae,Labatia,filipes,(Eyma) Alves-Araújo,NA,Species,Taxon 72: 339 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322348-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322348-1,POWO,NA
Labatia gardneriana,Sapotaceae,Labatia,gardneriana,(A.DC.) Alves-Araújo,NA,Species,Taxon 72: 339 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77322350-1,NA,NA,NA,https://powo.science.kew.org/taxon/77322350-1,POWO,NA
