name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Franciscea macrantha,Solanaceae,Franciscea,macrantha,Lem.,tax_nov,spec.,"Jard. Fleur. 3: 349, t. 249. 1853 ",Jard. Fleur.,1853,"3: 349, t. 249",3674-2,NA,NA,NA,NA,Brazil (Southern America),NA,105585-2,NA,[Gandhi; LT],www.ipni.org/n/105585-2,IPNI
Markea parviflora,Solanaceae,Markea,parviflora,Ducke,tax_nov,spec.,Bull. Mus. Hist. Nat. (Paris) (ser. 2) 4: 747. 1932 as Marcka,Bull. Mus. Hist. Nat. (Paris),1932,(ser. 2) 4: 747,576-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,153419-2,NA,"[Gandhi; Hunziker, Kurtziana 25: 110. 1997]",www.ipni.org/n/153419-2,IPNI
Markea peckoltiorum,Solanaceae,Markea,peckoltiorum,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 44(2-3, Beibl. 101): 17. 1910 [22 Mar 1910] ",Bot. Jahrb. Syst.,1910,"44(2-3, Beibl. 101): 17",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,153420-2,22 Mar 1910,"[Gandhi; Hunziker, Kurtziana 25: 111. 1997]",www.ipni.org/n/153420-2,IPNI
Markea uniflora,Solanaceae,Markea,uniflora,Lundell,tax_nov,spec.,Phytologia 1: 340. 1939 ,Phytologia,1939,1: 340,1034-2,NA,NA,NA,NA,Brazil (Southern America),NA,153429-2,NA,"[Gandhi; Hunziker, Kurtziana 25: 87. 1997]",www.ipni.org/n/153429-2,IPNI
Markea verrucosa,Solanaceae,Markea,verrucosa,Rusby,tax_nov,spec.,Mem. Torrey Bot. Club 6: 92. 1896 ,Mem. Torrey Bot. Club,1896,6: 92,1007-2,holotype NY,M.Bang,1294,NA,"Espirito Santo (Brazil, Southern America)",NA,280427-2,NA,NA,www.ipni.org/n/280427-2,IPNI
Matthissonia paniculata,Solanaceae,Matthissonia,paniculata,Raddi,tax_nov,spec.,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis. 18: 390, fig. 7. 1820 Repr. as: Quaranta Piante Nuove del Brasile.... [p. 11]","Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis.",1820,"18: 390, fig. 7",3885-2,NA,NA,NA,NA,Brazil (Southern America),NA,154785-2,NA,NA,www.ipni.org/n/154785-2,IPNI
Melananthus luetzelburgii,Solanaceae,Melananthus,luetzelburgii,Suess. & Beyerle,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 44: 34. 1938 ,Repert. Spec. Nov. Regni Veg.,1938,44: 34,788-2,NA,NA,NA,NA,"Paraíba (Brazil, Southern America)",NA,156234-2,NA,NA,www.ipni.org/n/156234-2,IPNI
Nicotiana colossea,Solanaceae,Nicotiana,colossea,André,tax_nov,spec.,Rev. Hort. (Paris) 60: 511. 1888 ,Rev. Hort. (Paris),1888,60: 511,1212-2,NA,NA,NA,NA,Brazil (Southern America),NA,169764-2,NA,NA,www.ipni.org/n/169764-2,IPNI
Nicotiana setchellii,Solanaceae,Nicotiana,setchellii,Goodsp.,tax_nov,spec.,"Univ. Calif. Publ. Bot. 18: 195, tab. 14, 15. 1941 ",Univ. Calif. Publ. Bot.,1941,"18: 195, tab. 14, 15",1087-2,NA,NA,NA,NA,"Described from cultivated material, Amazonas (Brazil, Southern America)",NA,169845-2,NA,NA,www.ipni.org/n/169845-2,IPNI
Parabouchetia brasiliensis,Solanaceae,Parabouchetia,brasiliensis,Baill.,tax_nov,spec.,"Hist. Pl. (Baillon) 9[3]: 357, adnot. 8. 1888 [Feb-Mar 1888] ",Hist. Pl. (Baillon),1888,"9[3]: 357, adnot. 8",14339-2,NA,NA,NA,NA,Brazil (Southern America),NA,182880-2,Feb-Mar 1888,NA,www.ipni.org/n/182880-2,IPNI
Pionandra floribunda,Solanaceae,Pionandra,floribunda,Miers,tax_nov,spec.,London J. Bot. 4: 354. 1845 ,London J. Bot.,1845,4: 354,704-2,lectotype BM;isotype A;isotype K;isotype NY;isotype P;isotype US,J.Miers,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,306503-2,NA,NA,www.ipni.org/n/306503-2,IPNI
Pionandra gardneri,Solanaceae,Pionandra,gardneri,Miers,tax_nov,spec.,London J. Bot. 4: 358. 1845 ,London J. Bot.,1845,4: 358,704-2,lectotype BM;isotype K,G.Gardner,5041,NA,"Minas Gerais (Brazil, Southern America)",NA,304763-2,NA,NA,www.ipni.org/n/304763-2,IPNI
Pionandra premnifolia,Solanaceae,Pionandra,premnifolia,Miers,tax_nov,spec.,London J. Bot. 4: 360. 1845 ,London J. Bot.,1845,4: 360,704-2,lectotype BM," A.Cunningham,J.Bowie",NA,NA,"Sao Paulo (Brazil, Southern America)",NA,312409-2,NA,NA,www.ipni.org/n/312409-2,IPNI
Pionandra pubescens,Solanaceae,Pionandra,pubescens,Miers,tax_nov,spec.,London J. Bot. 4: 356. 1845 ,London J. Bot.,1845,4: 356,704-2,lectotype BM;isotype K,J.Miers,4538,NA,"Rio de Janeiro (Brazil, Southern America)",NA,305997-2,NA,NA,www.ipni.org/n/305997-2,IPNI
Schwenckia ulei,Solanaceae,Schwenckia,ulei,Dammer,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 187. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 187,3558-2,NA,NA,NA,NA,Brazil (Southern America),NA,230097-2,NA,NA,www.ipni.org/n/230097-2,IPNI
