name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Calamus pseudorotang,Arecaceae,Calamus,pseudorotang,Mart.,tax_nov,spec.,Hist. Nat. Palm. 3: 209. 1838 [23 Sep 1838] ,Hist. Nat. Palm.,1838,3: 209,3767-2,NA,NA,NA,NA,Brazil (Southern America),NA,60459113-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=209&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Sep 1838,NA,www.ipni.org/n/60459113-2,IPNI,NA
Calamus ruber,Arecaceae,Calamus,ruber,Reinw. ex Mart.,tax_nov,spec.,Hist. Nat. Palm. 3: 209. 1838 [23 Sep 1838] ,Hist. Nat. Palm.,1838,3: 209,3767-2,NA,NA,NA,NA,Brazil (Southern America),NA,60459114-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=209&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Sep 1838,NA,www.ipni.org/n/60459114-2,IPNI,NA
Chamaethrinax hookeriana,Arecaceae,Chamaethrinax,hookeriana,H.Wendl. ex R.Pfister,tax_nov,spec.,Beitr. Vergl. Anat. Sabaleenbl. 46. 1892 ,Beitr. Vergl. Anat. Sabaleenbl.,1892,46,20018100-2,NA,NA,NA,NA,Brazil (Southern America),NA,665938-1,NA,NA,NA,www.ipni.org/n/665938-1,IPNI,NA
Cocos chavisiana,Arecaceae,Cocos,chavisiana,Barb.Rodr.,tax_nov,spec.,Malpighia 1: 445. 1887 ,Malpighia,1887,1: 445,707-2,NA,NA,NA,NA,Brazil (Southern America),NA,62576-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1887&rft.spage=445&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/48603&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/62576-2,IPNI,NA
Desmoncus philippiana,Arecaceae,Desmoncus,philippiana,Barb.Rodr.,tax_nov,spec.,Vellosia 1: 38. 1888 ,Vellosia,1888,1: 38,3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,78688-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=38&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/78688-2,IPNI,NA
Geonoma telesiana,Arecaceae,Geonoma,telesiana,Lorenzi,tax_nov,spec.,"Brazil. Fl. Arec. 252 (-253; figs., map). 2010 ",Brazil. Fl. Arec.,2010,"252 (-253; figs., map)",20011839-1,holotype HPL;isotype ESA;isotype SP,"H.Lorenzi, João Teles, K.Soares &amp; T.B.Flores",6789,11 Dec 2009,"Mato Grosso (Brazil West-Central, Brazil, Southern America)","Município de Matinha, região da Serra do Roncador",77105846-1,NA,NA,as telesana,www.ipni.org/n/77105846-1,IPNI,NA
Mauritiella disticha,Arecaceae,Mauritiella,disticha,"E.M.B.Prata, A.V.G.Oliveira, Cohn-Haft, Emilio & C.D.Bacon",tax_nov,spec.,Syst. Bot. 46(3): 868. 2021 [25 Oct 2021] [epublished],Syst. Bot.,2021,46(3): 868,1295-2,holotype INPA 259235,E.M.B.Prata &amp; M.Cohn-Haft,1085,14 Sep 2011,"Amazonas (Brazil North, Brazil, Southern America)","Apuí municipality, Rodovia Transamazônica (Apuí-Humaitá)",77254996-1,NA,25 Oct 2021,doi:10.1600/036364421X16312067913543,www.ipni.org/n/77254996-1,IPNI,https://doi.org/10.1600/036364421X16312067913543
Sabal peregrina,Arecaceae,Sabal,peregrina,L.H.Bailey,tax_nov,spec.,"Gentes Herbarum 6: 400, fig. 208, 209. 1944 ",Gentes Herbarum,1944,"6: 400, fig. 208, 209",1546-2,NA,NA,NA,NA,"Florida, Martinique, Colombia, Brazil (Rio de Janeiro).  Known only in~ cultivation",NA,224828-2,NA,NA,NA,www.ipni.org/n/224828-2,IPNI,NA
Scheelea anizitziana,Arecaceae,Scheelea,anizitziana,Barb.Rodr.,tax_nov,spec.,Palm. Mattogross. Nov. 63 (t. 20). 1898 ,Palm. Mattogross. Nov.,1898,63 (t. 20),16444-2,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,228929-2,NA,NA,NA,www.ipni.org/n/228929-2,IPNI,NA
Scheelea lauromulleriana,Arecaceae,Scheelea,lauromulleriana,Barb.Rodr.,tax_nov,spec.,Contr. Jard. Bot. Rio de Janeiro 4: 108 (t. 25). 1907 ,Contr. Jard. Bot. Rio de Janeiro,1907,4: 108 (t. 25),3500-2,neotype F,B.E.Dahlgren,s.n.,NA,"Cultivated: Jardim Botanico Rio Janeiro, Brazil (Southern America)",NA,228939-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=108&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,"Glassman designated Dahlgren s.n. as the lectotype; however, in 1972, he cited T. 25 as the type.",www.ipni.org/n/228939-2,IPNI,NA
Scheelea osmantha,Arecaceae,Scheelea,osmantha,Barb.Rodr.,tax_nov,spec.,Pl. Jard. Rio de Janeiro 4: 24. 1894 ,Pl. Jard. Rio de Janeiro,1894,4: 24,3655-2,lectotype MO;isotype BR;isotype F;isotype P,A.F.M.Glaziou,16487,NA,"Cultivated: Jard. Bot. Rio de Jan., Brazil (Southern America)",NA,228946-2,NA,NA,"Glassman (Phaner. Monogr. 6: 204. 1972) cited the following as the type: Barb. Rodr., Sert. Palm. Brasil. 2: t. 43. 1903.",www.ipni.org/n/228946-2,IPNI,NA
Syagrus lofgrenii,Arecaceae,Syagrus,lofgrenii,Glassman,tax_nov,spec.,"Fieldiana, Bot. 31: 240, fig. 4. 1967 ","Fieldiana, Bot.",1967,"31: 240, fig. 4",626-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,246951-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1967&rft.spage=240&rft.volume=31&rft_id=http://www.biodiversitylibrary.org/bibliography/42247&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/246951-2,IPNI,NA
Attalea dahlgreniana,Arecaceae,Attalea,dahlgreniana,(Bondar) Wess.Boer,NA,Species,Indig. Palms Surin.: 158 (1965),NA,1965,NA,NA,NA,NA,NA,NA,NA,NA,26561-2,NA,NA,NA,https://powo.science.kew.org/taxon/26561-2,POWO,NA
