name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Evolvulus longipedicellatus,Convolvulaceae,Evolvulus,longipedicellatus,D.Santos & Buril,tax_nov,spec.,Syst. Bot. 47(3): 835. 2022 [16 Sep 2022] [epublished],Syst. Bot.,2022,47(3): 835,1295-2,holotype HUEFS;isotype SP,M.E.R. Junqueira,156,3 Dec 2002,"Bahia (Brazil Northeast, Brazil, Southern America)","Morro do Chapeu, beira da mata",77314300-1,16 Sep 2022,doi:10.1600/036364422X16573019348346 Etymology: name refers to the pedicel length in relation to the floral peduncle.,www.ipni.org/n/77314300-1,IPNI
Evolvulus longitubulosus,Convolvulaceae,Evolvulus,longitubulosus,Helwig,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 10: 102. 1927 ,Notizbl. Bot. Gart. Berlin-Dahlem,1927,10: 102,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,102665-2,NA,NA,www.ipni.org/n/102665-2,IPNI
Evolvulus rosmarinifolius,Convolvulaceae,Evolvulus,rosmarinifolius,Dammer,tax_nov,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 38. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 38",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,102692-2,27 Aug 1897,NA,www.ipni.org/n/102692-2,IPNI
Evolvulus veadeirensis,Convolvulaceae,Evolvulus,veadeirensis,D.Santos & C.Amorim,tax_nov,spec.,Syst. Bot. 47(4): 1094. 2022 [12 Dec 2022] [epublished],Syst. Bot.,2022,47(4): 1094,1295-2,holotype MBM;isotype BHCB,"Silva, J.M., J. Cordeiro &amp; J. Vaz",6643,22 May 2008,"Goiás (Brazil West-Central, Brazil, Southern America)","Alto Paraiso de Goias, Cristais Waterfalls",77314575-1,12 Dec 2022,"doi:10.1600/036364422X16674053033868 Etymology: name refers to Chapada dos Veadeiros, where the species is, so far, endemic.",www.ipni.org/n/77314575-1,IPNI
Evolvulus ﬂavus,Convolvulaceae,Evolvulus,ﬂavus,"A.N.T.Bandeira, Buril & J.I.M.Melo",tax_nov,spec.,Nordic J. Bot. 35(1): 20. 2016 [2017 publ. 13 Oct 2016] [epublished],Nordic J. Bot.,2016,35(1): 20,2633-2,holotype RB;isotype ACAM;isotype K;isotype NY,Bandeira,122,28 Mar 2016,"Paraíba (Brazil Northeast, Brazil, Southern America)","Cajazeiras municipality, Engenheiro Ávidos Ecological Park (EAEP), 478 m",77174578-1,2017 publ. 13 Oct 2016,doi:10.1111/njb.01268,www.ipni.org/n/77174578-1,IPNI
Ipomoea bonsai,Convolvulaceae,Ipomoea,bonsai,D.Santos & J.Alencar,tax_nov,spec.,Syst. Bot. 45(3): 652. 2020 [11 Aug 2020] [epublished],Syst. Bot.,2020,45(3): 652,1295-2,holotype PEUFR;isotype IPA;isotype K;isotype NY;isotype RB;isotype EAC,S.L.Costa,117,1 Jul 2019,"Ceará (Brazil Northeast, Brazil, Southern America)","Crateús, Serra das Almas, 622 m",77336286-1,11 Aug 2020,doi:10.1600/036364420X15935295449907 Etymology: name refers to the bonsai-like appearance of this species.,www.ipni.org/n/77336286-1,IPNI
Ipomoea cephalantha,Convolvulaceae,Ipomoea,cephalantha,Dammer,tax_nov,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 39. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 39",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,129229-2,27 Aug 1897,NA,www.ipni.org/n/129229-2,IPNI
Ipomoea cipo-colla,Convolvulaceae,Ipomoea,cipo-colla,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 484. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 484,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,129248-2,NA,NA,www.ipni.org/n/129248-2,IPNI
Ipomoea corumbaensis,Convolvulaceae,Ipomoea,corumbaensis,Hoehne,tax_nov,spec.,"Anexos Mem. Inst. Butantan, Secc. Bot. 1, Fasc. 6: 74, pl. 17. 1922 ","Anexos Mem. Inst. Butantan, Secc. Bot.",1922,"1, Fasc. 6: 74, pl. 17",3497-2,NA,NA,NA,NA,Brazil (Southern America),NA,129277-2,NA,NA,www.ipni.org/n/129277-2,IPNI
Ipomoea glutinosa,Convolvulaceae,Ipomoea,glutinosa,Dammer,tax_nov,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 39. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 39",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,129366-2,27 Aug 1897,NA,www.ipni.org/n/129366-2,IPNI
