name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Balardia platensis,Caryophyllaceae,Balardia,platensis,Cambess.,tax_nov,spec.,Fl. Bras. Merid. (A. St.-Hil.). 2: 130 (ed. fol.). 1829 ; 2(15): 181 (ed. qto.). 24 Jul 1830,Fl. Bras. Merid. (A. St.-Hil.).,1829,2: 130 (ed. fol.),8262-2,NA,NA,NA,NA,Brazil (Southern America),NA,28793-2,NA,NA,www.ipni.org/n/28793-2,IPNI
Lychnis mexicana,Caryophyllaceae,Lychnis,mexicana,Rose,tax_nov,spec.,Contr. U.S. Natl. Herb. 5: 141. 1897 ,Contr. U.S. Natl. Herb.,1897,5: 141,605-2,NA,NA,NA,NA,"Distrito Federal (Brazil, Southern America)",NA,146380-2,NA,NA,www.ipni.org/n/146380-2,IPNI
Minuartia macrophylla,Caryophyllaceae,Minuartia,macrophylla,Ducke,tax_nov,spec.,Arq. Inst. Biol. Veg. 2(1): 33. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,2(1): 33,851-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,162452-2,Sep 1935,NA,www.ipni.org/n/162452-2,IPNI
Minuartia parvifolia,Caryophyllaceae,Minuartia,parvifolia,A.C.Sm.,tax_nov,spec.,Brittonia 2: 149. 1936 ,Brittonia,1936,2: 149,561-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,162453-2,NA,NA,www.ipni.org/n/162453-2,IPNI
Cardionema camphorosmoides,Caryophyllaceae,Cardionema,camphorosmoides,(Cambess.) A.Nelson & J.F.Macbr.,NA,Species,Bot. Gaz. 56: 473 (1913),NA,1913,NA,NA,NA,NA,NA,NA,NA,NA,45441-2,NA,NA,https://powo.science.kew.org/taxon/45441-2,POWO
Spergularia levis,Caryophyllaceae,Spergularia,levis,Cambess.,NA,Species,"A.F.C.P.de Saint-Hilaire & al., Fl. Bras. Merid. 2: 176 (1830)",NA,1830,NA,NA,NA,NA,NA,NA,NA,NA,158929-1,NA,NA,https://powo.science.kew.org/taxon/158929-1,POWO
Cerastium parvum,Caryophyllaceae,Cerastium,parvum,(Pedersen) M.T.Sharples & E.A.Tripp,NA,Species,Syst. Bot. 44: 870 (2019),NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,77205028-1,NA,NA,https://powo.science.kew.org/taxon/77205028-1,POWO
Geocarpon groenlandicum,Caryophyllaceae,Geocarpon,groenlandicum,(Retz.) E.E.Schill.,NA,Species,Bot. J. Linn. Soc. 200: 84 (2022),NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,77305063-1,NA,NA,https://powo.science.kew.org/taxon/77305063-1,POWO
Cerastium junceum,Caryophyllaceae,Cerastium,junceum,Möschl,NA,Species,Mem. Soc. Brot. 9: 79 (1953),NA,1953,NA,NA,NA,NA,NA,NA,NA,NA,52364-2,NA,NA,https://powo.science.kew.org/taxon/52364-2,POWO
Silene coronaria,Caryophyllaceae,Silene,coronaria,(L.) Clairv.,NA,Species,Man. Herbor. Suisse: 145 (1811),NA,1811,NA,NA,NA,NA,NA,NA,NA,NA,60461121-2,NA,NA,https://powo.science.kew.org/taxon/60461121-2,POWO
Gypsophila vaccaria,Caryophyllaceae,Gypsophila,vaccaria,(L.) Sm.,NA,Species,"J.Sibthorp & J.E.Smith, Fl. Graec. Prodr. 1: 279 (1809)",NA,1809,NA,NA,NA,NA,NA,NA,NA,NA,154685-1,NA,NA,https://powo.science.kew.org/taxon/154685-1,POWO
