name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Campuloclinium hatschbachii,Asteraceae,Campuloclinium,hatschbachii,H.Rob.,tax_nov,spec.,FALSE,Phytologia 88(2): 141 (144; fig. 3). 2006 [Sep 2006] ,Phytologia,2006,88(2): 141 (144; fig. 3),1034-2,FALSE,holotype MBM;isotype US,"G. G. Hatschbach, M. M. Hatschbach &amp; E. Barbosa",66355,16 Mar 1997,"Minas Gerais (Brazil, Southern America)","Serra do Cabral, Armazén da Laje (Mun. Joaquim Pelício)",60445124-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2006&rft.issue=2&rft.spage=141&rft.volume=88&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Sep 2006,specific name seems to be honoring: Gert Guenther Hatschbach,NA,www.ipni.org/n/60445124-2,IPNI,NA,NA,NA,NA,
Carelia ramboi,Asteraceae,Carelia,ramboi,Cabrera,tax_nov,spec.,FALSE,"Bol. Soc. Argent. Bot. 6: 240, fig. 1. 1957 ",Bol. Soc. Argent. Bot.,1957,"6: 240, fig. 1",1242-2,FALSE,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,45648-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/45648-2,IPNI,NA,NA,NA,NA,
Carphobolus cinereus,Asteraceae,Carphobolus,cinereus,Sch.Bip.,tax_nov,spec.,FALSE,Jahresber. Pollichia xx-xi: 419. 1863 ,Jahresber. Pollichia,1863,xx-xi: 419,1267-2,FALSE,lectotype S;isolectotype S,Regnell,ser. II. n. 151,5 Sep 1869,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",ad Caldas,189395-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/189395-1,IPNI,NA,NA,NA,NA,
Carphobolus neurophyllus,Asteraceae,Carphobolus,neurophyllus,Sch.Bip.,tax_nov,spec.,FALSE,Jahresber. Pollichia 20-21: 414. 1863 ,Jahresber. Pollichia,1863,20-21: 414,1267-2,FALSE,lectotype LE;isolectotype GH;isolectotype K;isolectotype NY;isolectotype US,Riedel,s.n.,Sep 1823,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",inter Inhumerim & Mandiocca,189404-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/189404-1,IPNI,NA,NA,NA,NA,
Carphobolus regnellii,Asteraceae,Carphobolus,regnellii,Sch.Bip.,tax_nov,spec.,FALSE,Jahresber. Pollichia 20-21: 417. 1863 [15 Nov-31 Dec 1863] ,Jahresber. Pollichia,1863,20-21: 417,1267-2,FALSE,lectotype S;isolectotype S,Regnell,ser. II. n. 150,NA,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",Caldas,189413-1,TRUE,NA,15 Nov-31 Dec 1863,NA,NA,www.ipni.org/n/189413-1,IPNI,NA,NA,NA,NA,
Carphobolus semiserrulatus,Asteraceae,Carphobolus,semiserrulatus,Sch.Bip.,tax_nov,spec.,FALSE,Jahresber. Pollichia 20-21: 416. 1863 ,Jahresber. Pollichia,1863,20-21: 416,1267-2,FALSE,lectotype K;isolectotype K;isolectotype NY,Sellow,s.n.,NA,Brazil (Southern America),sine loci designatione,189417-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/189417-1,IPNI,NA,NA,NA,NA,
Castra nobilis,Asteraceae,Castra,nobilis,Vell.,tax_nov,spec.,FALSE,Fl. Flumin. 343. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,Fl. Flumin.,1829,343,932-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,313462-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=343&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1825 publ. 7 Sep-28 Nov 1829,NA,NA,www.ipni.org/n/313462-2,IPNI,NA,NA,NA,NA,
Castra regia,Asteraceae,Castra,regia,Vell.,tax_nov,spec.,FALSE,Fl. Flumin. Icon. 8: t. 79. 1831 [1827 publ. 29 Oct 1831] ,Fl. Flumin. Icon.,1831,8: t. 79,12892-2,FALSE,NA,NA,NA,NA,"maritimis fruticetis, Brazil (Southern America)",NA,313464-2,TRUE,NA,1827 publ. 29 Oct 1831,NA,NA,www.ipni.org/n/313464-2,IPNI,NA,NA,NA,NA,
Chionolaena glaziovii,Asteraceae,Chionolaena,glaziovii,Baker,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 6(3): 130. 1882 [1 Jul 1882] ,Fl. Bras. (Martius),1882,6(3): 130,629-2,FALSE,lectotype P;isotype G;isotype S,A.F.M.Glaziou,8769,NA,"Minas Gerais (Brazil, Southern America)",NA,305585-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139402&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jul 1882,NA,NA,www.ipni.org/n/305585-2,IPNI,NA,NA,NA,NA,
Chionolaena glomerata,Asteraceae,Chionolaena,glomerata,Baker,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 6(3): 130. 1882 [1 Jul 1882] ,Fl. Bras. (Martius),1882,6(3): 130,629-2,FALSE,lectotype P,A.F.M.Glaziou,4851,NA,"Rio de Janeiro (Brazil, Southern America)",NA,305584-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139402&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jul 1882,NA,NA,www.ipni.org/n/305584-2,IPNI,NA,NA,NA,NA,
