name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Polygala goyazensis,Polygalaceae,Polygala,goyazensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 52(Mém. 3[a]): 26. 1905 Nomen subnudum,Bull. Soc. Bot. France,1905,52(Mém. 3[a]): 26,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,205550-2,NA,NA,NA,www.ipni.org/n/205550-2,IPNI,NA
Polygala hatschbachii,Polygalaceae,Polygala,hatschbachii,Brade,tax_nov,spec.,"Arch. Jard. Bot. Rio de Janeiro 13: 22, tab. 2, fig. 36-42. 1954 ",Arch. Jard. Bot. Rio de Janeiro,1954,"13: 22, tab. 2, fig. 36-42",848-2,NA,NA,NA,NA,"Paraná (Brazil, Southern America)",NA,205569-2,NA,NA,NA,www.ipni.org/n/205569-2,IPNI,NA
Polygala intricata,Polygalaceae,Polygala,intricata,S.F.Blake,tax_nov,spec.,"Contr. Gray Herb. 47: 26, pl. 1, fig. 13. 1916 ",Contr. Gray Herb.,1916,"47: 26, pl. 1, fig. 13",896-2,NA,NA,NA,NA,Brazil (Southern America),NA,205589-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1916&rft.spage=26&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/59986&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/205589-2,IPNI,NA
Polygala leptolopha,Polygalaceae,Polygala,leptolopha,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 147, t. 20. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 147, t. 20",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205607-2,NA,NA,NA,www.ipni.org/n/205607-2,IPNI,NA
Polygala nitens,Polygalaceae,Polygala,nitens,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 84, t. 16. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 84, t. 16",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205672-2,NA,NA,NA,www.ipni.org/n/205672-2,IPNI,NA
Polygala opaca,Polygalaceae,Polygala,opaca,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 82, t. 16. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 82, t. 16",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205688-2,NA,NA,NA,www.ipni.org/n/205688-2,IPNI,NA
Polygala piauhiensis,Polygalaceae,Polygala,piauhiensis,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 60, t. 15. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 60, t. 15",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205752-2,NA,NA,NA,www.ipni.org/n/205752-2,IPNI,NA
Polygala pseudocoelosioides,Polygalaceae,Polygala,pseudocoelosioides,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 237, t. 24. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 237, t. 24",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205774-2,NA,NA,NA,www.ipni.org/n/205774-2,IPNI,NA
Polygala pseudostricta,Polygalaceae,Polygala,pseudostricta,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2: 500, t. 24. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2: 500, t. 24",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205781-2,NA,NA,NA,www.ipni.org/n/205781-2,IPNI,NA
Polygala rubiifolia,Polygalaceae,Polygala,rubiifolia,Chodat ex Grondona,tax_nov,spec.,"Darwiniana 9: 37, fig. 7. 1949 ",Darwiniana,1949,"9: 37, fig. 7",900-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,205819-2,NA,NA,NA,www.ipni.org/n/205819-2,IPNI,NA
Polygala salicina,Polygalaceae,Polygala,salicina,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 83, t. 16. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 83, t. 16",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205826-2,NA,NA,NA,www.ipni.org/n/205826-2,IPNI,NA
Polygala sinuata,Polygalaceae,Polygala,sinuata,Chodat,tax_nov,spec.,Bull. Herb. Boissier 4: 234. 1896 ,Bull. Herb. Boissier,1896,4: 234,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,205858-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.spage=234&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/205858-2,IPNI,NA
Polygala tocantinensis,Polygalaceae,Polygala,tocantinensis,J.F.B.Pastore & Antar,tax_nov,spec.,Eur. J. Taxon. 762: 137. 2021 [16 Aug 2021] [epublished],Eur. J. Taxon.,2021,762: 137,20016745-1,holotype CTBS 2532;isotype MBM MBM341152,"J.M.Silva, J.Cordeiro &amp; J.Vaz",6769,26 May 2008,"Tocantins (Brazil North, Brazil, Southern America)","Dianópolis, Garganta",77219130-1,NA,16 Aug 2021,doi:10.5852/ejt.2021.762.1459,www.ipni.org/n/77219130-1,IPNI,https://doi.org/10.5852/ejt.2021.762.1459
Polygala urbani,Polygalaceae,Polygala,urbani,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 58. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 58",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205905-2,NA,NA,NA,www.ipni.org/n/205905-2,IPNI,NA
Polygala vauthieri,Polygalaceae,Polygala,vauthieri,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 65, t. 16. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 65, t. 16",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205909-2,NA,NA,NA,www.ipni.org/n/205909-2,IPNI,NA
Moutabea arianae,Polygalaceae,Moutabea,arianae,Jans.-Jac. & Maas,NA,Species,Blumea 55: 86 (2010),NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,77104910-1,NA,NA,NA,https://powo.science.kew.org/taxon/77104910-1,POWO,NA
Senega glaziowii,Polygalaceae,Senega,glaziowii,(Chodat) J.F.B.Pastore,NA,Species,Ann. Missouri Bot. Gard. 108: 188 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77321337-1,NA,NA,NA,https://powo.science.kew.org/taxon/77321337-1,POWO,NA
Caamembeca martinellii,Polygalaceae,Caamembeca,martinellii,(Marques & E.F.Guim.) J.F.B.Pastore,NA,Species,Kew Bull. 67: 439 (2012),NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,77119193-1,NA,NA,NA,https://powo.science.kew.org/taxon/77119193-1,POWO,NA
Diclidanthera bolivarensis,Polygalaceae,Diclidanthera,bolivarensis,Pittier,NA,Species,Bol. Soc. Venez. Ci. Nat. 7(51): 313 (1942),NA,1942,NA,NA,NA,NA,NA,NA,NA,NA,826358-1,NA,NA,NA,https://powo.science.kew.org/taxon/826358-1,POWO,NA
Senega glochidiata,Polygalaceae,Senega,glochidiata,(Kunth) J.F.B.Pastore,NA,Species,Ann. Missouri Bot. Gard. 108: 201 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77321378-1,NA,NA,NA,https://powo.science.kew.org/taxon/77321378-1,POWO,NA
