name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Chaetochloa salzmanniana,Poaceae,Chaetochloa,salzmanniana,Hitchc. & Chase,tax_nov,spec.,Contr. U.S. Natl. Herb. 17: 265. 1913 ,Contr. U.S. Natl. Herb.,1913,17: 265,605-2,lectotype MPU;isotype BAA;isotype K;isotype US,P.Salzmann,s.n.,NA,"Cultis aridis, Bahia (Brazil, Southern America)",NA,54150-2,NA,nom. nov. for Panicum spharocarpum Salzm. 1853 (later homonym; non P. sphaerocarpon Ell. Dec 1816).,www.ipni.org/n/54150-2,IPNI
Chloris dusenii,Poaceae,Chloris,dusenii,Ekman,tax_nov,spec.,"Ark. Bot. 10, no. 17: 26, pl. 4, 6. 1911 ",Ark. Bot.,1911,"10, no. 17: 26, pl. 4, 6",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,56893-2,NA,NA,www.ipni.org/n/56893-2,IPNI
Chloris luetzelburgii,Poaceae,Chloris,luetzelburgii,Hitchc.,tax_nov,spec.,Proc. Biol. Soc. Washington 36: 197. 1923 ,Proc. Biol. Soc. Washington,1923,36: 197,1044-2,NA,NA,NA,NA,Brazil (Southern America),NA,56907-2,NA,NA,www.ipni.org/n/56907-2,IPNI
Chusquea anelythroides,Poaceae,Chusquea,anelythroides,Rupr. ex Döll,tax_nov,spec.,Fl. Bras. (Martius) 2(3): 206. 1880 [1 Dec 1880] ,Fl. Bras. (Martius),1880,2(3): 206,629-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,316724-2,1 Dec 1880,[Gandhi 23 Nov 1998; Sorong],www.ipni.org/n/316724-2,IPNI
Chusquea calderoniae,Poaceae,Chusquea,calderoniae,K.V.A.Vidal & L.G.Clark,tax_nov,spec.,Phytotaxa 579(4): 257. 2023 [24 Jan 2023] [epublished],Phytotaxa,2023,579(4): 257,20011462-1,holotype HUEFS;isotype CEPEC;isotype ISC;isotype SP;isotype SPF;isotype US,Vidal &amp; Clark,241,13 Jun 2016,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);","Bahia: Mun. Rio de Contas, fragmento de Mata Atlântica próximo à base do Pico das Almas, região de córrego do rio, nascente do Rio Brumado, c. 3.5 km de distância da estrada principal, 1489 m",77312749-1,24 Jan 2023,doi:10.11646/phytotaxa.579.4.3 Etymology: the specific epithet honours the Argentinian bamboo researcher Cleofé E. Calderón (1929‒2007).,www.ipni.org/n/77312749-1,IPNI
Chusquea fimbriata,Poaceae,Chusquea,fimbriata,Steud.,tax_nov,spec.,Syn. Pl. Glumac. 1(3): 338. 1854 [1855 publ. 12-13 Apr 1854] ,Syn. Pl. Glumac.,1854,1(3): 338,8010-2,null US,L.Riedel,s.n.,NA,"Rio de Janeiro (Brazil, Southern America)",NA,316737-2,1855 publ. 12-13 Apr 1854,[Gandhi 23 Nov 1998; Sorong],www.ipni.org/n/316737-2,IPNI
Chusquea jurgensii,Poaceae,Chusquea,jurgensii,Hack.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 7: 325. 1909 ,Repert. Spec. Nov. Regni Veg.,1909,7: 325,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,58364-2,NA,NA,www.ipni.org/n/58364-2,IPNI
Chusquea riparia,Poaceae,Chusquea,riparia,Pianiss. & L.G.Clark,tax_nov,spec.,Phytotaxa 600(3): 128. 2023 [26 Jun 2023] [epublished],Phytotaxa,2023,600(3): 128,20011462-1,holotype VIC;isotype ISC,Pianissola et al.,111,16 Aug 2015,"Espírito Santo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);","Minas Gerais: Alto Caparaó, Parque Nacional do Caparaó, Trilha para o Pico da Bandeira, 2104 m",77322101-1,26 Jun 2023,"doi:10.11646/phytotaxa.600.3.1 Etymology: name refers to the characteristic habitat, along streams, of this species.",www.ipni.org/n/77322101-1,IPNI
Chusquea wettsteinii,Poaceae,Chusquea,wettsteinii,Hack.,tax_nov,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 82. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 82,610-2,NA,NA,NA,NA,Brazil (Southern America),NA,58413-2,NA,NA,www.ipni.org/n/58413-2,IPNI
Danthonia breviseta,Poaceae,Danthonia,breviseta,Hack.,tax_nov,spec.,Oesterr. Bot. Z. 52: 192. 1902 ,Oesterr. Bot. Z.,1902,52: 192,768-2,NA,NA,NA,NA,Brazil (Southern America),NA,76606-2,NA,NA,www.ipni.org/n/76606-2,IPNI
Danthonia macrophylla,Poaceae,Danthonia,macrophylla,Hack.,tax_nov,spec.,Oesterr. Bot. Z. 52: 193. 1902 ,Oesterr. Bot. Z.,1902,52: 193,768-2,NA,NA,NA,NA,Brazil (Southern America),NA,76640-2,NA,NA,www.ipni.org/n/76640-2,IPNI
Digitaria fluminensis,Poaceae,Digitaria,fluminensis,Mez,tax_nov,spec.,"Bot. Jahrb. Syst. 56(4, Beibl. 125): 7. 1921 [18 Feb 1921] ",Bot. Jahrb. Syst.,1921,"56(4, Beibl. 125): 7",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,80252-2,18 Feb 1921,NA,www.ipni.org/n/80252-2,IPNI
