name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Protium occhioni,Burseraceae,Protium,occhioni,Rizzini,tax_nov,spec.,Leandra no. 4-5: 14[-16]. 1974 ,Leandra,1974,no. 4-5: 14[-16],2466-2,holotype RB,Duarte,s/n,NA,"Bahia (Brazil, Southern America)",NA,210596-2,NA,NA,NA,www.ipni.org/n/210596-2,IPNI,NA
Tetragastris catauba,Burseraceae,Tetragastris,catauba,Soares da Cunha,tax_nov,spec.,"Tribuna Farm. 7: 49, fig. 1939 ",Tribuna Farm.,1939,"7: 49, fig",3773-2,neotype CEPEC,dos Santos,1102,NA,Brazil (Southern America),NA,285937-2,NA,NA,NA,www.ipni.org/n/285937-2,IPNI,NA
Bursera sellowii,Burseraceae,Bursera,sellowii,Turcz.,NA,Species,Bull. Soc. Imp. Naturalistes Moscou 36(I): 613 (1863),NA,1863,NA,NA,NA,NA,NA,NA,NA,NA,127213-1,NA,NA,NA,https://powo.science.kew.org/taxon/127213-1,POWO,NA
Protium plagiocarpium,Burseraceae,Protium,plagiocarpium,Benoist,NA,Species,Bull. Soc. Bot. France 66: 359 (1919 publ. 1920),NA,1920,NA,NA,NA,NA,NA,NA,NA,NA,210616-2,NA,NA,NA,https://powo.science.kew.org/taxon/210616-2,POWO,NA
