name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Hydrocleys azurea,Limnocharitaceae,Hydrocleys,azurea,Seub.,tax_nov,spec.,Fl. Bras. (Martius) 3(1): 118. 1847 [1 Jun 1847] ,Fl. Bras. (Martius),1847,3(1): 118,629-2,lectotype M,C.F.P.Martius,s.n.,NA,Brazil (Southern America),NA,278479-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135523&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jun 1847,NA,www.ipni.org/n/278479-2,IPNI,NA
Hydrocleys commersonii,Limnocharitaceae,Hydrocleys,commersonii,Rich.,tax_nov,spec.,Mém. Mus. Hist. Nat. 1: 368. 1815 ,Mém. Mus. Hist. Nat.,1815,1: 368,4267-2,lectotype P,P.Commerson,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,305681-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1815&rft.spage=368&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/50067&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/305681-2,IPNI,NA
Hydrocleys grosourdyana,Limnocharitaceae,Hydrocleys,grosourdyana,Pedersen,tax_nov,spec.,"Bot. Tidsskr. 57: 38, fig. 1. 1961 ",Bot. Tidsskr.,1961,"57: 38, fig. 1",558-2,NA,NA,NA,NA,Venezuela &amp; Brazil,NA,125097-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1961&rft.spage=38&rft.volume=57&rft_id=http://www.biodiversitylibrary.org/bibliography/6047&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/125097-2,IPNI,NA
Hydrocleys oblongifolia,Limnocharitaceae,Hydrocleys,oblongifolia,Hoehne,tax_nov,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5, Bot. pt. 6: 4, pl. 122. 1915 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1915,"5, Bot. pt. 6: 4, pl. 122",16436-2,NA,NA,NA,NA,Brazil (Southern America),NA,125099-2,NA,NA,NA,www.ipni.org/n/125099-2,IPNI,NA
