name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Leucothoë niederleinii,Ericaceae,Leucothoë,niederleinii,Sleumer,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 480. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,12: 480,1019-2,neotype S," R.M.Klein,R.Reitz",5889,NA,Brazil (Southern America),NA,139276-2,NA,NA,www.ipni.org/n/139276-2,IPNI
Leucothoë rivularis,Ericaceae,Leucothoë,rivularis,Sleumer,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 481. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,12: 481,1019-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,139295-2,NA,NA,www.ipni.org/n/139295-2,IPNI
Leucothoë stenophylla,Ericaceae,Leucothoë,stenophylla,Loes.,tax_nov,spec.,Flora 72 (n. s. 47): 77. 1889 ,Flora,1889,72 (n. s. 47): 77,648-2,NA,NA,NA,NA,Brazil (Southern America),NA,139296-2,NA,NA,www.ipni.org/n/139296-2,IPNI
Leucothoë uleana,Ericaceae,Leucothoë,uleana,Sleumer,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 481. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,12: 481,1019-2,lectotype HBG,E.H.G.Ule,4576,NA,Brazil (Southern America),NA,139299-2,NA,NA,www.ipni.org/n/139299-2,IPNI
Sophoclesia klotzschiana,Ericaceae,Sophoclesia,klotzschiana,Mansf.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 441. 1925 ,Notizbl. Bot. Gart. Berlin-Dahlem,1925,9: 441,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,240744-2,NA,NA,www.ipni.org/n/240744-2,IPNI
Thibaudia obovata,Ericaceae,Thibaudia,obovata,A.C.Sm.,tax_nov,spec.,Contr. U.S. Natl. Herb. 28: 431. 1932 ,Contr. U.S. Natl. Herb.,1932,28: 431,605-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,252650-2,NA,NA,www.ipni.org/n/252650-2,IPNI
Thibaudia roraimae,Ericaceae,Thibaudia,roraimae,Mansf.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 437. 1925 ,Notizbl. Bot. Gart. Berlin-Dahlem,1925,9: 437,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,252672-2,NA,NA,www.ipni.org/n/252672-2,IPNI
Demosthenesia buxifolia,Ericaceae,Demosthenesia,buxifolia,(Gardner & Fielding) A.C.Sm.,NA,Species,Bull. Torrey Bot. Club 63: 310 (1936),NA,1936,NA,NA,NA,NA,NA,NA,NA,NA,77566-2,NA,NA,https://powo.science.kew.org/taxon/77566-2,POWO
Gaultheria marginata,Ericaceae,Gaultheria,marginata,(N.E.Br.) D.J.Middleton,NA,Species,Edinburgh J. Bot. 47: 297 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,277336-2,NA,NA,https://powo.science.kew.org/taxon/277336-2,POWO
Bejaria mathewsii,Ericaceae,Bejaria,mathewsii,Fielding & Gardner,NA,Species,Sert. Pl. 1: t. 69 (1844),NA,1844,NA,NA,NA,NA,NA,NA,NA,NA,327003-1,NA,NA,https://powo.science.kew.org/taxon/327003-1,POWO
Thibaudia ulei,Ericaceae,Thibaudia,ulei,(Mansf.) A.C.Sm.,NA,Species,Brittonia 3: 186 (1939),NA,1939,NA,NA,NA,NA,NA,NA,NA,NA,252686-2,NA,NA,https://powo.science.kew.org/taxon/252686-2,POWO
