name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Heteropterys aceroides,Malpighiaceae,Heteropterys,aceroides,Griseb.,tax_nov,spec.,Linnaea 13(2): 228 (-230). 1839 [Sep-Oct 1839] ,Linnaea,1839,13(2): 228 (-230),703-2,NA,NA,NA,NA,Brazil (Southern America),NA,30036542-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1839&rft.issue=2&rft.spage=228&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Sep-Oct 1839,NA,www.ipni.org/n/30036542-2,IPNI,NA
Heteropterys ambigua,Malpighiaceae,Heteropterys,ambigua,Kralik,tax_nov,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 282. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 282,610-2,NA,NA,NA,NA,Brazil (Southern America),NA,121130-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=282&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/121130-2,IPNI,NA
Heteropterys chodatiana,Malpighiaceae,Heteropterys,chodatiana,Skottsb.,tax_nov,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 21, pl. 4. 1901 ",Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 21, pl. 4",20010256-1,NA,NA,NA,NA,Brazil (Southern America),NA,121182-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=21&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/121182-2,IPNI,NA
Heteropterys discolor,Malpighiaceae,Heteropterys,discolor,A.Juss.,tax_nov,spec.,Fl. Bras. Merid. (A. St.-Hil.). 3(21): 32. 1833 [4 Feb 1833] ,Fl. Bras. Merid. (A. St.-Hil.).,1833,3(21): 32,8262-2,lectotype P,A.F.C.P.de Saint-Hilaire,NA,NA,"Minas Gerais (Brazil, Southern America)",Serra da CaraEa,300079-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=21&rft.spage=32&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,4 Feb 1833,NA,www.ipni.org/n/300079-2,IPNI,NA
Heteropterys gardneriana,Malpighiaceae,Heteropterys,gardneriana,Nied.,tax_nov,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 18. 1903 De genere Heteropteryge,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 18,8771-2,NA,NA,NA,NA,Brazil (Southern America),NA,121222-2,NA,NA,NA,www.ipni.org/n/121222-2,IPNI,NA
Heteropterys gigantocarpa,Malpighiaceae,Heteropterys,gigantocarpa,Skottsb.,tax_nov,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 25, pl. 5. 1901 ",Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 25, pl. 5",20010256-1,NA,NA,NA,NA,Brazil (Southern America),NA,121227-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=25&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/121227-2,IPNI,NA
Heteropterys machaerophora,Malpighiaceae,Heteropterys,machaerophora,Nied.,tax_nov,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 14. 1903 De genere Heteropteryge,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 14,8771-2,NA,NA,NA,NA,Brazil (Southern America),NA,121253-2,NA,NA,NA,www.ipni.org/n/121253-2,IPNI,NA
Heteropterys micans,Malpighiaceae,Heteropterys,micans,Skottsb.,tax_nov,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 26, pl. 6. 1901 ",Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 26, pl. 6",20010256-1,NA,NA,NA,NA,Brazil (Southern America),NA,121267-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=26&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/121267-2,IPNI,NA
Heteropterys microdon,Malpighiaceae,Heteropterys,microdon,Skottsb.,tax_nov,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 19, pl. 4. 1901 ",Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 19, pl. 4",20010256-1,NA,NA,NA,NA,Brazil (Southern America),NA,121269-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=19&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/121269-2,IPNI,NA
Heteropterys nudicaulis,Malpighiaceae,Heteropterys,nudicaulis,S.Moore,tax_nov,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 325. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 325",1084-2,NA,NA,NA,NA,Brazil (Southern America),NA,121282-2,NA,NA,NA,www.ipni.org/n/121282-2,IPNI,NA
