name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Lysimachia abscondita,Primulaceae,Lysimachia,abscondita,"R.Trevis., Funez & Hassemer",tax_nov,spec.,Syst. Bot. 46(1): 130. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,46(1): 130,1295-2,holotype FLOR FLOR51285,R.Trevisan,1400,8 Dec 2013,"Santa Catarina (Brazil South, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);","Santa Catarina: Urubici, Parque Nacional de São Joaquim, Campos de Santa Bárbara",77249055-1,29 Mar 2021,doi:10.1600/036364421X16128061189396,www.ipni.org/n/77249055-1,IPNI
Lysimachia campestris,Primulaceae,Lysimachia,campestris,"Funez, Hassemer & R.Trevis.",tax_nov,spec.,Syst. Bot. 46(1): 139. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,46(1): 139,1295-2,holotype FLOR;isotype FURB,L.A.Funez et al.,3760,20 Feb 2015,"Santa Catarina (Brazil South, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);","Santa Catarina: Garuva, Alto Quiriri, 1200 m",77249057-1,29 Mar 2021,doi:10.1600/036364421X16128061189396,www.ipni.org/n/77249057-1,IPNI
Lysimachia catharinensis,Primulaceae,Lysimachia,catharinensis,"R.Trevis., Funez & Hassemer",tax_nov,spec.,Syst. Bot. 46(1): 140. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,46(1): 140,1295-2,holotype FLOR FLOR-61911,R.Trevisan et al.,1639,13 Dec 2014,"Santa Catarina (Brazil South, Brazil, Southern America)","Urubici, Parque Nacional de São Joaquim",77249058-1,29 Mar 2021,doi:10.1600/036364421X16128061189396,www.ipni.org/n/77249058-1,IPNI
Lysimachia longipedicellata,Primulaceae,Lysimachia,longipedicellata,"R.Trevis., Funez & Hassemer",tax_nov,spec.,Syst. Bot. 46(1): 147. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,46(1): 147,1295-2,holotype FLOR FLOR-61999,R.Trevisan,1378,11 Nov 2013,"Santa Catarina (Brazil South, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);","Santa Catarina: Lages, em direção a Otacílio Costa",77249060-1,29 Mar 2021,doi:10.1600/036364421X16128061189396,www.ipni.org/n/77249060-1,IPNI
Lysimachia parvula,Primulaceae,Lysimachia,parvula,"Funez, Hassemer & R.Trevis.",tax_nov,spec.,Syst. Bot. 46(1): 148. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,46(1): 148,1295-2,holotype FURB FURB-51976,P.Schwirkowski &amp; L.A.Funez,1869,25 Sep 2016,"Santa Catarina (Brazil South, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);","Santa Catarina: São Bento do Sul, Minas de Caulim",77249061-1,29 Mar 2021,doi:10.1600/036364421X16128061189396,www.ipni.org/n/77249061-1,IPNI
Lysimachia neolongipedicellata,Primulaceae,Lysimachia,neolongipedicellata,Idrees & J.M.H.Shaw,NA,Species,Phytotaxa 574: 197 (2022),NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,77309098-1,NA,NA,https://powo.science.kew.org/taxon/77309098-1,POWO
Cybianthus itacolomyensis,Primulaceae,Cybianthus,itacolomyensis,M.Lisboa & Badini,NA,Species,Trab. Congr. Nac. Bot. (Rio de Janeiro) 26: 329 (1977),NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,73510-2,NA,NA,https://powo.science.kew.org/taxon/73510-2,POWO
Cybianthus verticillatus,Primulaceae,Cybianthus,verticillatus,(Vell.) G.Agostini,NA,Species,Acta Biol. Venez. 10: 168 (1980),NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,73577-2,NA,NA,https://powo.science.kew.org/taxon/73577-2,POWO
Lysimachia lanceola,Primulaceae,Lysimachia,lanceola,"(Baudo) Hassemer, Funez & R.Trevis.",NA,Species,Syst. Bot. 46: 142 (2021),NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,77249059-1,NA,NA,https://powo.science.kew.org/taxon/77249059-1,POWO
Cybianthus duckei,Primulaceae,Cybianthus,duckei,R.E.Schult.,NA,Species,Bot. Mus. Leafl. 15: 73 (1951),NA,1951,NA,NA,NA,NA,NA,NA,NA,NA,73485-2,NA,NA,https://powo.science.kew.org/taxon/73485-2,POWO
