name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Biovularia brasiliensis,Lentibulariaceae,Biovularia,brasiliensis,Kuhlm.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 13: 394. 1914 ,Repert. Spec. Nov. Regni Veg.,1914,13: 394,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,33268-2,NA,NA,www.ipni.org/n/33268-2,IPNI
Utricularia butanensis,Lentibulariaceae,Utricularia,butanensis,Merl ex Luetzelb.,tax_nov,spec.,Estud. Bot. Nordéste 3: 219. 1923 Nomen 13.  1940. Newfoundland; Insp. Fed. Obras Secc. Publ. 57 13.  1940. Newfoundland,Estud. Bot. Nordéste,1923,3: 219,16335-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,262040-2,NA,NA,www.ipni.org/n/262040-2,IPNI
Utricularia chapadensis,Lentibulariaceae,Utricularia,chapadensis,"Baleeiro, Gonella & R.W.Jobson",tax_nov,spec.,Phytotaxa 576(1): 39. 2022 [15 Dec 2022] [epublished],Phytotaxa,2022,576(1): 39,20011462-1,holotype SPF;isotype NSW;isotype UFMT,Baleeiro &amp; Cardoso,320,28 Apr 2013,"Mato Grosso (Brazil West-Central, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);","Mato Grosso. Municipality of Chapada dos Guimarães, outside the limit of Chapada dos Guimaraes National Park, beside the track to Cave Aroe Jari, 766 m",77310100-1,15 Dec 2022,doi:10.11646/phytotaxa.576.1.2,www.ipni.org/n/77310100-1,IPNI
Utricularia exigua,Lentibulariaceae,Utricularia,exigua,Merl ex Luetzelb.,tax_nov,spec.,Estud. Bot. Nordéste 3: 221. 1923 Nomen 13.  1940.  Newfoundland; Insp. Fed. Obras Secc. Publ. 57 13.  1940.~ Newfoundland,Estud. Bot. Nordéste,1923,3: 221,16335-2,NA,NA,NA,NA,"Bahia &amp; Goyaz, Brazil (Southern America)",NA,262044-2,NA,NA,www.ipni.org/n/262044-2,IPNI
Utricularia goebelii,Lentibulariaceae,Utricularia,goebelii,Merl ex Luetzelb.,tax_nov,spec.,Estud. Bot. Nordéste 3: 220. 1923 Nomen 13.  1940.  Newfoundland; Insp. Fed. Obras Secc. Publ. 57 13.  1940.~ Newfoundland,Estud. Bot. Nordéste,1923,3: 220,16335-2,NA,NA,NA,NA,"Bahia (Brazil, Southern America)",NA,262046-2,NA,NA,www.ipni.org/n/262046-2,IPNI
Utricularia hoehnei,Lentibulariaceae,Utricularia,hoehnei,Kuhlm.,tax_nov,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 83. Annexo 5, Bot. 13: [1], pl. 1923 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1923,"83. Annexo 5, Bot. 13: [1], pl",16436-2,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,260781-2,NA,NA,www.ipni.org/n/260781-2,IPNI
Utricularia janthina,Lentibulariaceae,Utricularia,janthina,Hook.f.,tax_nov,spec.,Bot. Mag. 122: t. 7466. 1896 ,Bot. Mag.,1896,122: t. 7466,864-2,NA,NA,NA,NA,Brazil (Southern America),NA,260788-2,NA,NA,www.ipni.org/n/260788-2,IPNI
Utricularia lunaris,Lentibulariaceae,Utricularia,lunaris,"Baleeiro, Gonella & R.W.Jobson",tax_nov,spec.,Phytotaxa 576(1): 45. 2022 [15 Dec 2022] [epublished],Phytotaxa,2022,576(1): 45,20011462-1,holotype SPF;isotype NSW;isotype UFG,Baleeiro et al.,127,21 Mar 2012,"Goiás (Brazil West-Central, Brazil, Southern America)","Alto Paraíso de Goiás, Vale da Lua, external border of Veadeiros National Park on the way to São Jorge village, 905m",77310101-1,15 Dec 2022,"doi:10.11646/phytotaxa.576.1.2 Etymology: the specific epithet refers to the type locality Vale da Lua, Chapada dos Veadeiros, Brazil.",www.ipni.org/n/77310101-1,IPNI
Utricularia marcelliana,Lentibulariaceae,Utricularia,marcelliana,Merl ex Luetzelb.,tax_nov,spec.,Estud. Bot. Nordéste 3: 221. 1923 Nomen 13.  1940.  Newfoundland; Insp. Fed. Obras Secc. Publ. 57 13.  1940.~ Newfoundland,Estud. Bot. Nordéste,1923,3: 221,16335-2,NA,NA,NA,NA,"Bahia (Brazil, Southern America)",NA,262052-2,NA,NA,www.ipni.org/n/262052-2,IPNI
Utricularia obsoleta,Lentibulariaceae,Utricularia,obsoleta,Merl ex Luetzelb.,tax_nov,spec.,Estud. Bot. Nordéste 3: 221. 1923 Nomen 13.  1940.  Newfoundland; Insp. Fed. Obras Secc. Publ. 57 13.  1940.~ Newfoundland,Estud. Bot. Nordéste,1923,3: 221,16335-2,NA,NA,NA,NA,"Piaui (Brazil, Southern America)",NA,262057-2,NA,NA,www.ipni.org/n/262057-2,IPNI
