name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Ficus fulvistipula,Moraceae,Ficus,fulvistipula,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104533-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104533-2,IPNI,NA,NA,NA,NA,
Ficus goyazensis,Moraceae,Ficus,goyazensis,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104547-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104547-2,IPNI,NA,NA,NA,NA,
Ficus griseo-puberula,Moraceae,Ficus,griseo-puberula,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 641. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 641,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104553-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104553-2,IPNI,NA,NA,NA,NA,
Ficus hatsbachii,Moraceae,Ficus,hatsbachii,C.C.Berg & Carauta,tax_nov,spec.,FALSE,Brittonia 54(4): 243 (fig. 5). 2003 [16 Apr 2003] ,Brittonia,2003,54(4): 243 (fig. 5),561-2,FALSE,holotype RB;isotype BG,G.Hatschbach et al.,67033,NA,"Mun. Vila Bela da Sma. Trinidale, Rio Guaporé, between Vila Bela and Barra do Sararé, Mato Grosso (Brazil, Southern America)",NA,326805-2,FALSE,NA,16 Apr 2003,NA,NA,www.ipni.org/n/326805-2,IPNI,NA,NA,NA,NA,
Ficus immersa,Moraceae,Ficus,immersa,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 641. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 641,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104574-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104574-2,IPNI,NA,NA,NA,NA,
Ficus inclusa,Moraceae,Ficus,inclusa,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104576-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104576-2,IPNI,NA,NA,NA,NA,
Ficus involucrata,Moraceae,Ficus,involucrata,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104578-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104578-2,IPNI,NA,NA,NA,NA,
Ficus melocarpa,Moraceae,Ficus,melocarpa,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104630-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104630-2,IPNI,NA,NA,NA,NA,
Ficus mourae,Moraceae,Ficus,mourae,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104647-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104647-2,IPNI,NA,NA,NA,NA,
Ficus nigripes,Moraceae,Ficus,nigripes,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104654-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104654-2,IPNI,NA,NA,NA,NA,
Ficus obovata,Moraceae,Ficus,obovata,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104657-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104657-2,IPNI,NA,NA,NA,NA,
Ficus rectinervis,Moraceae,Ficus,rectinervis,Warb. ex Glaz.,tax_nov,spec.,FALSE,Mém. Soc. Bot. France 52(Mém. 3g): 642. 1906 ,Mém. Soc. Bot. France,1906,52(Mém. 3g): 642,720-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104701-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/508384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/104701-2,IPNI,NA,NA,NA,NA,
Ficus sapiifolia,Moraceae,Ficus,sapiifolia,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104713-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104713-2,IPNI,NA,NA,NA,NA,
Ficus sclerostipula,Moraceae,Ficus,sclerostipula,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104718-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104718-2,IPNI,NA,NA,NA,NA,
Ficus subaporuloides,Moraceae,Ficus,subaporuloides,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104731-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104731-2,IPNI,NA,NA,NA,NA,
Ficus substipitata,Moraceae,Ficus,substipitata,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104734-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104734-2,IPNI,NA,NA,NA,NA,
Ficus trapezicola,Moraceae,Ficus,trapezicola,Dugand,tax_nov,spec.,FALSE,Caldasia 7: 244. 1956 ,Caldasia,1956,7: 244,883-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,104747-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/104747-2,IPNI,NA,NA,NA,NA,
Ficus warburgii,Moraceae,Ficus,warburgii,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104763-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104763-2,IPNI,NA,NA,NA,NA,
Maclura trilobata,Moraceae,Maclura,trilobata,Rojas Acosta,tax_nov,spec.,FALSE,Bull. Géogr. Bot. 24: 211. 1914 ,Bull. Géogr. Bot.,1914,24: 211,20019080-1,FALSE,NA,NA,NA,NA,"Brazil, Argentina",NA,148747-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=211&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/3635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/148747-2,IPNI,NA,NA,NA,NA,
