name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Heliconia auriculata,Heliconiaceae,Heliconia,auriculata,Barreiros,tax_nov,spec.,"Bradea 3(13): 103, fig. 1980 ",Bradea,1980,"3(13): 103, fig",1276-2,holotype RB,"Lanna, A.Castellanos",Lanna 746 & Castellanos 25496,NA,"Canavieiras, Bahia (Brazil, Southern America)",NA,119305-2,NA,NA,www.ipni.org/n/119305-2,IPNI
Heliconia aurorea,Heliconiaceae,Heliconia,aurorea,Emygdio & E.Santos,tax_nov,spec.,"Bradea 2(16): 96, fig. 1. 1976 ",Bradea,1976,"2(16): 96, fig. 1",1276-2,holotype R,L.Emygdio de Mello Filho et al.,3759,NA,Brazil (Southern America),NA,119306-2,NA,NA,www.ipni.org/n/119306-2,IPNI
Heliconia bahiensis,Heliconiaceae,Heliconia,bahiensis,Barreiros,tax_nov,spec.,"Rodriguésia no. 44: 226 (-227), fig. 1978 ",Rodriguésia,1978,"no. 44: 226 (-227), fig",1167-2,NA,NA,NA,NA,Brazil (Southern America),NA,119308-2,NA,NA,www.ipni.org/n/119308-2,IPNI
Heliconia burchellii,Heliconiaceae,Heliconia,burchellii,Baker,tax_nov,spec.,Ann. Bot. (Oxford) 7(2): 197. 1893 [Jun 1893] ,Ann. Bot. (Oxford),1893,7(2): 197,1756-2,NA,NA,NA,NA,Brazil (Southern America),NA,119318-2,Jun 1893,NA,www.ipni.org/n/119318-2,IPNI
Heliconia burle-marxii,Heliconiaceae,Heliconia,burle-marxii,Emygdio,tax_nov,spec.,"Bol. Mus. Nac. Rio de Janeiro, Bot. no. 16: [1], fig. 1957 ","Bol. Mus. Nac. Rio de Janeiro, Bot.",1957,"no. 16: [1], fig",4150-2,NA,NA,NA,NA,"Acre, Distrito Federal, Brazil (Southern America)",NA,119320-2,NA,NA,www.ipni.org/n/119320-2,IPNI
Heliconia carajaensis,Heliconiaceae,Heliconia,carajaensis,Barreiros,tax_nov,spec.,"Bradea 3(13): 104, fig. 1980 ",Bradea,1980,"3(13): 104, fig",1276-2,holotype HB,C.Pereira,917,NA,"Serra dos Carajas, Pará (Brazil, Southern America)",NA,119325-2,NA,NA,www.ipni.org/n/119325-2,IPNI
Heliconia citrina,Heliconiaceae,Heliconia,citrina,Emygdio & E.Santos,tax_nov,spec.,"Bradea 2(16): 96 (-99), fig. 2. 1976 ",Bradea,1976,"2(16): 96 (-99), fig. 2",1276-2,holotype R,Laclette,27,NA,"Rio de Janeiro (Brazil, Southern America)",NA,119333-2,NA,NA,www.ipni.org/n/119333-2,IPNI
Heliconia ferdinandi-coburgii,Heliconiaceae,Heliconia,ferdinandi-coburgii,Szyszył. in Wawra,tax_nov,spec.,"Itin. Princ. S. Coburgi 2: 88, pl. 5. 1888 ",Itin. Princ. S. Coburgi,1888,"2: 88, pl. 5",14558-2,NA,NA,NA,NA,Brazil (Southern America),NA,119364-2,NA,NA,www.ipni.org/n/119364-2,IPNI
Heliconia fluminensis,Heliconiaceae,Heliconia,fluminensis,Emygdio & E.Santos,tax_nov,spec.,"Bradea 2(16): 99 (-100), fig. 3. 1976 ",Bradea,1976,"2(16): 99 (-100), fig. 3",1276-2,holotype R,L.Emygdio de Mello Filho,2590,NA,Brazil (Southern America),NA,119367-2,NA,NA,www.ipni.org/n/119367-2,IPNI
Heliconia goiasensis,Heliconiaceae,Heliconia,goiasensis,Barreiros,tax_nov,spec.,Rodriguésia no. 41: 131. 1976 ,Rodriguésia,1976,no. 41: 131,1167-2,holotype US," L.T.Eiten,G.Eiten",1016,NA,Brazil (Southern America),NA,119372-2,NA,NA,www.ipni.org/n/119372-2,IPNI
Heliconia lacletteana,Heliconiaceae,Heliconia,lacletteana,Emygdio & E.Santos,tax_nov,spec.,"Bradea 2(16): 100 (-103), fig. 4. 1976 ",Bradea,1976,"2(16): 100 (-103), fig. 4",1276-2,holotype R,Laclette,32,NA,"Rio de Janeiro (Brazil, Southern America)",NA,119391-2,NA,NA,www.ipni.org/n/119391-2,IPNI
Heliconia laneana,Heliconiaceae,Heliconia,laneana,Barreiros,tax_nov,spec.,"Bradea 1(46): 460, fig. 1. 1974 ",Bradea,1974,"1(46): 460, fig. 1",1276-2,holotype RB,A.P.Duarte,4223,NA,"Rio de Janeiro (Brazil, Southern America)",NA,119392-2,NA,NA,www.ipni.org/n/119392-2,IPNI
Heliconia luciae,Heliconiaceae,Heliconia,luciae,Barreiros,tax_nov,spec.,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 8: 157 (-159; fig.). 1993 [dt. Jul 1992; publ. 1993] ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1993,8: 157 (-159; fig.),1871-2,holotype MG,T.C.Plowman et al.,121127,NA,"Amazonas (Brazil, Southern America)","Mun. Maraa, Rio Japura",305518-2,dt. Jul 1992; publ. 1993,specific name honors: Lucia Barreiros (wife of the author).,www.ipni.org/n/305518-2,IPNI
Heliconia mariae-augustae,Heliconiaceae,Heliconia,mariae-augustae,Emygdio & E.Santos,tax_nov,spec.,"Bol. Mus. Nac. Rio de Janeiro n.s., Bot. no. 60: 2, figs. 1981 ",Bol. Mus. Nac. Rio de Janeiro,1981,"n.s., Bot. no. 60: 2, figs",4149-2,holotype R,L.Emygdio de Mello Filho,4355,NA,Brazil (Southern America),NA,119414-2,NA,NA,www.ipni.org/n/119414-2,IPNI
Heliconia pabstii,Heliconiaceae,Heliconia,pabstii,Emygdio & E.Santos,tax_nov,spec.,"Bol. Mus. Nac. Rio de Janeiro n.s., Bot. no. 60: 4 (-5), fig. 1981 ",Bol. Mus. Nac. Rio de Janeiro,1981,"n.s., Bot. no. 60: 4 (-5), fig",4149-2,holotype R,L.Emygdio de Mello Filho,4261,NA,Brazil (Southern America),NA,119435-2,NA,NA,www.ipni.org/n/119435-2,IPNI
Heliconia rivularis,Heliconiaceae,Heliconia,rivularis,Emygdio & E.Santos,tax_nov,spec.,"Bol. Mus. Nac. Rio de Janeiro, Bot. n. s. Bot. no. 43: 5 (-8), fig. 3. 1977 ","Bol. Mus. Nac. Rio de Janeiro, Bot.",1977,"n. s. Bot. no. 43: 5 (-8), fig. 3",4150-2,holotype R,L.Emygdio de Mello Filho,3981,NA,Brazil (Southern America),NA,119469-2,NA,NA,www.ipni.org/n/119469-2,IPNI
Heliconia sampaioana,Heliconiaceae,Heliconia,sampaioana,Emygdio,tax_nov,spec.,"Bradea 2(15): 91 (-94), fig. 1976 ",Bradea,1976,"2(15): 91 (-94), fig",1276-2,holotype R,J.de Saldanha da Gama,8402,NA,Brazil (Southern America),NA,119476-2,NA,NA,www.ipni.org/n/119476-2,IPNI
Heliconia santaremensis,Heliconiaceae,Heliconia,santaremensis,Barreiros,tax_nov,spec.,"Bradea 3(13): 103, fig. 1980 ",Bradea,1980,"3(13): 103, fig",1276-2,holotype RB," R.P.Bahia, A.J.Henderson, A.S.Silva, M.R.dos Santos, B.W.Nelson,G.T.Prance, M.J.Balick",P25526,NA,"BR 163, km 1226, Rodovia Cuiaba-Santarem, Pará (Brazil, Southern America)",NA,119477-2,NA,NA,www.ipni.org/n/119477-2,IPNI
Heliconia tarumaensis,Heliconiaceae,Heliconia,tarumaensis,Barreiros,tax_nov,spec.,Rodriguésia no. 41: 132. 1976 ,Rodriguésia,1976,no. 41: 132,1167-2,holotype Herb. FEEMA,"Lanna, Castellanos",393 & 23692,NA,Brazil (Southern America),NA,119510-2,NA,NA,www.ipni.org/n/119510-2,IPNI
Heliconia triflora,Heliconiaceae,Heliconia,triflora,Barreiros,tax_nov,spec.,"Rodriguésia 38: 128, figs. 1, 2. 1971 ",Rodriguésia,1971,"38: 128, figs. 1, 2",1167-2,holotype RB,Duarte,7154,NA,"Amazonas (Brazil, Southern America)",NA,119516-2,NA,NA,www.ipni.org/n/119516-2,IPNI
Heliconia mucronata,Heliconiaceae,Heliconia,mucronata,Barreiros,NA,Species,Revista Brasil. Biol. 33: 157 (1973),NA,1973,NA,NA,NA,NA,NA,NA,NA,NA,584856-1,NA,NA,https://powo.science.kew.org/taxon/584856-1,POWO
Heliconia revoluta,Heliconiaceae,Heliconia,revoluta,(Griggs) Standl.,NA,Species,"Publ. Field Mus. Nat. Hist., Bot. Ser. 8: 4 (1930)",NA,1930,NA,NA,NA,NA,NA,NA,NA,NA,119465-2,NA,NA,https://powo.science.kew.org/taxon/119465-2,POWO
Heliconia juliani,Heliconiaceae,Heliconia,juliani,Barreiros,NA,Species,Rodriguésia 28: 130 (1976),NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,119389-2,NA,NA,https://powo.science.kew.org/taxon/119389-2,POWO
