name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Paepalanthus irwinii,Eriocaulaceae,Paepalanthus,irwinii,Trovó & Echtern.,tax_nov,spec.,FALSE,Eur. J. Taxon. 834: 65. 2022 [10 Aug 2022] [epublished],Eur. J. Taxon.,2022,834: 65,20016745-1,FALSE,holotype RB RB1405241;isotype OUPR;isotype CEN CEN112954,M.L.O.Trovó et al.,706,14 Nov 2017,"Goiás (Brazil West-Central, Brazil, Southern America)","Alto Paraíso de Goiás, Parque Nacional da Chapada dos Veadeiros, GO 239, entre Alto Paraíso de Goiás e São Jorge",77302849-1,TRUE,NA,10 Aug 2022,"doi:10.5852/ejt.2022.834.1899 Etymology: 'The epithet 'irwinii' honors Howard Samuel Irwin, the coordinator of the Planalto Expeditions Program'.",[epublished],www.ipni.org/n/77302849-1,IPNI,NA,NA,NA,NA,
Paepalanthus mellosilvae,Eriocaulaceae,Paepalanthus,mellosilvae,Trovó,tax_nov,spec.,FALSE,Phytotaxa 500(3): 249. 2021 [13 May 2021] [epublished],Phytotaxa,2021,500(3): 249,20011462-1,FALSE,holotype RB 600436;isotype BHCB;isotype K;isotype NY;isotype SP;isotype SPF 135081;isotype HUEFS 83902,R. Mello-Silva &amp; al.,1620,22 Feb 1999,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","São Tomé das Letras, Pico do Gavião, contrafortes sudoeste. Mata Nebular, 1400m",77219239-1,TRUE,NA,13 May 2021,"doi:10.11646/phytotaxa.500.3.9 The epithet is a tribute to Prof. Dr. Renato de Mello-Silva, who collected a very complete set of specimens of this new species, which was selected as the type collection.",[epublished],www.ipni.org/n/77219239-1,IPNI,NA,NA,NA,NA,
Paepalanthus milho-verdensis,Eriocaulaceae,Paepalanthus,milho-verdensis,Silveira,tax_nov,spec.,FALSE,"Floral. Mont. 131, tab. 82. 1928 ",Floral. Mont.,1928,"131, tab. 82",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180458-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/180458-2,IPNI,NA,NA,NA,NA,
Paepalanthus niveo-niger,Eriocaulaceae,Paepalanthus,niveo-niger,Silveira,tax_nov,spec.,FALSE,"Floral. Mont. 246, tab. 1928 ",Floral. Mont.,1928,"246, tab",5697-2,FALSE,holotype R,A.A.da Silveira,692,NA,Brazil (Southern America),NA,281944-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/281944-2,IPNI,NA,NA,NA,NA,
Paepalanthus oreodoxus,Eriocaulaceae,Paepalanthus,oreodoxus,Andrino & Gonella,tax_nov,spec.,FALSE,Pl. Ecol. Evol. 154(1): 139. 2021 [23 Mar 2021] ,Pl. Ecol. Evol.,2021,154(1): 139,20011731-1,FALSE,holotype SPF;isotype BHCB;isotype DIAM;isotype MBML;isotype RB,"P.M.Gonella, R.S.Ribeiro, G.A.da Silva &amp; A.P.Araújo",1245,8 Jun 2020,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Conselheiro Pena, Serra do Padre Ângelo, Pico do Padre Ângelo, platô do topo do pico, 1480 m",77217702-1,TRUE,NA,23 Mar 2021,doi:10.5091/plecevo.2021.1770,NA,www.ipni.org/n/77217702-1,IPNI,NA,NA,NA,NA,
Paepalanthus paganuccii,Eriocaulaceae,Paepalanthus,paganuccii,Giul. & M.J.G.Andrade,tax_nov,spec.,FALSE,Phytotaxa 560(2): 140. 2022 [1 Sep 2022] [epublished],Phytotaxa,2022,560(2): 140,20011462-1,FALSE,holotype HUEFS 101058,L.P. Queiroz et al.,10917,7 Sep 2005,"Bahia (Brazil Northeast, Brazil, Southern America);Maranhão (Brazil Northeast, Brazil, Southern America);Tocantins (Brazil North, Brazil, Southern America);","Bahia: Município de Pilão Arcado, Barra do Iuiu, 436 m",77304607-1,TRUE,NA,1 Sep 2022,"doi:10.11646/phytotaxa.560.2.1 Etymology: name honours Prof. Dr. Luciano Paganucci de Queiroz from the Universidade Estadual de Feira de Santana, Bahia, Brazil, for collecting the holotype and specially for his relevant contributions to the botanical studies of the Brazilian Semiarid region.",[epublished],www.ipni.org/n/77304607-1,IPNI,NA,NA,NA,NA,
Paepalanthus rufo-albus,Eriocaulaceae,Paepalanthus,rufo-albus,Silveira,tax_nov,spec.,FALSE,"Floral. Mont. 94, tab. 60, 61. 1928 ",Floral. Mont.,1928,"94, tab. 60, 61",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180600-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/180600-2,IPNI,NA,NA,NA,NA,
Paepalanthus sinuosus,Eriocaulaceae,Paepalanthus,sinuosus,Echtern. & Trovó,tax_nov,spec.,FALSE,Syst. Bot. 46(1): 29. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,46(1): 29,1295-2,FALSE,holotype HUFU;isotype OUPR,A.A.Arantes et al.,1760,17 Feb 2006,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Capitólio, região da represa de Furnas, cachoeira abaixo da trilha da Pedreira Souza",77220121-1,TRUE,NA,29 Mar 2021,doi:10.1600/036364421X16128061189521 The specific epithet refers to the slender and sinuous stem.,[epublished],www.ipni.org/n/77220121-1,IPNI,NA,NA,NA,NA,
Paepalanthus wurdackii,Eriocaulaceae,Paepalanthus,wurdackii,Moldenke,tax_nov,spec.,FALSE,Phytologia 9: 187. 1963 ,Phytologia,1963,9: 187,1034-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,180731-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1963&rft.spage=187&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/180731-2,IPNI,NA,NA,NA,NA,
Syngonanthus acephalus,Eriocaulaceae,Syngonanthus,acephalus,Hensold,tax_nov,spec.,FALSE,"Ann. Missouri Bot. Gard. 78: 434, figs. 3H, I, 6. 1991 ",Ann. Missouri Bot. Gard.,1991,"78: 434, figs. 3H, I, 6",1-2,FALSE,holotype VEN;isotype MO," K.Mägdefrau,V.Vareschi",6789,NA,"Amazonas (Brazil, Southern America)",NA,285766-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/28001816&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/285766-2,IPNI,NA,NA,NA,NA,
