name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Microtea papillosa,Phytolaccaceae,Microtea,papillosa,M.S.Marchioretto & J.C.de Siqueira,tax_nov,spec.,FALSE,"Pesquisas, Bot., Bras. 48: 30 (1998), as 'papilosa'. ","Pesquisas, Bot., Bras.",1998,"48: 30 (1998), as 'papilosa'",NA,FALSE,holotype Herbário Anchieta;isotype Universidade de Sao Paulo;isotype Herbário Anchieta,Rossi et al.,3317,11 Apr 1982,Brazil Southeast (Minas Gerais).,"Município de Diamantina, 3311m, 18 16 S, 43 32 W",1002083-1,TRUE,NA,1998,NA,NA,www.ipni.org/n/1002083-1,IPNI,NA,NA,NA,NA,
Petiveria tetrandra,Phytolaccaceae,Petiveria,tetrandra,Gomes,tax_nov,spec.,FALSE,Observ. Bot.-Med. Nonnullis Bras. Pl. 1: 13. 1803 ,Observ. Bot.-Med. Nonnullis Bras. Pl.,1803,1: 13,18395-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1203379-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/1203379-2,IPNI,NA,NA,NA,NA,
Seguieria laurifolia,Phytolaccaceae,Seguieria,laurifolia,H.Walter,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 83: 92. 1909 ",Pflanzenr. (Engler),1909,"4, Fam. 83: 92",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,231951-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/231951-2,IPNI,NA,NA,NA,NA,
Phytolacca octandra,Phytolaccaceae,Phytolacca,octandra,L.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:323293-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:323293-2,
