name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Gerardia digitata,Acanthaceae,Gerardia,digitata,Spreng.,tax_nov,spec.,"Syst. Veg., ed. 16 [Sprengel] 2: 808. 1825 [Jan-May 1825] ","Syst. Veg., ed. 16 [Sprengel]",1825,2: 808,14620-2,NA,NA,NA,NA,Brazil (Southern America),NA,109368-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=808&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jan-May 1825,NA,www.ipni.org/n/109368-2,IPNI,NA
Graptophyllum medioauratum,Acanthaceae,Graptophyllum,medioauratum,Linden ex K.Koch,tax_nov,spec.,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 14(20): 159. 1871 [20 May 1871] (as medio-auratum),Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1871,14(20): 159,7877-2,NA,NA,NA,NA,Brazil (Southern America),NA,60454912-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.issue=20&rft.spage=159&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,20 May 1871,NA,www.ipni.org/n/60454912-2,IPNI,NA
Hygrophila angusta,Acanthaceae,Hygrophila,angusta,Huber,tax_nov,spec.,"Bull. Herb. Boissier ser. 2, 1: 324. 1901 ",Bull. Herb. Boissier,1901,"ser. 2, 1: 324",573-2,NA,NA,NA,NA,Brazil (Southern America),NA,125348-2,NA,NA,NA,www.ipni.org/n/125348-2,IPNI,NA
Jacobinia breviloba,Acanthaceae,Jacobinia,breviloba,Lindau,tax_nov,spec.,Bull. Herb. Boissier 3: 486. 1895 ,Bull. Herb. Boissier,1895,3: 486,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,130991-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=486&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/130991-2,IPNI,NA
Jacobinia lancifolia,Acanthaceae,Jacobinia,lancifolia,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 537,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,131006-2,NA,NA,NA,www.ipni.org/n/131006-2,IPNI,NA
Jacobinia nervosa,Acanthaceae,Jacobinia,nervosa,Lindau,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 537,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,131016-2,NA,NA,NA,www.ipni.org/n/131016-2,IPNI,NA
Jacobinia sarmentosa,Acanthaceae,Jacobinia,sarmentosa,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 538. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 538,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,131029-2,NA,NA,NA,www.ipni.org/n/131029-2,IPNI,NA
Justicia blackii,Acanthaceae,Justicia,blackii,Leonard,tax_nov,spec.,"Contr. U.S. Natl. Herb. 31: 508, fig. 189. 1958 ",Contr. U.S. Natl. Herb.,1958,"31: 508, fig. 189",605-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,132802-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398472&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/132802-2,IPNI,NA
Justicia capitata,Acanthaceae,Justicia,capitata,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 536. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 536,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,132824-2,NA,NA,NA,www.ipni.org/n/132824-2,IPNI,NA
Justicia espiritosantensis,Acanthaceae,Justicia,espiritosantensis,Aoyama & Indriunas,tax_nov,spec.,Phytotaxa 543(3): 189. 2022 [14 Apr 2022] [epublished],Phytotaxa,2022,543(3): 189,20011462-1,holotype MBML;isotype RB,Demuner,1,16 Sep 1999,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Santa Teresa, Mata do Banestes",77297151-1,NA,14 Apr 2022,"doi:10.11646/phytotaxa.543.3.3 Etymology: 'The epithet refers to Espírito Santo State, in Brazil'.",www.ipni.org/n/77297151-1,IPNI,https://doi.org/10.11646/phytotaxa.543.3.3
Justicia montealegrensis,Acanthaceae,Justicia,montealegrensis,F.A.Silva & Kameyama,tax_nov,spec.,Syst. Bot. 46(2): 433. 2021 [11 Aug 2021] [epublished],Syst. Bot.,2021,46(2): 433,1295-2,holotype MG;isotype RB,"D.C.Zappi, M.F.Devecchi &amp; M.Pastore",4239,20 Jun 2018,"Pará (Brazil North, Brazil, Southern America)","Monte Alegre, Parque Estadual de Monte Alegre, Estrada para Parque Estadual de Monte Alegre, Mata baixa, perto do Buriti",77254314-1,NA,11 Aug 2021,doi:10.1600/036364421X16231782047389,www.ipni.org/n/77254314-1,IPNI,https://doi.org/10.1600/036364421X16231782047389
Justicia multiglandulosa,Acanthaceae,Justicia,multiglandulosa,F.A.Silva & Kameyama,tax_nov,spec.,Syst. Bot. 46(2): 434. 2021 [11 Aug 2021] [epublished],Syst. Bot.,2021,46(2): 434,1295-2,holotype RB;isotype INPA;isotype MG;isotype MO;isotype NY;isotype US,"C.A.Cid, J.Ramos, C.D.Mota &amp; N.Rosas",1841,25 Aug 1980,"Pará (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);","Pará: Oriximiná, Rio Trombetas, margem esquerda, mata adjacente ao lago Ajudante",77254315-1,NA,11 Aug 2021,doi:10.1600/036364421X16231782047389,www.ipni.org/n/77254315-1,IPNI,https://doi.org/10.1600/036364421X16231782047389
Justicia neurochlamys,Acanthaceae,Justicia,neurochlamys,Leonard,tax_nov,spec.,"Contr. U.S. Natl. Herb. 31: 517, fig. 192. 1958 ",Contr. U.S. Natl. Herb.,1958,"31: 517, fig. 192",605-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,133002-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398481&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/133002-2,IPNI,NA
