name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Disciphania clausa,Menispermaceae,Disciphania,clausa,Diels,tax_nov,spec.,"Pflanzenr. (Engler) IV, Fam. 94: 176. 1910 ",Pflanzenr. (Engler),1910,"IV, Fam. 94: 176",3295-2,NA,NA,NA,NA,"Acre &amp; Amazonas, Brazil (Southern America)",NA,82135-2,NA,NA,www.ipni.org/n/82135-2,IPNI
Disciphania cryptobotrya,Menispermaceae,Disciphania,cryptobotrya,Barneby,tax_nov,spec.,Mem. New York Bot. Gard. 20(2): 152. 1970 ,Mem. New York Bot. Gard.,1970,20(2): 152,719-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,82139-2,NA,NA,www.ipni.org/n/82139-2,IPNI
Disciphania glaziovii,Menispermaceae,Disciphania,glaziovii,Taub. ex Diels,tax_nov,spec.,"Pflanzenr. (Engler) IV, Fam. 94: 176. 1910 ",Pflanzenr. (Engler),1910,"IV, Fam. 94: 176",3295-2,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,82145-2,NA,NA,www.ipni.org/n/82145-2,IPNI
Disciphania micrantha,Menispermaceae,Disciphania,micrantha,Diels,tax_nov,spec.,Verh. Bot. Vereins Prov. Brandenburg 50: 73. 1908 ,Verh. Bot. Vereins Prov. Brandenburg,1908,50: 73,823-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,82153-2,NA,NA,www.ipni.org/n/82153-2,IPNI
Elissarrhena longipes,Menispermaceae,Elissarrhena,longipes,Miers,tax_nov,spec.,"Ann. Mag. Nat. Hist. ser. 3, 13: 124, adnot. 1864 [Feb 1864] ; later publ.: 20: 169. Sep 1867",Ann. Mag. Nat. Hist.,1864,"ser. 3, 13: 124, adnot.",520-2,NA,NA,NA,NA,Brazil (Southern America),"& Collection: ' In Brasilia septentrionali: v. s. in herb, variis Rio Negro (Spruce, 1538)' (vide the 1867 publ.)",580797-1,Feb 1864,"On p. 124 and the footnote, the genus name Elissarrhena and its single species name E. longipes were together validated in a diagnosis given in the key",www.ipni.org/n/580797-1,IPNI
Hyperbaena graciliflora,Menispermaceae,Hyperbaena,graciliflora,Miers,tax_nov,spec.,Contr. Bot. 3: 295. 1871 [Nov-Dec 1871] ,Contr. Bot.,1871,3: 295,17449-2,NA,NA,NA,NA,Brazil (Southern America),north Brazil,60470105-2,Nov-Dec 1871,NA,www.ipni.org/n/60470105-2,IPNI
Hyperbaena moricandii,Menispermaceae,Hyperbaena,moricandii,Miers,tax_nov,spec.,Contr. Bot. 3: 296. 1871 [Nov-Dec 1871] ,Contr. Bot.,1871,3: 296,17449-2,NA,NA,NA,NA,Brazil (Southern America),NA,60470106-2,Nov-Dec 1871,NA,www.ipni.org/n/60470106-2,IPNI
Hyperbaena solimoesana,Menispermaceae,Hyperbaena,solimoesana,Moldenke,tax_nov,spec.,Phytologia 1: 277. 1938 ,Phytologia,1938,1: 277,1034-2,NA,NA,NA,NA,Brazil (Amazonas); Brit. Guiana,NA,126100-2,NA,NA,www.ipni.org/n/126100-2,IPNI
Hyperbaena tweediei,Menispermaceae,Hyperbaena,tweediei,Miers ex Benth.,tax_nov,spec.,"J. Proc. Linn. Soc., Bot. 5(Suppl. 2): 50. 1861 ","J. Proc. Linn. Soc., Bot.",1861,5(Suppl. 2): 50,3151-2,NA,NA,NA,NA,Brazil (Southern America),Woods near Portoalegre and on the Rio Grande do Sul,60470102-2,NA,NA,www.ipni.org/n/60470102-2,IPNI
Odontocarya miersiana,Menispermaceae,Odontocarya,miersiana,Barneby,tax_nov,spec.,Mem. New York Bot. Gard. 20(2): 95. 1970 ,Mem. New York Bot. Gard.,1970,20(2): 95,719-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,172180-2,NA,NA,www.ipni.org/n/172180-2,IPNI
Somphoxylon magnifolium,Menispermaceae,Somphoxylon,magnifolium,A.C.Sm.,tax_nov,spec.,J. Arnold Arbor. 20: 292. 1939 ,J. Arnold Arbor.,1939,20: 292,981-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,240659-2,NA,NA,www.ipni.org/n/240659-2,IPNI
Taubertia peltata,Menispermaceae,Taubertia,peltata,K.Schum.,tax_nov,spec.,"Bot. Jahrb. Syst. 15(5, Beibl. 38): 3; 17: 503, f. 1. 1893 [24 Feb 1893] ",Bot. Jahrb. Syst.,1893,"15(5, Beibl. 38): 3; 17: 503, f. 1",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,249669-2,24 Feb 1893,NA,www.ipni.org/n/249669-2,IPNI
Abuta acutifolia,Menispermaceae,Abuta,acutifolia,Miers,NA,Species,"Ann. Mag. Nat. Hist., ser. 3, 14: 259 (1864)",NA,1864,NA,NA,NA,NA,NA,NA,NA,NA,580032-1,NA,NA,https://powo.science.kew.org/taxon/580032-1,POWO
Abuta platyphylla,Menispermaceae,Abuta,platyphylla,Mart. ex Eichler,NA,Species,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 13(1): 200 (1864)",NA,1864,NA,NA,NA,NA,NA,NA,NA,NA,580075-1,NA,NA,https://powo.science.kew.org/taxon/580075-1,POWO
Telitoxicum negroense,Menispermaceae,Telitoxicum,negroense,(Krukoff & Moldenke) Krukoff,NA,Species,Phytologia 41: 244 (1979),NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,581526-1,NA,NA,https://powo.science.kew.org/taxon/581526-1,POWO
Curarea tomentocarpa,Menispermaceae,Curarea,tomentocarpa,(Rusby) R.Ortiz,NA,Species,PhytoKeys 100: 72 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77185802-1,NA,NA,https://powo.science.kew.org/taxon/77185802-1,POWO
Disciphania killipii,Menispermaceae,Disciphania,killipii,Diels,NA,Species,Notizbl. Bot. Gart. Berlin-Dahlem 11: 782 (1933),NA,1933,NA,NA,NA,NA,NA,NA,NA,NA,82151-2,NA,NA,https://powo.science.kew.org/taxon/82151-2,POWO
Elissarrhena solimoesana,Menispermaceae,Elissarrhena,solimoesana,(Moldenke) Wei Wang & R.Ortiz,NA,Species,Molec. Phylogen. Evol. 136: 50 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77199693-1,NA,NA,https://powo.science.kew.org/taxon/77199693-1,POWO
Rupertiella boliviana,Menispermaceae,Rupertiella,boliviana,(Krukoff & Moldenke) Wei Wang & R.Ortiz,NA,Species,Molec. Phylogen. Evol. 136: 51 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77199694-1,NA,NA,https://powo.science.kew.org/taxon/77199694-1,POWO
