name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Dichapetalum amazonicum,Dichapetalaceae,Dichapetalum,amazonicum,K.Krause ex Mildbr.,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 11: 135. 1931 ,Notizbl. Bot. Gart. Berlin-Dahlem,1931,11: 135,1019-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,79405-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1931&rft.spage=135&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/79405-2,IPNI,NA,NA,NA,NA,
Dichapetalum coelhoorum,Dichapetalaceae,Dichapetalum,coelhoorum,Prance,tax_nov,spec.,FALSE,"Fl. Neotrop. Monogr. 10: 22, figs.. 7A-E, 10. 1972 [20 Apr 1972] (as coelhoi)",Fl. Neotrop. Monogr.,1972,"10: 22, figs.. 7A-E, 10",944-2,FALSE,holotype NY," L.Coelho, J.Lima,B.W.de Albuquerque",68-119,NA,"Amazonas (Brazil, Southern America)",NA,79411-2,TRUE,NA,20 Apr 1972,"Eponymy (p. 24): ... Coelho brothers, Luiz and Dionisio”",(as coelhoi),www.ipni.org/n/79411-2,IPNI,NA,NA,NA,NA,
Tapura tessmannii,Dichapetalaceae,Tapura,tessmannii,(K.Krause) Prance,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:249444-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:249444-2,
