accepted,author,kingdom,family,name,rank,snippet,url,fqId,images,compar_name,source,genus,species,authors,citationType,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks
TRUE,(L.B.Sm.) Leme,Plantae,Bromeliaceae,Nidularium campos-portoi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:1016710-1,urn:lsid:ipni.org:names:1016710-1,,Nidularium camposportoi,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Wawra,Plantae,Bromeliaceae,Nidularium ferdinando-coburgii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:123669-1,urn:lsid:ipni.org:names:123669-1,,Nidularium ferdinandocoburgii,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Braga & Sucre,Plantae,Bromeliaceae,Pitcairnia burle-marxii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:200237-2,urn:lsid:ipni.org:names:200237-2,,Pitcairnia burlemarxii,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"(Leme) Leme, S.Heller & Zizka",Plantae,Bromeliaceae,Rokautskyia roberto-kautskyi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77176562-1,urn:lsid:ipni.org:names:77176562-1,,Rokautskyia robertokautskyi,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,L.B.Sm.,Plantae,Bromeliaceae,Vriesea segadas-viannae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:267518-2,urn:lsid:ipni.org:names:267518-2,,Vriesea segadasviannae,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Reitz,Plantae,Bromeliaceae,Billbergia alfonsi-joannis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:122030-1,urn:lsid:ipni.org:names:122030-1,,Billbergia alfonsijoannis,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Esteves,Plantae,Cactaceae,Cereus pierre-braunianus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:329507-2,urn:lsid:ipni.org:names:329507-2,,Cereus pierrebraunianus,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Buining & Brederoo,Plantae,Cactaceae,Micranthocereus auri-azureus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:160088-2,urn:lsid:ipni.org:names:160088-2,,Micranthocereus auriazureus,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Kük.,Plantae,Cyperaceae,Cyperus cornelii-ostenii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:74572-2,urn:lsid:ipni.org:names:74572-2,,Cyperus corneliiostenii,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Silveira,Plantae,Eriocaulaceae,Paepalanthus milho-verdensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:180458-2,urn:lsid:ipni.org:names:180458-2,,Paepalanthus milhoverdensis,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"(Brandão) D.B.O.S.Cardoso, Filardi & H.C.Lima",Plantae,Fabaceae,Ctenodon laca-buendianus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77215951-1,urn:lsid:ipni.org:names:77215951-1,,Ctenodon lacabuendianus,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Meisn.) Taub. ex Mez,Plantae,Lauraceae,Mezilaurus ita-uba,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:158649-2,urn:lsid:ipni.org:names:158649-2,,Mezilaurus itauba,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Krukoff & Barneby,Plantae,Loganiaceae,Strychnos romeu-belenii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:247347-2,urn:lsid:ipni.org:names:247347-2,,Strychnos romeubelenii,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Brade) Bochorny & R.Goldenb.,Plantae,Melastomataceae,Huberia souza-limae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77201625-1,urn:lsid:ipni.org:names:77201625-1,,Huberia souzalimae,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Brade) P.J.F.Guim. & Michelang.,Plantae,Melastomataceae,Pleroma mello-barretoi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77206375-1,urn:lsid:ipni.org:names:77206375-1,,Pleroma mellobarretoi,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Kiaersk.,Plantae,Myrtaceae,Eugenia villae-novae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:596332-1,urn:lsid:ipni.org:names:596332-1,,Eugenia villaenovae,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Hoehne) F.Barros & L.R.S.Guim.,Plantae,Orchidaceae,Acianthera per-dusenii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77114882-1,urn:lsid:ipni.org:names:77114882-1,,Acianthera perdusenii,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Pabst,Plantae,Orchidaceae,Maxillaria spiritu-sanctensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:155294-2,urn:lsid:ipni.org:names:155294-2,,Maxillaria spiritusanctensis,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Aristolochiaceae,NA,spec.,NA,www.ipni.org/n/19513-2,NA,,Aristolochia lanceolatolorata,IPNI,Aristolochia,lanceolato-lorata,S.Moore,tax. nov.,FALSE,J. Bot. 53: 5. 1915 ,J. Bot.,1915,53: 5,678-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,19513-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/34838283&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
NA,NA,NA,Begoniaceae,NA,spec.,NA,www.ipni.org/n/30445-2,NA,,Begonia camposportoana,IPNI,Begonia,campos-portoana,Brade,tax. nov.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 13: 85, tab. 9. 1954 ",Arch. Jard. Bot. Rio de Janeiro,1954,"13: 85, tab. 9.",848-2,FALSE,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,30445-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Begoniaceae,NA,spec.,NA,www.ipni.org/n/30578-2,NA,,Begonia fulvosetulosa,IPNI,Begonia,fulvo-setulosa,Brade,tax. nov.,FALSE,"Arq. Serv. Florest. 2, no. 1: 22, tab. 3. 1944 ",Arq. Serv. Florest.,1944,"2, no. 1: 22, tab. 3",8356-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,30578-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Begoniaceae,NA,spec.,NA,www.ipni.org/n/30685-2,NA,,Begonia konderreisiana,IPNI,Begonia,konder-reisiana,L.B.Sm. & R.C.Sm.,tax. nov.,FALSE,"Fl. Ilustr. Catarin. [Bego]: 35, t. 10. 1972 ",Fl. Ilustr. Catarin.,1972,"[Bego]: 35, t. 10",2164-2,FALSE,holotype US,"R.Reitz, R.M.Klein",4061,NA,"Santa Catarina (Brazil, Southern America)",NA,30685-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Begoniaceae,NA,spec.,NA,www.ipni.org/n/30816-2,NA,,Begonia perdusenii,IPNI,Begonia,per-dusenii,Brade,tax. nov.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 12: 10, tab. 3, 5, fig. 22-31. 1953 ",Arch. Jard. Bot. Rio de Janeiro,1953,"12: 10, tab. 3, 5, fig. 22-31",848-2,FALSE,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,30816-2,FALSE,NA,NA,NA,NA
NA,NA,NA,Begoniaceae,NA,spec.,NA,www.ipni.org/n/30883-2,NA,,Begonia santoslimae,IPNI,Begonia,santos-limae,Brade,tax. nov.,FALSE,"Arq. Serv. Florest. 2, no. 1: 23, tab. 5. 1944 ",Arq. Serv. Florest.,1944,"2, no. 1: 23, tab. 5",8356-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,30883-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Bromeliaceae,NA,spec.,NA,www.ipni.org/n/318704-2,NA,,Alcantarea robertokautskyi,IPNI,Alcantarea,roberto-kautskyi,Leme,tax. nov.,FALSE,"Harvard Pap. Bot. 4(1): 148 (-150, fig. 10). 1999 [8 Sep 1999] ",Harvard Pap. Bot.,1999,"4(1): 148 (-150, fig. 10)",10651-2,FALSE,holotype HB,R.A.Kautsky,1053,NA,"Baixo Gandu, Espirito Santo (Brazil, Southern America)",NA,318704-2,TRUE,NA,8 Sep 1999,"[Gandhi 27 Sep 1999] The type collection, originally collected by W. Zaslawski & E. Colnago, flowered in cultivation.",NA
NA,NA,NA,Bromeliaceae,NA,spec.,NA,www.ipni.org/n/86216-2,NA,,Dyckia burlemarxii,IPNI,Dyckia,burle-marxii,L.B.Sm. & Read,tax. nov.,FALSE,Phytologia 38: 137 (-138). 1977 ,Phytologia,1977,38: 137 (-138),1034-2,FALSE,holotype HB,R.Burle-Marx,s. n,NA,Brazil (Southern America),NA,86216-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1977&rft.spage=137&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
NA,NA,NA,Bromeliaceae,NA,spec.,NA,www.ipni.org/n/77091507-1,NA,,Dyckia joanaemarcioi,IPNI,Dyckia,joanae-marcioi,"P.J.Braun, Esteves & Scharf",tax. nov.,FALSE,Bromelie 2008(1): 36 (33-46; figs.). ,Bromelie,2008,2008(1): 36 (33-46; figs.),16760-2,FALSE,holotype UFG;isotype HAL 103321,E.Esteves Pereira &amp; P.J.Braun,493,27 Aug 1999,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","In montibus prope urbem Mato Verde, c. 900m",77091507-1,TRUE,NA,NA,NA,NA
NA,NA,NA,Bromeliaceae,NA,spec.,NA,www.ipni.org/n/86295-2,NA,,Dyckia marnierlapostollei,IPNI,Dyckia,marnier-lapostollei,L.B.Sm.,tax. nov.,FALSE,Bull. Bromeliad Soc. 16: 102 (-103; fig.). 1966 ,Bull. Bromeliad Soc.,1966,16: 102 (-103; fig.),5109-2,FALSE,holotype HEID,L.Horst,s.n.,1965,"Minas Gerais (Brazil, Southern America)",Diamantina,86295-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Bromeliaceae,NA,spec.,NA,www.ipni.org/n/86296-2,NA,,Dyckia mellobarretoi,IPNI,Dyckia,mello-barretoi,L.B.Sm.,tax. nov.,FALSE,"Phytologia 7: 109, tab. 1, fig. 16-19. 1960 ",Phytologia,1960,"7: 109, tab. 1, fig. 16-19",1034-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,86296-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1960&rft.spage=109&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
NA,NA,NA,Bromeliaceae,NA,spec.,NA,www.ipni.org/n/281306-2,NA,,Neoglaziovia burlemarxii,IPNI,Neoglaziovia,burle-marxii,Leme,tax. nov.,FALSE,"J. Bromeliad Soc. 40: 102 (-103), fig. 1990 ",J. Bromeliad Soc.,1990,"40: 102 (-103), fig",3393-2,FALSE,holotype HB,R.Burle-Marx,s.n.,NA,Brazil (Southern America),NA,281306-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Cactaceae,NA,spec.,NA,www.ipni.org/n/329507-2,NA,,Cereus pierrebraunianus,IPNI,Cereus,pierre-braunianus,Esteves,tax. nov.,FALSE,Cact. Succ. J. (Los Angeles) 75(6): 266 (263-270; figs. 1-10). 2003 [15 Dec 2003] ,Cact. Succ. J. (Los Angeles),2003,75(6): 266 (263-270; figs. 1-10),1964-2,FALSE,holotype UFG,E.Esteves Pereira,E-13,NA,"NE Goiás, vicinity of urbis Campos Belos, 650 m, Goiás (Brazil, Southern America)",NA,329507-2,TRUE,NA,15 Dec 2003,as C. pierre-braunianus; specific name honors: Dr. Pierre Braun (friend & colleague of author).,NA
NA,NA,NA,Cactaceae,NA,spec.,NA,www.ipni.org/n/160088-2,NA,,Micranthocereus auriazureus,IPNI,Micranthocereus,auri-azureus,Buining & Brederoo,tax. nov.,FALSE,"Cact. Succ. J. (Los Angeles) 45: 120, figs. 1-5. 1973 ",Cact. Succ. J. (Los Angeles),1973,"45: 120, figs. 1-5",1964-2,FALSE,holotype U,K.I.Horst,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,160088-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Eriocaulaceae,NA,spec.,NA,www.ipni.org/n/180458-2,NA,,Paepalanthus milhoverdensis,IPNI,Paepalanthus,milho-verdensis,Silveira,tax. nov.,FALSE,"Floral. Mont. 131, tab. 82. 1928 ",Floral. Mont.,1928,"131, tab. 82",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180458-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Eriocaulaceae,NA,spec.,NA,www.ipni.org/n/180600-2,NA,,Paepalanthus rufoalbus,IPNI,Paepalanthus,rufo-albus,Silveira,tax. nov.,FALSE,"Floral. Mont. 94, tab. 60, 61. 1928 ",Floral. Mont.,1928,"94, tab. 60, 61",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180600-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Lauraceae,NA,spec.,NA,www.ipni.org/n/167798-2,NA,,Nectandra cuneatocordata,IPNI,Nectandra,cuneato-cordata,Mez,tax. nov.,FALSE,"Bull. Herb. Boissier ser. 2, 5: 242. 1905 ",Bull. Herb. Boissier,1905,"ser. 2, 5: 242",573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,167798-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Loganiaceae,NA,spec.,NA,www.ipni.org/n/247347-2,NA,,Strychnos romeubelenii,IPNI,Strychnos,romeu-belenii,Krukoff & Barneby,tax. nov.,FALSE,"Mem. New York Bot. Gard. 20(1): 22, fig. F. 1969 ",Mem. New York Bot. Gard.,1969,"20(1): 22, fig. F",719-2,FALSE,NA,NA,NA,NA,"Bahia (Brazil, Southern America)",NA,247347-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1969&rft.issue=1&rft.spage=22&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
NA,NA,NA,Melastomataceae,NA,spec.,NA,www.ipni.org/n/136395-2,NA,,Lavoisiera mellobarretoi,IPNI,Lavoisiera,mello-barretoi,Markgr.,tax. nov.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 15: 220. 1940 ,Notizbl. Bot. Gart. Berlin-Dahlem,1940,15: 220,1019-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,136395-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=220&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
NA,NA,NA,Melastomataceae,NA,spec.,NA,www.ipni.org/n/159726-2,NA,,Miconia setosociliata,IPNI,Miconia,setoso-ciliata,Cogn.,tax. nov.,FALSE,Monogr. Phan. [A.DC. & C.DC.] 7: 843. 1891 [Jun 1891] ,Monogr. Phan. [A.DC. & C.DC.],1891,7: 843,3279-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,159726-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.spage=843&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/45961&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jun 1891,NA,NA
NA,NA,NA,Myrtaceae,NA,spec.,NA,www.ipni.org/n/99112-2,NA,,Eugenia tenuipedunculata,IPNI,Eugenia,tenui-pedunculata,Kiaersk.,tax. nov.,FALSE,"Enum. Myrt. Bras. 131, pl. 21, fig. g. 1893 ",Enum. Myrt. Bras.,1893,"131, pl. 21, fig. g",14271-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,99112-2,TRUE,NA,NA,NA,NA
NA,NA,NA,Rapateaceae,NA,spec.,NA,www.ipni.org/n/228701-2,NA,,Saxofridericia inermis,IPNI,Saxo-fridericia,inermis,Ducke,tax. nov.,FALSE,Arq. Inst. Biol. Veg. 4(1): 1. 1938 [Jun 1938] ,Arq. Inst. Biol. Veg.,1938,4(1): 1,851-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,228701-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.issue=1&rft.spage=1&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jun 1938,NA,NA
NA,NA,NA,Rubiaceae,NA,spec.,NA,www.ipni.org/n/61965-2,NA,,Coccocypselum lymansmithii,IPNI,Coccocypselum,lyman-smithii,Standl.,tax. nov.,FALSE,"Publ. Field Mus. Nat. Hist., Bot. Ser. 8: 165. 1930 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1930,8: 165,1054-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,61965-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1930&rft.spage=165&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
