accepted,author,kingdom,family,name,rank,snippet,url,fqId,images,compar_name,source,genus,species,authors,citationType,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks
TRUE,Nees,Plantae,Acanthaceae,Sebastiano-schaueria oblongata,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:55009-1,urn:lsid:ipni.org:names:55009-1,,Sebastianoschaueria oblongata,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"(G.M.Barroso) Loeuille, Semir & Pirani",Plantae,Asteraceae,Lychnocephalus mello-barretoi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77195977-1,urn:lsid:ipni.org:names:77195977-1,,Lychnocephalus mellobarretoi,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Brade,Plantae,Begoniaceae,Begonia santos-limae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:30883-2,urn:lsid:ipni.org:names:30883-2,,Begonia santoslimae,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Brade,Plantae,Begoniaceae,Begonia per-dusenii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:105408-1,urn:lsid:ipni.org:names:105408-1,,Begonia perdusenii,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(J.I.M.Melo) J.I.M.Melo,Plantae,Boraginaceae,Myriopus andrade-limae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77216059-1,urn:lsid:ipni.org:names:77216059-1,,Myriopus andradelimae,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(P.J.Braun & Esteves) Forzza,Plantae,Bromeliaceae,Dyckia josinoi-narcisae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77221574-1,urn:lsid:ipni.org:names:77221574-1,,Dyckia josinoinarcisae,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,L.B.Sm.,Plantae,Bromeliaceae,Dyckia marnier-lapostollei,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:86295-2,urn:lsid:ipni.org:names:86295-2,,Dyckia marnierlapostollei,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Leme) J.R.Grant,Plantae,Bromeliaceae,Alcantarea burle-marxii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:991833-1,urn:lsid:ipni.org:names:991833-1,,Alcantarea burlemarxii,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Leme,Plantae,Bromeliaceae,Alcantarea roberto-kautskyi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:318704-2,urn:lsid:ipni.org:names:318704-2,,Alcantarea robertokautskyi,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"P.J.Braun, Esteves & Scharf",Plantae,Bromeliaceae,Dyckia joanae-marcioi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77091507-1,urn:lsid:ipni.org:names:77091507-1,,Dyckia joanaemarcioi,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,L.B.Sm.,Plantae,Bromeliaceae,Dyckia mello-barretoi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:86296-2,urn:lsid:ipni.org:names:86296-2,,Dyckia mellobarretoi,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
