accepted,author,kingdom,family,name,rank,url,fqId,images,FFB_name,source,genus,species,authors,citationType,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks
NA,NA,NA,Malvaceae,Sida pseudopotentilloides,spec.,www.ipni.org/n/235786-2,NA,,Sida pseudo-potentilloides,IPNI,Sida,pseudopotentilloides,Monteiro,tax_nov,FALSE,"Lilloa 17: 516, fig. 3. 1949 ",Lilloa,1949,"17: 516, fig. 3",1250-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,235786-2,TRUE,NA,NA,NA
NA,NA,NA,Meliaceae,Trichilia stellatotomentosa,spec.,www.ipni.org/n/256921-2,NA,,Trichilia stellato-tomentosa,IPNI,Trichilia,stellatotomentosa,Kuntze,tax_nov,FALSE,Revis. Gen. Pl. 3[3]: 36. 1898 [28 Sep 1898] ,Revis. Gen. Pl.,1898,3[3]: 36,1063-2,FALSE,NA,NA,NA,NA,"Bolivia (Western South America, Southern America)",NA,256921-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3255&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,28 Sep 1898,NA
NA,NA,NA,Moraceae,Ficus donnellsmithii,spec.,www.ipni.org/n/104505-2,NA,,Ficus donnell-smithii,IPNI,Ficus,donnellsmithii,Standl.,tax_nov,FALSE,Contr. U.S. Natl. Herb. 20: 21. 1917 ,Contr. U.S. Natl. Herb.,1917,20: 21,605-2,FALSE,NA,NA,NA,NA,"Guatemala (Central America, Southern America)",NA,104505-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/373819&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA
NA,NA,NA,Orchidaceae,Masdevallia riograndensis,spec.,www.ipni.org/n/643084-1,NA,,Masdevallia rio-grandensis,IPNI,Masdevallia,riograndensis,hort.,tax_nov,FALSE,"Gard. Chron. 1871: 1421, nomen. ",Gard. Chron.,1871,"1871: 1421, nomen.",1224-2,FALSE,NA,NA,NA,NA,NA,NA,643084-1,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.spage=1421&rft.volume=1871&rft_id=http://www.biodiversitylibrary.org/bibliography/48390&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA
NA,NA,NA,Orchidaceae,Pleurothallis purpureoviolacea,spec.,www.ipni.org/n/203425-2,NA,,Pleurothallis purpureo-violacea,IPNI,Pleurothallis,purpureoviolacea,Cogn.,tax_nov,FALSE,"Fl. Bras. (Martius) 3(4): 405, t. 115, fig. 1. 1896 [15 Jun 1896] ",Fl. Bras. (Martius),1896,"3(4): 405, t. 115, fig. 1",629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,203425-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/137109&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,15 Jun 1896,NA
NA,NA,NA,Orchidaceae,Pleurothallis riograndensis,spec.,www.ipni.org/n/653484-1,NA,,Pleurothallis rio-grandensis,IPNI,Pleurothallis,riograndensis,Barb.Rodr.,tax_nov,FALSE,Gen. Sp. Orchid. ii. 28. ,Gen. Sp. Orchid.,NA,ii. 28.,7868-2,FALSE,NA,NA,NA,NA,NA,NA,653484-1,TRUE,NA,NA,NA
NA,NA,NA,Picramniaceae,Picramnia andradelimae,spec.,www.ipni.org/n/304664-2,NA,,Picramnia andrade-limae,IPNI,Picramnia,andradelimae,Pirani,tax_nov,FALSE,"Bol. Bot. Univ. São Paulo 12: 167, figs. 262-275. 1990 ",Bol. Bot. Univ. São Paulo,1990,"12: 167, figs. 262-275",1869-2,FALSE,holotype SPF,D.Andrade-Lima,50-559,NA,"Pernambuco (Brazil, Southern America)",NA,304664-2,TRUE,NA,NA,NA
NA,NA,NA,Piperaceae,Peperomia ciliatocaespitosa,spec.,www.ipni.org/n/77098687-1,NA,,Peperomia ciliato-caespitosa,IPNI,Peperomia,ciliatocaespitosa,Carv.-Silva,tax_nov,FALSE,Acta Bot. Brasil. 22(2): 559 (-561; fig. 1-17). 2008 ,Acta Bot. Brasil.,2008,22(2): 559 (-561; fig. 1-17),1225-2,FALSE,holotype MBML;isotype RB,V.Demurer et al.,1342,3 Aug 2000,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Mun. Santa Teresa, São João de Petrópolis, cachoeira do Struts",77098687-1,TRUE,NA,NA,as ciliato-caespitosa
NA,NA,NA,Piperaceae,Peperomia lanceolatopeltata,spec.,www.ipni.org/n/678932-1,NA,,Peperomia lanceolato-peltata,IPNI,Peperomia,lanceolatopeltata,C.DC.,tax_nov,FALSE,J. Bot. 4: 136. 1866 ,J. Bot.,1866,4: 136,678-2,FALSE,lectotype G-DC;lectotype MO;isolectotype G;isolectotype GH;isolectotype GOET;isolectotype K;isolectotype NY;isolectotype PH,Fendler,1149,NA,"Venezuela (Northern South America, Southern America)",NA,678932-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16233193&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,as lanceolato-peltata
NA,NA,NA,Rubiaceae,Manettia luteorubra,spec.,www.ipni.org/n/755707-1,NA,,Manettia luteo-rubra,IPNI,Manettia,luteorubra,Benth.,tax_nov,FALSE,Linnaea 23(4): 445. 1850 [Aug 1850] ,Linnaea,1850,23(4): 445,703-2,FALSE,NA,NA,NA,NA,NA,NA,755707-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/111169&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Aug 1850,NA
NA,NA,NA,Solanaceae,Schwenckia novaveneciana,spec.,www.ipni.org/n/230093-2,NA,,Schwenckia nova-veneciana,IPNI,Schwenckia,novaveneciana,Carvalho,tax_nov,FALSE,"Arch. Jard. Bot. Rio de Janeiro 22: 147, fig. 1978 ",Arch. Jard. Bot. Rio de Janeiro,1978,"22: 147, fig",848-2,FALSE,holotype RB,A.P.Duarte,8976,NA,Brazil (Southern America),NA,230093-2,TRUE,NA,NA,NA
