accepted,author,kingdom,family,name,rank,snippet,url,fqId,images,source,authors,publishingAuthor,authorTeam,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,pageAsText,typeLocations,remarks,referenceRemarks,collectionDate1,locality,typeCoordinates,originalRemarks,bibliographicReference,typeChosenBy,typeRemarks,nameStatus,nameStatusType,originalTaxonDistribution,typeNote,bibliographicTypeInfo,typeName,collectionDate2,originalBasionymAuthorTeam,originalHybridParentage,basionymAuthorStr,otherLinks,nameStatusBotCode,basionymStr,basionymId
NA,NA,NA,Convolvulaceae,Ipomoea cipo-colla,spec.,NA,/n/129248-2,urn:lsid:ipni.org:names:129248-2,,IPNI,Glaz.,Glaz.,,Ipomoea,cipo-colla,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 484,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 484. 1910 ,FALSE,TRUE,1.3,129248-2,wfo-0000155088,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Eriocaulaceae,Paepalanthus burle-marxii,spec.,NA,/n/77336110-1,urn:lsid:ipni.org:names:77336110-1,,IPNI,Trovó,Trovó,,Paepalanthus,burle-marxii,tax. nov.,"Brasília Distrito Federal (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,FALSE,,Phytotaxa,2024,7 Feb 2024,636(2): 144,20011462-1,citation,Phytotaxa 636(2): 144. 2024 [7 Feb 2024] [epublished],FALSE,TRUE,1.1,77336110-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,810,M.L.O.Trovó et al.,NA,holotype RB;isotype CEN;isotype NY,"doi:10.11646/phytotaxa.636.2.3 Etymology: the specific epithet celebrates Roberto Burle Marx, a brilliant Brazilian landscape architect and visual artist, whose designs include famous parks and gardens in Brasilia.",[epublished],20 May 2022,"Parque Nacional de Brasília, entrada pela portaria 6 em campo limpo, pedregoso, c. 1250 m",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Eriocaulaceae,Paepalanthus niveo-niger,spec.,NA,/n/281944-2,urn:lsid:ipni.org:names:281944-2,,IPNI,Silveira,Silveira,,Paepalanthus,niveo-niger,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Floral. Mont.,1928,NA,"246, tab",5697-2,citation,"Floral. Mont. 246, tab. 1928 ",FALSE,TRUE,1.5,281944-2,wfo-0000486496,FALSE,TRUE,TRUE,FALSE,FALSE,NA,692,A.A.da Silveira,NA,holotype R,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Eriocaulaceae,Paepalanthus rufo-albus,spec.,NA,/n/180600-2,urn:lsid:ipni.org:names:180600-2,,IPNI,Silveira,Silveira,,Paepalanthus,rufo-albus,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Floral. Mont.,1928,NA,"94, tab. 60, 61",5697-2,citation,"Floral. Mont. 94, tab. 60, 61. 1928 ",FALSE,TRUE,1.3,180600-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Eriocaulaceae,Syngonanthus retrorso-ciliatus,spec.,NA,/n/248364-2,urn:lsid:ipni.org:names:248364-2,,IPNI,Silveira,Silveira,,Syngonanthus,retrorso-ciliatus,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Floral. Mont.,1928,NA,"347, tab. 220",5697-2,citation,"Floral. Mont. 347, tab. 220. 1928 ",FALSE,TRUE,1.2,248364-2,wfo-0000566548,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Heliconiaceae,Heliconia burle-marxii,spec.,NA,/n/119320-2,urn:lsid:ipni.org:names:119320-2,,IPNI,Emygdio,Emygdio,,Heliconia,burle-marxii,tax. nov.,"Acre, Distrito Federal, Brazil (Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Nac. Rio de Janeiro, Bot.",1957,NA,"no. 16: [1], fig",4150-2,citation,"Bol. Mus. Nac. Rio de Janeiro, Bot. no. 16: [1], fig. 1957 ",FALSE,TRUE,1.4,119320-2,wfo-0000437213,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Heliconiaceae,Heliconia ferdinandi-coburgii,spec.,NA,/n/119364-2,urn:lsid:ipni.org:names:119364-2,,IPNI,Szyszył. in Wawra,Szyszył. in Wawra,,Heliconia,ferdinandi-coburgii,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Itin. Princ. S. Coburgi,1888,NA,"2: 88, pl. 5",14558-2,citation,"Itin. Princ. S. Coburgi 2: 88, pl. 5. 1888 ",FALSE,TRUE,1.6,119364-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Heliconiaceae,Heliconia mariae-augustae,spec.,NA,/n/119414-2,urn:lsid:ipni.org:names:119414-2,,IPNI,Emygdio & E.Santos,Emygdio & E.Santos,,Heliconia,mariae-augustae,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bol. Mus. Nac. Rio de Janeiro,1981,NA,"n.s., Bot. no. 60: 2, figs",4149-2,citation,"Bol. Mus. Nac. Rio de Janeiro n.s., Bot. no. 60: 2, figs. 1981 ",FALSE,TRUE,1.4,119414-2,wfo-0001350215,FALSE,TRUE,TRUE,FALSE,FALSE,NA,4355,L.Emygdio de Mello Filho,NA,holotype R,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Humiriaceae,Humiriastrum spiritus-sancti,spec.,NA,/n/124808-2,urn:lsid:ipni.org:names:124808-2,,IPNI,Cuatrec.,Cuatrec.,,Humiriastrum,spiritus-sancti,tax. nov.,"Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Ciencia (Mexico),1964,NA,23: 137,10476-2,citation,Ciencia (Mexico) 23: 137. 1964 ,FALSE,TRUE,1.3,124808-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,as H. spiritu-sancti,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Lamiaceae,Hyptis sancti-gabrieli,spec.,NA,/n/20001179-1,urn:lsid:ipni.org:names:20001179-1,,IPNI,Harley,Harley,,Hyptis,sancti-gabrieli,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Kew Bull.,2001,11 Oct 2001,56(3): 686,987-2,citation,"Kew Bull. 56(3): 686. 2001 [11 Oct 2001] , as 'sancti-gabrielii'",FALSE,TRUE,1.4,20001179-1,wfo-0000796038,TRUE,TRUE,TRUE,FALSE,FALSE,NA,53920,Harley; Giulietti,NA,isotype HUEFS;isotype K;isotype IPA;isotype CPATSA,NA,as 'sancti-gabrielii',28 May 2000,"São Gabriel, Alto da Lagoa Nova",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
