accepted,author,kingdom,family,name,rank,snippet,url,fqId,images,source,genus,species,authors,citationType,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks
TRUE,Nees,Plantae,Acanthaceae,Sebastiano-schaueria oblongata,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:55009-1,urn:lsid:ipni.org:names:55009-1,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Zahlbr. ex Wawra) Suess.,Plantae,Amaranthaceae,Alternanthera philippo-coburgii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:10427-2,urn:lsid:ipni.org:names:10427-2,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Silveira,Plantae,Amaranthaceae,Gomphrena anti-lethargica,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:111864-2,urn:lsid:ipni.org:names:111864-2,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Mayo & G.M.Barroso,Plantae,Araceae,Philodendron leal-costae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:193088-2,urn:lsid:ipni.org:names:193088-2,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Burle-Marx ex G.M.Barroso,Plantae,Araceae,Philodendron mello-barretoanum,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:193108-2,urn:lsid:ipni.org:names:193108-2,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Pohl ex DC.) Marchal,Plantae,Araliaceae,Didymopanax longe-petiolatus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:90347-1,urn:lsid:ipni.org:names:90347-1,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,(Bondar) Glassman,Plantae,Arecaceae,Syagrus × campos-portoana,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:246916-2,urn:lsid:ipni.org:names:246916-2,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"(G.M.Barroso) Loeuille, Semir & Pirani",Plantae,Asteraceae,Lychnocephalus mello-barretoi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77195977-1,urn:lsid:ipni.org:names:77195977-1,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Irmsch.,Plantae,Begoniaceae,Begonia fernandoi-costae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:30542-2,urn:lsid:ipni.org:names:30542-2,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Brade,Plantae,Begoniaceae,Begonia santos-limae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:30883-2,urn:lsid:ipni.org:names:30883-2,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Brade,Plantae,Begoniaceae,Begonia per-dusenii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:105408-1,urn:lsid:ipni.org:names:105408-1,,POWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
