publicationYear,freq,tot
1847,1,1
1856,2,3
1868,1,4
1893,1,5
1902,2,7
1907,1,8
1915,1,9
1922,2,11
1982,1,12
1983,1,13
1988,1,14
1990,1,15
1992,1,16
2001,1,17
2019,1,18
2023,1,19
