family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Dichapetalaceae,Tapura,tessmannii,Tapura_tessmannii,(K.Krause) Prance,Tapura tessmannii (K.Krause) Prance,Accepted,NA,Fl. Neotrop. Monogr. 10: 68 (1972),FALSE,"Brazil, Peru","Brazil West-Central, Peru",unknown,unknown,249444-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:249444-2,POWO,1972,comb_nova
Dichapetalaceae,Dichapetalum,coelhoorum,Dichapetalum_coelhoorum,Prance,Dichapetalum coelhoorum Prance,Unknown,Dichapetalum coelhoorum Prance,"Fl. Neotrop. Monogr. 10: 22, figs.. 7A-E, 10. 1972 [20 Apr 1972] (as coelhoi)",FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,79411-2,www.ipni.org/n/79411-2,IPNI,1972,taxon_novo
