family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Poaceae,Paspalum,millegranum,Paspalum_millegranum,Schrad.,Paspalum millegranum Schrad.,Accepted,NA,"J.A.Schultes, Mant. 2: 175 (1824)",FALSE,"Bahamas, Belize, Bolivia, Brazil, Cayman Is., Colombia, Cuba, Dominican Republic, El Salvador, French Guiana, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Puerto Rico, Suriname, Trinidad-Tobago, Turks-Caicos Is., Venezuela, Venezuelan Antilles, Windward Is.","Bahamas, Belize, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Cayman Is., Colombia, Cuba, Dominican Republic, El Salvador, French Guiana, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico Gulf, Mexico Northeast, Mexico Southeast, Nicaragua, Panama, Puerto Rico, Suriname, Trinidad-Tobago, Turks-Caicos Is., Venezuela, Venezuelan Antilles, Windward Is.",unknown,unknown,414431-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:414431-1,POWO,1824,taxon_novo
Poaceae,Paspalum,saurae,Paspalum_saurae,(Parodi) Parodi,Paspalum saurae (Parodi) Parodi,Accepted,NA,Darwiniana 15: 106 (1969),FALSE,"Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Brazil South, Paraguay, Uruguay","Bahamas, France, Greece, Italy, Portugal, Spain, United States","Alabama, Bahamas, California, Canary Is., Corse, Florida, France, Georgia, Greece, Hawaii, Italy, Louisiana, Mississippi, North Carolina, Portugal, South Carolina, Spain, Tennessee, Texas, Virginia",184656-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:184656-2,POWO,1969,comb_nova
Poaceae,Paspalum,stagnophilum,Paspalum_stagnophilum,Morrone & Zuloaga,Paspalum stagnophilum Morrone & Zuloaga,Accepted,NA,Pl. Syst. Evol. 300: 1067 (2013),FALSE,"Argentina, Bolivia, Brazil, Colombia, Cuba, Dominican Republic, El Salvador, French Guiana, Guyana, Haiti, Honduras, Mexico, Paraguay, Peru, Suriname, Venezuela","Argentina Northeast, Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Cuba, Dominican Republic, El Salvador, French Guiana, Guyana, Haiti, Honduras, Mexico Southwest, Paraguay, Peru, Suriname, Venezuela",unknown,unknown,77138738-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77138738-1,POWO,2013,taxon_novo
Poaceae,Poa,sellovii,Poa_sellovii,Nees,Poa sellovii Nees,Accepted,NA,"C.F.P.von Martius, Fl. Bras. Enum. Pl. 2: 491 (1829)",FALSE,"Brazil, Paraguay, Uruguay","Brazil South, Paraguay, Uruguay",unknown,unknown,418009-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:418009-1,POWO,1829,taxon_novo
Poaceae,Raddia,maculata,Raddia_maculata,(Soderstr.) J.R.Grande,Raddia maculata (Soderstr.) J.R.Grande,Accepted,NA,Bol. Centro Invest. Biol. Univ. Zulia 50: 35 (2016),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,60475291-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60475291-2,POWO,2016,comb_nova
Poaceae,Raddia,monophylla,Raddia_monophylla,(Soderstr.) J.R.Grande,Raddia monophylla (Soderstr.) J.R.Grande,Accepted,NA,Bol. Centro Invest. Biol. Univ. Zulia 50: 35 (2016),FALSE,Brazil,Brazil Northeast,unknown,unknown,60475292-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60475292-2,POWO,2016,comb_nova
Poaceae,Rhombolytrum,monandrum,Rhombolytrum_monandrum,(Hack.) Nicora & Rúgolo,Rhombolytrum monandrum (Hack.) Nicora & Rúgolo,Accepted,NA,Darwiniana 23: 302 (1981),FALSE,"Brazil, Uruguay","Brazil South, Uruguay",unknown,unknown,219689-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:219689-2,POWO,1981,comb_nova
Poaceae,Rosengurttia,monandra,Rosengurttia_monandra,(Hack.) L.N.Silva,Rosengurttia monandra (Hack.) L.N.Silva,Accepted,NA,J. Syst. Evol. 60: 709 (2021),FALSE,"Argentina, Bolivia, Brazil, Colombia, Ecuador, Peru","Argentina Northwest, Bolivia, Brazil South, Colombia, Ecuador, Peru",unknown,unknown,77315573-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77315573-1,POWO,2021,comb_nova
Poaceae,Rottboellia,balansae,Rottboellia_balansae,Hack.,Rottboellia balansae Hack.,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 2(3): 312 (1883)",FALSE,"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Bolivia, Brazil West-Central, Paraguay",unknown,unknown,284418-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:284418-2,POWO,1883,taxon_novo
Poaceae,Schenckochloa,barbata,Schenckochloa_barbata,(Hack.) J.J.Ortíz,Schenckochloa barbata (Hack.) J.J.Ortíz,Accepted,NA,Candollea 46: 243 (1991),FALSE,Brazil,Brazil Northeast,unknown,unknown,963112-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:963112-1,POWO,1991,comb_nova
Poaceae,Sorghastrum,chaseae,Sorghastrum_chaseae,Swallen,Sorghastrum chaseae Swallen,Accepted,NA,Phytologia 14: 96 (1966),FALSE,Brazil,Brazil West-Central,unknown,unknown,422039-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:422039-1,POWO,1966,taxon_novo
