family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Burseraceae,Bursera,sellowii,Bursera_sellowii,Turcz.,Bursera sellowii Turcz.,Accepted,NA,Bull. Soc. Imp. Naturalistes Moscou 36(I): 613 (1863),FALSE,Brazil,Brazil South,unknown,unknown,127213-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:127213-1,POWO,1863,taxon_novo
Burseraceae,Protium,plagiocarpium,Protium_plagiocarpium,Benoist,Protium plagiocarpium Benoist,Accepted,NA,Bull. Soc. Bot. France 66: 359 (1919 publ. 1920),FALSE,"Brazil, French Guiana, Guyana, Peru, Suriname","Brazil North, French Guiana, Guyana, Peru, Suriname",unknown,unknown,210616-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:210616-2,POWO,1920,taxon_novo
Burseraceae,Protium,occhioni,Protium_occhioni,Rizzini,Protium occhioni Rizzini,Unknown,Protium occhioni Rizzini,Leandra no. 4-5: 14[-16]. 1974,FALSE,"Bahia (Brazil, Southern America)",NA,NA,NA,210596-2,www.ipni.org/n/210596-2,IPNI,1974,taxon_novo
Burseraceae,Tetragastris,catauba,Tetragastris_catauba,Soares da Cunha,Tetragastris catauba Soares da Cunha,Unknown,Tetragastris catauba Soares da Cunha,"Tribuna Farm. 7: 49, fig. 1939",FALSE,Brazil (Southern America),NA,NA,NA,285937-2,www.ipni.org/n/285937-2,IPNI,1939,taxon_novo
