family,genus,species,author,accepted,kingdom,name,rank,snippet,url,fqId,images
Acanthaceae,Dianthera,brasiliensis,Vell.,TRUE,Plantae,Dianthera_brasiliensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:47189-1,urn:lsid:ipni.org:names:47189-1,
Acanthaceae,Dianthera,laeta,(Nees) Hiern,TRUE,Plantae,Dianthera_laeta,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:47249-1,urn:lsid:ipni.org:names:47249-1,
Acanthaceae,Dichazothece,cylindracea,Lindau,TRUE,Plantae,Dichazothece_cylindracea,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:79435-2,urn:lsid:ipni.org:names:79435-2,
Acanthaceae,Dyschoriste,hirsuta,(Oerst. ex Hiern) Kuntze,TRUE,Plantae,Dyschoriste_hirsuta,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77221786-1,urn:lsid:ipni.org:names:77221786-1,
Acanthaceae,Justicia,espiritosantensis,Aoyama & Indriunas,TRUE,Plantae,Justicia_espiritosantensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77297151-1,urn:lsid:ipni.org:names:77297151-1,
Acanthaceae,Justicia,tenuispica,Steud.,TRUE,Plantae,Justicia_tenuispica,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:51718-1,urn:lsid:ipni.org:names:51718-1,
Acanthaceae,Lepidacanthus,comosus,C.Presl,TRUE,Plantae,Lepidacanthus_comosus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:51948-1,urn:lsid:ipni.org:names:51948-1,
Acanthaceae,Lophostachys,monticola,Mart. ex Nees,TRUE,Plantae,Lophostachys_monticola,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:52212-1,urn:lsid:ipni.org:names:52212-1,
Acanthaceae,Odontonema,latifolium,Rizzini,TRUE,Plantae,Odontonema_latifolium,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:172460-2,urn:lsid:ipni.org:names:172460-2,
Acanthaceae,Rungia,ciliata,Nees,TRUE,Plantae,Rungia_ciliata,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:54758-1,urn:lsid:ipni.org:names:54758-1,
Acanthaceae,Sebastiano-schaueria,oblongata,Nees,TRUE,Plantae,Sebastiano-schaueria_oblongata,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:55009-1,urn:lsid:ipni.org:names:55009-1,
Acanthaceae,Duvernoia,americana,Lindau,TRUE,Plantae,Duvernoia_americana,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:86199-2,urn:lsid:ipni.org:names:86199-2,
Acanthaceae,Justicia,montealegrensis,F.A.Silva & Kameyama,TRUE,Plantae,Justicia_montealegrensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77254314-1,urn:lsid:ipni.org:names:77254314-1,
Acanthaceae,Justicia,multiglandulosa,F.A.Silva & Kameyama,TRUE,Plantae,Justicia_multiglandulosa,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77254315-1,urn:lsid:ipni.org:names:77254315-1,
Acanthaceae,Justicia,paraensis,"F.A.Silva, A.Gil & Kameyama",TRUE,Plantae,Justicia_paraensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77254316-1,urn:lsid:ipni.org:names:77254316-1,
Acanthaceae,Justicia,viridifavescens,Lindau,TRUE,Plantae,Justicia_viridifavescens,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:133162-2,urn:lsid:ipni.org:names:133162-2,
Acanthaceae,Justicia,volkeri,U.B.Deshmukh & Gnanasek.,TRUE,Plantae,Justicia_volkeri,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77215780-1,urn:lsid:ipni.org:names:77215780-1,
Acanthaceae,Ruellia,conferta,Lindau,TRUE,Plantae,Ruellia_conferta,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:224091-2,urn:lsid:ipni.org:names:224091-2,
Acanthaceae,Aphelandra,lasiandra,(Mildbr.) McDade & E.A.Tripp,TRUE,Plantae,Aphelandra_lasiandra,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77297495-1,urn:lsid:ipni.org:names:77297495-1,
Acanthaceae,Justicia,cuspidulata,(Nees) Wassh.,TRUE,Plantae,Justicia_cuspidulata,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:974488-1,urn:lsid:ipni.org:names:974488-1,
Acanthaceae,Liberatia,diandra,(Nees) Rizzini,TRUE,Plantae,Liberatia_diandra,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:139680-2,urn:lsid:ipni.org:names:139680-2,
Acanthaceae,Harpochilus,corrugatus,Zappi & F.A.Silva,TRUE,Plantae,Harpochilus_corrugatus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77297581-1,urn:lsid:ipni.org:names:77297581-1,
Acanthaceae,Mendoncia,gigas,Lindau,TRUE,Plantae,Mendoncia_gigas,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:157162-2,urn:lsid:ipni.org:names:157162-2,
Acanthaceae,Ruellia,baikiei,(Hook.) Benth. & Hook.f. ex Salomon,TRUE,Plantae,Ruellia_baikiei,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:60473808-2,urn:lsid:ipni.org:names:60473808-2,
Acanthaceae,Ruellia,villanovensis,Colla,TRUE,Plantae,Ruellia_villanovensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:54714-1,urn:lsid:ipni.org:names:54714-1,
Acanthaceae,Ruellia,wasshauseniana,E.A.Tripp,TRUE,Plantae,Ruellia_wasshauseniana,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77139683-1,urn:lsid:ipni.org:names:77139683-1,
Acanthaceae,Schaueria,maximiliani,Nees,TRUE,Plantae,Schaueria_maximiliani,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:54960-1,urn:lsid:ipni.org:names:54960-1,
Acanthaceae,Thyrsacanthus,angustissimus,(A.L.A.Côrtes & Rapini) Alcantara & M.Alves,TRUE,Plantae,Thyrsacanthus_angustissimus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77301589-1,urn:lsid:ipni.org:names:77301589-1,
Acanthaceae,Justicia,lilloi,(J.L.Lotti) C.Ezcurra,TRUE,Plantae,Justicia_lilloi,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:988687-1,urn:lsid:ipni.org:names:988687-1,
Acanthaceae,Barleria,repens,Nees,TRUE,Plantae,Barleria_repens,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:46178-1,urn:lsid:ipni.org:names:46178-1,
Acanthaceae,Dianthera,laevilinguis,(Nees) Lindau,TRUE,Plantae,Dianthera_laevilinguis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:47251-1,urn:lsid:ipni.org:names:47251-1,
Achariaceae,Mayna,micranthera,Pilg.,TRUE,Plantae,Mayna_micranthera,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:155442-2,urn:lsid:ipni.org:names:155442-2,
Alismataceae,Aquarius,densinervis,(Somogyi) Christenh. & Byng,TRUE,Plantae,Aquarius_densinervis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182627-1,urn:lsid:ipni.org:names:77182627-1,
Alismataceae,Aquarius,inpai,(Rataj) Christenh. & Byng,TRUE,Plantae,Aquarius_inpai,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183300-1,urn:lsid:ipni.org:names:77183300-1,
Alismataceae,Aquarius,glaucus,(Rataj) Christenh. & Byng,TRUE,Plantae,Aquarius_glaucus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182854-1,urn:lsid:ipni.org:names:77182854-1,
Alismataceae,Echinodorus,× gabrielii,Rataj,TRUE,Plantae,Echinodorus_× gabrielii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:1013176-1,urn:lsid:ipni.org:names:1013176-1,
Alismataceae,Aquarius,decumbens,(Kasselm.) Christenh. & Byng,TRUE,Plantae,Aquarius_decumbens,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182944-1,urn:lsid:ipni.org:names:77182944-1,
Alismataceae,Aquarius,cylindricus,(Rataj) Christenh. & Byng,TRUE,Plantae,Aquarius_cylindricus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182763-1,urn:lsid:ipni.org:names:77182763-1,
Alismataceae,Aquarius,horizontalis,(Rataj) Christenh. & Byng,TRUE,Plantae,Aquarius_horizontalis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183523-1,urn:lsid:ipni.org:names:77183523-1,
Alismataceae,Aquarius,reptilis,(Lehtonen) Christenh. & Byng,TRUE,Plantae,Aquarius_reptilis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182319-1,urn:lsid:ipni.org:names:77182319-1,
Alismataceae,Aquarius,longiscapus,(Arechav.) Christenh. & Byng,TRUE,Plantae,Aquarius_longiscapus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183299-1,urn:lsid:ipni.org:names:77183299-1,
Alismataceae,Aquarius,trialatus,(Fassett) Christenh. & Byng,TRUE,Plantae,Aquarius_trialatus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183349-1,urn:lsid:ipni.org:names:77183349-1,
