name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Gleichenia gaenslyi,Gleicheniaceae,Gleichenia,gaenslyi,Rosenst.,tax_nov,spec.,Festschrift Albert von Bamberg 56. 1905 Einige neue Farne aus Sudbrasilien,Festschrift Albert von Bamberg,1905,56,17457-2,NA,NA,NA,NA,"Paraná (Brazil, Southern America)",NA,110762-2,NA,NA,NA,www.ipni.org/n/110762-2,IPNI,NA
Gleichenia paulistana,Gleicheniaceae,Gleichenia,paulistana,Rosenst.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 21: 343. 1925 ,Repert. Spec. Nov. Regni Veg.,1925,21: 343,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,110799-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.spage=343&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/110799-2,IPNI,NA
Gleichenia subflagellaris,Gleicheniaceae,Gleichenia,subflagellaris,Christ,tax_nov,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 48, tab. 4, 8. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,"79: 48, tab. 4, 8",610-2,NA,NA,NA,NA,Brazil (Southern America),NA,110826-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=48&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/110826-2,IPNI,NA
Mertensia pumila,Gleicheniaceae,Mertensia,pumila,Mart.,tax_nov,spec.,"Icon. Pl. Crypt. 111, t.60, f.2. 1834 ",Icon. Pl. Crypt.,1834,"111, t.60, f.2",6585-2,NA,NA,NA,NA,Brazil (Southern America),NA,157914-2,NA,1834,NA,www.ipni.org/n/157914-2,IPNI,NA
Dicranopteris spissa,Gleicheniaceae,Dicranopteris,spissa,(Fée) L.V.Lima & Salino,NA,Species,Phytotaxa 583: 300 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77254695-1,NA,NA,NA,https://powo.science.kew.org/taxon/77254695-1,POWO,NA
Sticherus ferrugineus,Gleicheniaceae,Sticherus,ferrugineus,(Desv.) J.Gonzales,NA,Species,Phytotaxa 31: 24 (2011),NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,77116158-1,NA,NA,NA,https://powo.science.kew.org/taxon/77116158-1,POWO,NA
