name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Dryopteris janeirensis,Dryopteridaceae,Dryopteris,janeirensis,Rosenst.,tax_nov,spec.,Hedwigia 56: 367. 1915 ,Hedwigia,1915,56: 367,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,84903-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=367&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/84903-2,IPNI,NA
Dryopteris kuhlmannii,Dryopteridaceae,Dryopteris,kuhlmannii,Brade,tax_nov,spec.,Arch. Jard. Bot. Rio de Janeiro 18: 28. 1965 ,Arch. Jard. Bot. Rio de Janeiro,1965,18: 28,848-2,NA,NA,NA,NA,"Espirito Santo (Brazil, Southern America)",NA,84922-2,NA,NA,NA,www.ipni.org/n/84922-2,IPNI,NA
Dryopteris lindmanii,Dryopteridaceae,Dryopteris,lindmanii,C.Chr.,tax_nov,spec.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. (ser. 7) 4: 281, fig. 1907 ","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1907,"(ser. 7) 4: 281, fig.",988-2,NA,NA,NA,NA,Brazil (Southern America),NA,84958-2,NA,NA,NA,www.ipni.org/n/84958-2,IPNI,NA
Dryopteris martiana,Dryopteridaceae,Dryopteris,martiana,Rosenst.,tax_nov,spec.,Hedwigia 46: 132. 1906 ,Hedwigia,1906,46: 132,661-2,lectotype S;isolectotype B;isolectotype BM;isolectotype GH;isolectotype MICH;isolectotype NY;isolectotype P;isolectotype R;isolectotype S;isolectotype U;isolectotype UC;isolectotype US,Annies,71 (Rosenstock  Filices Austrobrasilienses no. 117),1906,"Paraná (Brazil, Southern America)",Villa Nova,297252-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=132&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/297252-2,IPNI,NA
Dryopteris pabstii,Dryopteridaceae,Dryopteris,pabstii,Brade,tax_nov,spec.,"Arch. Jard. Bot. Rio de Janeiro 18: 29, t.1. 1965 ",Arch. Jard. Bot. Rio de Janeiro,1965,"18: 29, t.1",848-2,NA,NA,NA,NA,"D. F., Brazil (Southern America)",NA,85111-2,NA,NA,NA,www.ipni.org/n/85111-2,IPNI,NA
Dryopteris riopardensis,Dryopteridaceae,Dryopteris,riopardensis,Rosenst.,tax_nov,spec.,Hedwigia 46: 121. 1906 ,Hedwigia,1906,46: 121,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,85254-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=121&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85254-2,IPNI,NA
Dryopteris rioverdensis,Dryopteridaceae,Dryopteris,rioverdensis,C.Chr.,tax_nov,spec.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. VII, 4: 284, f.11. 1907 ","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1907,"VII, 4: 284, f.11",988-2,NA,NA,NA,NA,Brazil (Southern America),NA,85256-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=284&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/7155&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85256-2,IPNI,NA
Dryopteris santae-catharinae,Dryopteridaceae,Dryopteris,santae-catharinae,Rosenst.,tax_nov,spec.,Hedwigia 46: 126. 1906 ,Hedwigia,1906,46: 126,661-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,85300-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=126&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85300-2,IPNI,NA
Dryopteris scariosa,Dryopteridaceae,Dryopteris,scariosa,Rosenst.,tax_nov,spec.,Hedwigia 46: 127. 1906 ,Hedwigia,1906,46: 127,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,85313-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=127&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85313-2,IPNI,NA
Dryopteris schwackeana,Dryopteridaceae,Dryopteris,schwackeana,C.Chr.,tax_nov,spec.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. VII, 10(2): 243 (f.37). 1913 ","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1913,"VII, 10(2): 243 (f.37)",988-2,lectotype BM,C.A.W.Schwacke,14892,NA,"Ouro Preto, locis humidis, Minas Gerais (Brazil, Southern America)",NA,85318-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1913&rft.issue=2&rft.spage=243&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/7155&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85318-2,IPNI,NA
