name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Selaginella biauriculata,Selaginellaceae,Selaginella,biauriculata,Hieron.,tax_nov,spec.,Nat. Pflanzenfam. [Engler & Prantl] 1(4): 711. 1901 ,Nat. Pflanzenfam. [Engler & Prantl],1901,1(4): 711,14495-2,NA,NA,NA,NA,Brazil (Southern America),NA,231998-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=4&rft.spage=711&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/231998-2,IPNI,NA
Selaginella breuensis,Selaginellaceae,Selaginella,breuensis,Silveira,tax_nov,spec.,"Fl. Serr. Min. 79, t.30. 1908 ",Fl. Serr. Min.,1908,"79, t.30",5696-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,232008-2,NA,NA,NA,www.ipni.org/n/232008-2,IPNI,NA
Selaginella brevipes,Selaginellaceae,Selaginella,brevipes,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 226, t.75, f.1. 1869 ",Crypt. Vasc. Bresil,1869,"1: 226, t.75, f.1",7203-2,NA,NA,NA,NA,Brazil (Southern America),Habitat in Brasilia fluminensi ... Serra os Orgaos,232011-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=226&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/232011-2,IPNI,NA
Selaginella brevispicata,Selaginellaceae,Selaginella,brevispicata,Hieron. ex Bautista,tax_nov,spec.,"Acta Amazonica 4(3): 19 [-21], figs. 1974 ",Acta Amazonica,1974,"4(3): 19 [-21], figs.",1144-2,holotype MG,E.H.G.Ule,8491,NA,"Roraima (Terr.) (Brazil, Southern America)",NA,232012-2,NA,NA,NA,www.ipni.org/n/232012-2,IPNI,NA
Selaginella burchellii,Selaginellaceae,Selaginella,burchellii,Hieron.,tax_nov,spec.,Nat. Pflanzenfam. [Engler & Prantl] 1(4): 709. 1901 ,Nat. Pflanzenfam. [Engler & Prantl],1901,1(4): 709,14495-2,NA,NA,NA,NA,Brazil (Southern America),NA,232016-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=4&rft.spage=709&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/232016-2,IPNI,NA
Selaginella callimorpha,Selaginellaceae,Selaginella,callimorpha,Silveira,tax_nov,spec.,"Bol. Commiss. Geogr. Estado Sao Paulo 2(5): 121, t.9. 1898 ",Bol. Commiss. Geogr. Estado Sao Paulo,1898,"2(5): 121, t.9",1350-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,232020-2,NA,NA,NA,www.ipni.org/n/232020-2,IPNI,NA
Selaginella camptostachys,Selaginellaceae,Selaginella,camptostachys,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 229, t.75, f.3. 1869 ",Crypt. Vasc. Bresil,1869,"1: 229, t.75, f.3",7203-2,NA,NA,NA,NA,Brazil (Southern America),Habitat in Brasilia fluminensi,60472099-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=229&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/60472099-2,IPNI,NA
Selaginella canescens,Selaginellaceae,Selaginella,canescens,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 2: 99, t.108, f.2. 1873 ",Crypt. Vasc. Bresil,1873,"2: 99, t.108, f.2",7203-2,NA,NA,NA,NA,Brazil (Southern America),Habitat in Brasilia fluminensi,232022-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1873&rft.spage=99&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/232022-2,IPNI,NA
Selaginella cunninghamii,Selaginellaceae,Selaginella,cunninghamii,Baker,tax_nov,spec.,J. Bot. 22: 110. 1884 [Apr 1884] ,J. Bot.,1884,22: 110,678-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)","'Hab. Rio Janeiro, Prof. Cunningham; Glaziou 5217, 7039'",232052-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1884&rft.spage=110&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/15787&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Apr 1884,NA,www.ipni.org/n/232052-2,IPNI,NA
Selaginella ericoides,Selaginellaceae,Selaginella,ericoides,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 228, t.75, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"1: 228, t.75, f.2",7203-2,NA,NA,NA,NA,Brazil (Southern America),Habitat in Brasilia fluminensi,60472098-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=228&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/60472098-2,IPNI,NA
