name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Danaea cordata,Marattiaceae,Danaea,cordata,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 216 (t.71, f.5). 1869 ",Crypt. Vasc. Bresil,1869,"1: 216 (t.71, f.5)",7203-2,lectotype US;isotype P,A. F. M. Glaziou,451,NA,"Rio de Janeiro (Brazil, Southern America)",Corcovado,17077010-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=216&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/17077010-1,IPNI,NA
Danaea muelleriana,Marattiaceae,Danaea,muelleriana,Rosenst.,tax_nov,spec.,Hedwigia 46: 162. 1907 ,Hedwigia,1907,46: 162,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,76583-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=162&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/76583-2,IPNI,NA
Danaea opaca,Marattiaceae,Danaea,opaca,Keskiniva & Tuomisto,tax_nov,spec.,Willdenowia 53(3): 205. 2024 [2023 publ. 22 Jan 2024] [epublished],Willdenowia,2024,53(3): 205,3087-2,holotype SP;isotype TUR [2 sheets];isotype UC;isotype Z,Tuomisto,16130,10 Apr 2012,"Amazonas (Brazil North, Brazil, Southern America)","Río Juruá, 7 km N from town of Itamarati, 150 m",77335218-1,NA,2023 publ. 22 Jan 2024,doi:10.3372/wi.53.53303 Etymology: 'named after the colour of its leaves in the field: they are dull bluish green'.,www.ipni.org/n/77335218-1,IPNI,https://doi.org/10.3372/wi.53.53303
Danaea ubatubensis,Marattiaceae,Danaea,ubatubensis,Keskiniva & Tuomisto,tax_nov,spec.,Willdenowia 53(3): 221. 2024 [2023 publ. 22 Jan 2024] [epublished],Willdenowia,2024,53(3): 221,3087-2,holotype SP 473402 [2 sheets];isotype AAU;isotype MO 6303081 [2 sheets];isotype TUR;isotype UC 1930838;isotype Z,Christenhusz,4910,6 Mar 2008,"São Paulo (Brazil Southeast, Brazil, Southern America)","Ubatumirim, Parque Estadual da Serro do Mar, Núcleo Picinguaba, trail along Rio da Fazenda starting at Casa de Farinha, 125 m",77335229-1,NA,2023 publ. 22 Jan 2024,doi:10.3372/wi.53.53303 Etymology: 'Named after the municipality of Ubatuba'.,www.ipni.org/n/77335229-1,IPNI,https://doi.org/10.3372/wi.53.53303
Marattia juergensii,Marattiaceae,Marattia,juergensii,Rosenst.,tax_nov,spec.,Festschrift Albert von Bamberg 68. 1905 Einige neue Farne aus Sudbrasilien,Festschrift Albert von Bamberg,1905,68,17457-2,NA,NA,NA,NA,Brazil (Southern America),NA,152938-2,NA,NA,NA,www.ipni.org/n/152938-2,IPNI,NA
Eupodium cicutifolium,Marattiaceae,Eupodium,cicutifolium,(Kaulf.) Lehtonen,NA,Species,Cladistics 36: 585 (2020),NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,77222312-1,NA,NA,NA,https://powo.science.kew.org/taxon/77222312-1,POWO,NA
Danaea danaepinna,Marattiaceae,Danaea,danaepinna,Christenh.,NA,Species,Bot. J. Linn. Soc. 163: 362 (2010),NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,77106832-1,NA,NA,NA,https://powo.science.kew.org/taxon/77106832-1,POWO,NA
Danaea nigrescens,Marattiaceae,Danaea,nigrescens,Jenman,NA,Species,"Gard. Chron., ser. 3, 24: 413 (1898)",NA,1898,NA,NA,NA,NA,NA,NA,NA,NA,76585-2,NA,NA,NA,https://powo.science.kew.org/taxon/76585-2,POWO,NA
