name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Hymenophyllum filmenofilicum,Hymenophyllaceae,Hymenophyllum,filmenofilicum,Christenh. & Schwartsb.,tax_nov,spec.,Kew Bull. 64(1): 175 (-178; f.1-3). 2009 [May 2009] ,Kew Bull.,2009,64(1): 175 (-178; f.1-3),987-2,holotype SP;isotype K;isotype MBM;isotype NY;isotype P;isotype TI;isotype TUR;isotype UC;isotype UPCB,"Christenhusz, Schwartsburd, Lehtonen &amp; Castilho",4790,16 Feb 2008,"Paraná (Brazil South, Brazil, Southern America)","Ponta Grossa, Furnas Gêmeas, 950-1000m",77098651-1,NA,May 2009,NA,www.ipni.org/n/77098651-1,IPNI,NA
Hymenophyllum vacillans,Hymenophyllaceae,Hymenophyllum,vacillans,Christ in Schwacke,tax_nov,spec.,"Pl. Nov. Mineir. 2: 14. 1900 ; & Bull. Herb. Boiss. ser. 2, 2: 322.  1902.  Brazil (Santa Catharina)",Pl. Nov. Mineir.,1900,2: 14,11591-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,125904-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=14&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/125904-2,IPNI,NA
Trichomanes gardneri,Hymenophyllaceae,Trichomanes,gardneri,Bosch,tax_nov,spec.,Ned. Kruidk. Arch. 5(2): 149. 1861 ,Ned. Kruidk. Arch.,1861,5(2): 149,755-2,lectotype P;isotype BM;isotype GH;isotype K;isotype L;isotype US,George Gardner,1908,NA,"Bahia (Brazil, Southern America)",NA,304575-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1861&rft.issue=2&rft.spage=149&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/3629&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/304575-2,IPNI,NA
Trichomanes huberi,Hymenophyllaceae,Trichomanes,huberi,Christ,tax_nov,spec.,Bull. Herb. Boissier 6: 992. 1898 ,Bull. Herb. Boissier,1898,6: 992,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,257354-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.spage=992&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/257354-2,IPNI,NA
Trichomanes murilloanum,Hymenophyllaceae,Trichomanes,murilloanum,A.Rojas,tax_nov,spec.,Caldasia 31(1): 9 (-11; f.1). 2009 [30 Jun 2009] ,Caldasia,2009,31(1): 9 (-11; f.1),883-2,holotype COL;isotype COAH,R.Alfonso &amp; J.Tejada,299,21 Aug 1998,"Colombia (Western South America, Southern America);Guyana (Northern South America, Southern America);Brazil (Southern America);","Caquetá: Municipio de Solano, Araracuara",77104381-1,NA,30 Jun 2009,NA,www.ipni.org/n/77104381-1,IPNI,NA
Hymenophyllum breve,Hymenophyllaceae,Hymenophyllum,breve,Rosenst.,NA,Species,Repert. Spec. Nov. Regni Veg. 20: 89 (1924),NA,1924,NA,NA,NA,NA,NA,NA,NA,NA,17334890-1,NA,NA,NA,https://powo.science.kew.org/taxon/17334890-1,POWO,NA
Hymenophyllum notabile,Hymenophyllaceae,Hymenophyllum,notabile,Fée,NA,Species,Crypt. Vasc. Brésil 1: 193 (1869),NA,1869,NA,NA,NA,NA,NA,NA,NA,NA,17124260-1,NA,NA,NA,https://powo.science.kew.org/taxon/17124260-1,POWO,NA
Trichomanes steyermarkii,Hymenophyllaceae,Trichomanes,steyermarkii,P.G.Windisch & A.R.Sm.,NA,Species,Amer. Fern J. 80: 18 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,286331-2,NA,NA,NA,https://powo.science.kew.org/taxon/286331-2,POWO,NA
Trichomanes procerum,Hymenophyllaceae,Trichomanes,procerum,Fée,NA,Species,"Mém. Foug., 11. Hist. Foug. Antil. 106 (1866)",NA,1866,NA,NA,NA,NA,NA,NA,NA,NA,17231780-1,NA,NA,NA,https://powo.science.kew.org/taxon/17231780-1,POWO,NA
