name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Polypodium salicifolium,Polypodiaceae,Polypodium,salicifolium,Willd.,tax_nov,spec.,"Sp. Pl., ed. 4 [Willdenow] 5: 149. 1810 ","Sp. Pl., ed. 4 [Willdenow]",1810,5: 149,1302-2,NA,NA,NA,NA,Brazil (Southern America),NA,17200340-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1810&rft.spage=149&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/727&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1810,NA,www.ipni.org/n/17200340-1,IPNI,NA
Polypodium schiffneri,Polypodiaceae,Polypodium,schiffneri,Christ,tax_nov,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 39. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 39,610-2,NA,NA,NA,NA,Brazil (Southern America),NA,207564-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=39&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/207564-2,IPNI,NA
Polypodium vexillare,Polypodiaceae,Polypodium,vexillare,Christ in Schwacke,tax_nov,spec.,"Pl. Nov. Mineir. 2: 21. 1900 ; & Bull. Herb. Boiss. ser. 2, 2: 373.  1902.  Brazil (Santa Catharina)",Pl. Nov. Mineir.,1900,2: 21,11591-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,207758-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=21&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/207758-2,IPNI,NA
Polypodium willsii,Polypodiaceae,Polypodium,willsii,Baker,tax_nov,spec.,Ann. Bot. (Oxford) 5(4): 458. 1891 [Nov 1891] ,Ann. Bot. (Oxford),1891,5(4): 458,1756-2,NA,NA,NA,NA,Brazil (Southern America),NA,207812-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.issue=4&rft.spage=458&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Nov 1891,NA,www.ipni.org/n/207812-2,IPNI,NA
Bolbitis curupirae,Polypodiaceae,Bolbitis,curupirae,(Lindm.) Ching,NA,Species,"C.F.A.Christensen, Index Filic., Suppl. Tert.: 48 (1934)",NA,1934,NA,NA,NA,NA,NA,NA,NA,NA,34285-2,NA,NA,NA,https://powo.science.kew.org/taxon/34285-2,POWO,NA
Grammitis aoide,Polypodiaceae,Grammitis,aoide,Christenh.,NA,Species,Global Fl. 4: 41 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183524-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183524-1,POWO,NA
Grammitis brasiliense,Polypodiaceae,Grammitis,brasiliense,(Rosenst.) Christenh.,NA,Species,Global Fl. 4: 42 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182209-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182209-1,POWO,NA
Grammitis glaziovii,Polypodiaceae,Grammitis,glaziovii,(Baker) Christenh.,NA,Species,Global Fl. 4: 44 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182214-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182214-1,POWO,NA
Grammitis grata,Polypodiaceae,Grammitis,grata,(Fée) Christenh.,NA,Species,Global Fl. 4: 44 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183501-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183501-1,POWO,NA
Grammitis itatiaiensis,Polypodiaceae,Grammitis,itatiaiensis,(Labiak & Condack) Christenh.,NA,Species,Global Fl. 4: 45 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183128-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183128-1,POWO,NA
Grammitis luetzelburgii,Polypodiaceae,Grammitis,luetzelburgii,(Rosenst.) Christenh.,NA,Species,Global Fl. 4: 46 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182788-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182788-1,POWO,NA
Grammitis paulistana,Polypodiaceae,Grammitis,paulistana,(Brade & Rosenst.) Christenh.,NA,Species,Global Fl. 4: 47 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183441-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183441-1,POWO,NA
Grammitis perpusilla,Polypodiaceae,Grammitis,perpusilla,(Maxon) Lellinger,NA,Species,Amer. Fern J. 74: 59 (1984),NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,113181-2,NA,NA,NA,https://powo.science.kew.org/taxon/113181-2,POWO,NA
Pecluma schkuhrii,Polypodiaceae,Pecluma,schkuhrii,(Raddi) Pic.Serm.,NA,Species,Webbia 60: 107 (2005),NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,77068009-1,NA,NA,NA,https://powo.science.kew.org/taxon/77068009-1,POWO,NA
Polypodium oxylepis,Polypodiaceae,Polypodium,oxylepis,C.Chr.,NA,Species,Index Filic.: 550 (1906),NA,1906,NA,NA,NA,NA,NA,NA,NA,NA,207313-2,NA,NA,NA,https://powo.science.kew.org/taxon/207313-2,POWO,NA
Polystichum caudatum,Polypodiaceae,Polystichum,caudatum,Fée,NA,Species,"Mém. Foug., 5. Gen. Filic.: 278 (1852)",NA,1852,NA,NA,NA,NA,NA,NA,NA,NA,17206240-1,NA,NA,NA,https://powo.science.kew.org/taxon/17206240-1,POWO,NA
Tectaria organensis,Polypodiaceae,Tectaria,organensis,(C.Chr.) C.Chr.,NA,Species,"Index Filic., Suppl. Tert.: 183 (1934)",NA,1934,NA,NA,NA,NA,NA,NA,NA,NA,249922-2,NA,NA,NA,https://powo.science.kew.org/taxon/249922-2,POWO,NA
Serpocaulon latissimum,Polypodiaceae,Serpocaulon,latissimum,(R.C.Moran & B.Øllg.) A.R.Sm.,NA,Species,Taxon 55: 928 (2006),NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,77075104-1,NA,NA,NA,https://powo.science.kew.org/taxon/77075104-1,POWO,NA
